	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
rnfG_pmuc_ING2E5A_1073	2.0	17.0	5.0	0.0	11.0	2.0	8.0	0.0	2.0	15.0	54.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	119.0	9.0	14.0	0.0	46.0	2.0	0.0	6.0	0.0	6.0	0.0	17.0	15.0	58.0	0.0	0.0	31.0	15.0	0.0	170.0	9.0	8.0	2.0	5.0	6.0	24.0	0.0	8.0	47.0	28.0	3.0	37.0	8.0	6.0	41.0	5.0	55.0	11.0	121.0	0.0	118.0	26.0	3.0	0.0	18.0	2.0
rnfG_pbt_ING2E5B_1679	6.0	16.0	1137.0	110.0	18.0	0.0	520.0	64.0	775.0	126.0	110.0	79.0	0.0	70.0	9.0	1095.0	10.0	127.0	2369.0	7.0	133.0	129.0	1459.0	562.0	145.0	16.0	16.0	76.0	194.0	113.0	992.0	623.0	418.0	0.0	52.0	1510.0	219.0	1534.0	18.0	1187.0	692.0	1221.0	436.0	119.0	44.0	978.0	82.0	27.0	360.0	154.0	271.0	777.0	136.0	265.0	393.0	46.0	1092.0	760.0	2173.0	986.0	19.0	70.0	1340.0	6.0
rnfG_pet_PEIBARAKI_4905	0.0	21.0	6.0	17.0	18.0	63.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0	11.0	21.0	0.0	0.0	6.0	3.0	12.0	0.0	18.0	2.0	0.0	6.0	725.0	5.0	0.0	17.0	2.0	0.0	0.0	5.0	3.0	8.0	0.0	15.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	17.0	8.0	2.0	0.0	5.0	5.0	0.0	5.0	0.0	3.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	2.0
rnfG_1123008.KB905692_gene204	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	36.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
rnfG_1410668.JNKC01000005_gene2328	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	15.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfG_A0A3B8TUF5	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
rnfG_pet_PEIBARAKI_4905_m01	72.0	0.0	352.0	0.0	0.0	0.0	128.0	2.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	32.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	369.0	0.0	0.0	12.0	0.0	2.0	0.0	50.0	243.0	0.0	87.0	50.0	14.0	122.0	0.0	173.0	203.0	320.0	0.0	0.0	251.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfG_pet_PEIBARAKI_4905_m02	2.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	237.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfG_pet_PEIBARAKI_4905_m03	29.0	0.0	17.0	2.0	0.0	0.0	6.0	0.0	23.0	159.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	144.0	0.0	107.0	0.0	0.0	3.0	0.0	15.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	32.0	38.0	0.0	193.0	0.0	199.0	0.0	0.0	47.0	15.0	37.0	0.0	17.0	12.0	185.0	0.0	8.0	67.0	0.0	26.0	0.0	46.0	0.0	0.0	78.0	0.0
rnfG_pet_PEIBARAKI_4905_m04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	26.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
