	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
vhtG_mfz_AOB57_010845	0.0	0.0	233.0	0.0	0.0	0.0	1337.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0	4685.0	0.0	0.0	1.0	0.0	0.0	3022.0	0.0	1723.0	0.0	1.0	0.0	182.0	0.0	1934.0	0.0	0.0	3.0	0.0	8827.0	0.0	0.0	6631.0	0.0	0.0	109.0	0.0	181.0	762.0	0.0	0.0	0.0	0.0	1493.0	1.0	390.0	0.0	0.0	0.0	0.0	0.0
vhtG_21228277	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	12.0	0.0	0.0	0.0	0.0	0.0	115.0	0.0	0.0	0.0	0.0	0.0	2.0	19.0	0.0	0.0	0.0	24.0	0.0	2.0	5.0	16.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	57.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
vhtG_21228416	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	1.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	26.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0
vhtG_21228271	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	1.0	2.0	0.0	14.0	0.0	0.0	1.0	0.0	0.0	204.0	0.0	0.0	0.0	0.0	0.0	2.0	28.0	9.0	0.0	0.0	35.0	0.0	5.0	0.0	29.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	86.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
vhtG_mls_MSLAZ_1006	0.0	0.0	601.0	26.0	0.0	0.0	1348.0	65.0	0.0	0.0	0.0	0.0	0.0	52.0	9.0	0.0	0.0	55.0	2490.0	0.0	0.0	4.0	0.0	179.0	446.0	0.0	0.0	0.0	3.0	26.0	0.0	158.0	2878.0	0.0	0.0	1419.0	18.0	1296.0	0.0	0.0	4577.0	0.0	222.0	0.0	42.0	481.0	0.0	0.0	720.0	0.0	448.0	1220.0	0.0	1876.0	55.0	1.0	562.0	0.0	808.0	0.0	0.0	5.0	0.0	0.0
vhtG_mfz_AOB57_010820	0.0	0.0	245.0	1.0	0.0	0.0	1474.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	4943.0	2.0	0.0	0.0	0.0	0.0	3047.0	0.0	1914.0	2.0	0.0	0.0	219.0	0.0	2088.0	1.0	0.0	9.0	0.0	8928.0	0.0	0.0	7453.0	0.0	0.0	122.0	0.0	160.0	726.0	2.0	0.0	0.0	0.0	1623.0	0.0	425.0	0.0	0.0	0.0	0.0	0.0
vhtG_73669353	1.0	0.0	8.0	0.0	0.0	9.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	4.0	4.0	12.0	1.0	0.0	0.0	5.0	0.0	1.0	21.0	16.0	0.0	23.0	0.0	14.0	0.0	0.0	53.0	0.0	3.0	0.0	0.0	13.0	0.0	0.0	18.0	0.0	10.0	17.0	0.0	31.0	5.0	0.0	14.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
vhtG_mbak_MSBR3_2557	0.0	0.0	533.0	20.0	0.0	0.0	1206.0	32.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	39.0	1307.0	0.0	0.0	3.0	0.0	141.0	368.0	0.0	0.0	0.0	0.0	43.0	0.0	111.0	2329.0	0.0	0.0	1185.0	14.0	799.0	0.0	0.0	3373.0	0.0	188.0	0.0	27.0	428.0	0.0	0.0	470.0	0.0	434.0	1034.0	0.0	1422.0	25.0	0.0	348.0	0.0	596.0	0.0	0.0	4.0	0.0	0.0
vhtG_mthe_MSTHC_2189	0.0	0.0	43.0	3.0	0.0	0.0	67.0	8.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	1.0	19.0	1048.0	2.0	0.0	0.0	0.0	16.0	35.0	0.0	0.0	0.0	2.0	12.0	0.0	20.0	230.0	0.0	0.0	145.0	8.0	272.0	0.0	0.0	549.0	0.0	35.0	0.0	20.0	61.0	0.0	0.0	90.0	0.0	44.0	90.0	0.0	130.0	18.0	0.0	101.0	0.0	161.0	0.0	0.0	0.0	0.0	0.0
vhtG_mbar_MSBR2_2533	0.0	0.0	71.0	0.0	0.0	1.0	188.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	37.0	0.0	0.0	0.0	0.0	16.0	35.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	160.0	2.0	0.0	100.0	0.0	71.0	0.0	0.0	165.0	0.0	17.0	1.0	1.0	31.0	0.0	0.0	48.0	0.0	40.0	138.0	0.0	102.0	1.0	0.0	38.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0
