PD	SR	MNTD	MPD
ZB_1	6.52122	15	0.547288611111111	1.11303944444444
ZB_2	11.06338	62	0.112587146509027	0.545208088128267
ZB_3	3.08513	8	0.16557595890411	0.239260899793582
ZB_4	3.81273	20	0.0538889426067289	0.267687580006633
ZB_5	8.95826	35	0.493598767482517	0.628400783909054
ZB_6	10.90194	45	0.230997968253968	0.959548020045981
ZB_7	5.1062	10	0.233354947368421	0.449410490858726
ZB_8	3.67465	7	0.838075644599303	0.191853357938059
ZB_9	3.80345	27	0.0854462477194405	0.0937901278091354
ZB_10	2.6992	3	1.1266	0.643136
ZB_11	13.66846	55	0.33985164783687	1.19006200723383
ZB_12	9.71956	35	0.280892192242833	0.969604034591311
ZB_13	11.96393	58	0.113386977171346	0.873379081821387
ZB_14	3.05346	9	1.03082519834711	0.617617133843317
ZB_15	2.5425	3	1.06028054054054	0.551282907815924
ZB_16	2.95912	26	0.084879212863706	0.133065945988945
ZB_17	15.27927	60	0.433177168597169	0.686055214988844
ZB_18	3.96585	15	0.446804294117647	0.772626316262976
ZB_19	11.27285	49	0.215201544977814	0.938570725407664
ZB_20	9.39738	56	0.313106301040833	1.05746777362322
ZB_21	4.08538	8	0.573597933884297	0.811924128133324
ZB_22	5.78252	24	0.0746002098235575	0.306151814498037
ZB_23	2.9737	7	0.258844057971015	0.4001595463138
ZB_24	5.50546	17	0.0594914029005605	0.283190667231027
ZB_25	10.26379	42	0.26800420620438	0.992962485781075
ZB_26	11.49925	49	0.220960217859708	0.978559947982869
ZB_27	11.42029	47	0.255588199320498	1.04581685118041
ZB_28	4.67737	22	0.569450421686747	0.817613783568007
ZB_29	3.29169	13	0.229586371681416	0.871944452972042
ZB_30	12.91788	59	0.140612343303486	1.13563440994358
ZB_31	3.05667	10	0.294477328244275	0.756921869354933
ZB_32	9.69161	43	0.410054034797017	1.19951207728804
ZB_33	10.90218	42	0.274411481481481	0.976365610506408
ZB_34	11.64384	46	0.24103363598759	0.938969136981827
ZB_35	12.8437	68	0.147680241574709	0.642174125028571
ZB_36	6.37961	15	0.722580342465753	1.10636454212798
ZB_37	5.76933	34	0.0759894355256344	0.236578397092224
ZB_38	8.81651	39	0.257282896849907	0.772950973725002
ZB_39	5.37848	11	0.549810238095238	0.97606985260771
ZB_40	3.74404	26	0.0914564144011756	0.216499778413137
ZB_41	7.67463	29	0.320534411764706	1.00364265164889
ZB_42	3.65379	29	0.0866681290734824	0.0754342508083169
ZB_43	2.11494	4	0.594730909090909	0.763549090909091
ZB_44	1.60922	2	0.95333	0.476665
ZB_45	3.71117	8	0.869664163750875	0.568401640065013
ZB_46	4.08874	8	0.243397384615385	0.444451162130178
ZB_47	0.30191	6	0.0650815775401069	0.0657537360462124
ZB_48	8.8809	42	0.144508406720742	0.9015466325129
ZB_49	4.46087	17	0.832203898099824	0.773194800082241
ZB_50	11.60112	52	0.188361471753179	0.84193547127576
ZB_51	6.29981	32	0.0707647344567854	0.285539573693244
ZB_52	2.8499	5	0.225052916666667	0.300621206597222
ZB_53	2.38783	14	0.0962557817589577	0.0717433834841749
ZB_54	9.77168	37	0.292994015345269	0.987067933098292
ZB_55	10.86091	48	0.214864270664506	1.05018689548424
ZB_56	3.96315	29	0.218832012266355	0.554231899470358
ZB_57	8.75199	37	0.277184032444959	0.67628526407517
ZB_58	4.61592	30	0.114003684210526	0.289557199995588
ZB_59	9.29428	38	0.276655063829787	0.619050392887279
ZB_60	4.92135	31	0.141860010458063	0.374321619883768
ZB_61	8.79007	44	0.10419890625	0.605992439110911
ZB_62	3.41228	15	0.0460447957133289	0.249717352449408
ZB_63	3.24872	6	0.333130612244898	0.49110615576843
ZB_64	4.22693	11	0.572892730732636	0.587380685912832
