PD	SR	MNTD	MPD
ZB_1	3.54429	11	0.245765714285714	0.990824897959184
ZB_2	8.59338	69	0.0647580579818509	0.863043398811894
ZB_3	2.14202	4	0.522310769230769	0.625738698224852
ZB_4	6.63582	58	0.0624983802765381	0.853614890218135
ZB_5	8.41967	59	0.269939376199616	1.00852766402275
ZB_6	2.34117	3	1.16186285714286	0.794968163265306
ZB_7	3.15139	6	0.670334871794872	0.768089414858646
ZB_8	1.35584	2	1.32074	0.66037
ZB_9	3.78735	16	0.0891932124610592	0.734637938099824
ZB_10	1.65557	5	0.338546666666667	0.620493888888889
ZB_11	7.90811	40	0.110466542576906	0.926355216817606
ZB_12	2.51674	6	0.286842857142857	0.72757387755102
ZB_13	5.99391	46	0.0656657724489796	0.846355764602197
ZB_14	2.83769	14	0.129885142857143	0.755509995918367
ZB_15	2.6442	11	0.1487432	0.85784224
ZB_16	4.61959	39	0.08482144612286	0.712914512121609
ZB_17	6.71501	27	0.399049220779221	0.998252440546467
ZB_18	5.02261	40	0.0941507012195122	0.843059510522011
ZB_19	2.77754	4	1.16649666666667	1.00317185185185
ZB_20	8.43509	71	0.0849586123032904	0.917674433372015
ZB_21	2.66354	6	0.476917777777778	0.853606851851852
ZB_22	4.90511	49	0.0651219949004371	0.844690397612939
ZB_23	2.33292	3	1.19311333333333	0.826395555555555
ZB_24	5.6854	42	0.0640336524834275	0.83730163612934
ZB_25	1.0772	2	1.0421	0.463155555555556
ZB_26	3.90837	16	0.301046603773585	0.877110573157707
ZB_27	3.40432	17	0.0944945864661654	0.823794145514161
ZB_28	5.51482	54	0.0889283200723327	0.465743111730198
ZB_29	3.29405	23	0.0822513513513514	0.793018272023375
ZB_30	7.21038	53	0.0699842277121375	0.849854343103808
ZB_31	2.65384	16	0.0804279746835443	0.743528210222721
ZB_32	5.12177	37	0.069546758425521	0.833257508078918
ZB_33	2.3396	3	1.2037	0.7848
ZB_34	4.08272	8	0.933712325581395	0.794194110329908
ZB_35	9.03252	74	0.0752014334156654	0.872068393209681
ZB_36	3.0629	20	0.101114114832536	0.811970875208901
ZB_37	5.02752	52	0.0826920819397993	0.777699298570486
ZB_38	3.90241	14	0.188692	0.944556422222222
ZB_39	5.16013	14	0.431813855421687	0.980227249237915
ZB_40	4.96568	49	0.0870883477765108	0.758530689763356
ZB_41	1.1101	2	1.075	0.477777777777778
ZB_42	5.63885	53	0.089387753201397	0.72834226149678
ZB_43	1.94613	4	0.63886	0.6858
ZB_44	0	0	NA	NA
ZB_45	2.27524	6	0.204233571428571	0.692454387755102
ZB_46	2.67316	13	0.080604	0.798428633333333
ZB_47	4.27212	14	0.0765507521068532	0.866481395107915
ZB_48	3.5752	20	0.0773997540983607	0.872764466089845
ZB_49	6.27841	51	0.0580484208225793	0.817748247521563
ZB_50	7.96824	47	0.0811496510527561	0.861895454448962
ZB_51	6.43836	53	0.103003705319912	0.854701943996658
ZB_52	3.48267	14	0.205562045454545	0.81317680785124
ZB_53	4.44397	25	0.101380878943111	0.70004467916062
ZB_54	2.58856	10	0.156387826086957	0.763376862003781
ZB_55	6.40047	43	0.108049282868526	0.794399323105982
ZB_56	6.28707	63	0.0673565566843477	0.87653946896419
ZB_57	2.36626	9	0.123727333333333	0.772139377777778
ZB_58	5.57839	53	0.088828641905302	0.856364164924243
ZB_59	2.89947	12	0.179155	0.87874859375
ZB_60	5.40652	62	0.0999171305717054	0.880969528814756
ZB_61	8.12231	54	0.072252001635323	0.882477129885427
ZB_62	3.95889	39	0.0718126573146293	0.845472674098498
ZB_63	0.09076	1	Inf	0
ZB_64	2.57727	5	0.6409915625	0.68502892578125
