PD	SR	MNTD	MPD
ZB_1	25.52562	94	0.269349271434064	0.47050256539053
ZB_2	25.68306	97	0.421116415682606	1.03638810501796
ZB_3	25.07195	103	0.278372378516624	1.10553737307795
ZB_4	21.44799	88	0.43716388962163	1.08730452428617
ZB_5	24.4132	94	0.744908899718178	1.01362428899301
ZB_6	19.80715	83	0.235827447517906	1.06222583393105
ZB_7	25.58913	101	0.245739269131209	1.1629592301683
ZB_8	17.79685	73	0.458334067825278	1.04754260568682
ZB_9	18.05956	71	0.466233055630388	1.1210308299389
ZB_10	23.62063	89	0.292156926478392	0.717570482846393
ZB_11	31.6685	129	0.492124398579527	1.18727589531055
ZB_12	20.16945	90	0.306890525590428	1.00687526351424
ZB_13	22.77835	111	0.198088501277443	1.16909324907446
ZB_14	17.95614	73	0.385389079128857	0.980160812077246
ZB_15	17.87531	72	0.356594805476397	0.978445141508331
ZB_16	22.70208	92	0.453495370024429	1.16383793101158
ZB_17	35.25737	143	0.557740509219615	1.15508228871
ZB_18	22.22612	95	0.394870352272223	1.03950695603931
ZB_19	24.54812	124	0.194737650847592	1.06073315487687
ZB_20	26.15874	118	0.520891223026715	1.17341954474349
ZB_21	24.7478	91	0.298171018232438	0.766259366918937
ZB_22	20.90467	97	0.380920303486167	1.11200551000109
ZB_23	21.40549	84	0.61428858175288	1.00357598194491
ZB_24	20.29998	82	0.721033625304661	0.967579319786866
ZB_25	24.44512	107	0.324934657222222	1.07750330946037
ZB_26	23.5643	102	0.182579914113942	1.08382368175549
ZB_27	22.09328	105	0.23527991160786	1.06321682444313
ZB_28	27.52116	120	0.292155056970782	0.975897772964127
ZB_29	19.74295	88	0.363495453024812	0.993239016585496
ZB_30	26.87959	134	0.271978844019218	1.17407729980599
ZB_31	20.19029	77	0.610564447739982	1.0017116340364
ZB_32	23.4089	124	0.237408044196921	1.16298674137773
ZB_33	22.95115	112	0.399711272198676	1.03251915950135
ZB_34	17.32302	72	0.250773442129888	0.914856158280747
ZB_35	27.34183	113	0.435549743460256	1.19630808322942
ZB_36	25.22527	108	0.250146496067683	1.25163499260976
ZB_37	19.57461	97	0.33043697540284	1.09089893648374
ZB_38	23.95896	117	0.219389822998957	1.09726383886271
ZB_39	21.08364	73	0.250206005092625	0.566238715583547
ZB_40	21.76847	82	0.489576669746074	1.11013146495897
ZB_41	22.83263	97	0.458393709480285	0.996922952348119
ZB_42	22.50093	95	0.372342970720372	1.0939758133043
ZB_43	21.39881	75	0.128102963050288	0.726841007535106
ZB_44	23.13947	97	0.389616876849462	0.970572914134464
ZB_45	19.18567	79	0.476956070966477	1.14093552863134
ZB_46	21.60957	90	0.217936770114133	0.88834928869728
ZB_47	25.7752	98	0.263299558558559	0.939583183720087
ZB_48	30.55995	125	0.23899377683651	1.08312146947231
ZB_49	26.5436	125	0.169943141950445	1.05475459602595
ZB_50	26.95333	104	0.387153983245264	1.17643843788233
ZB_51	24.27703	92	0.171207652753653	1.10608993093263
ZB_52	26.05797	105	0.267331912460019	1.16790931864006
ZB_53	25.3077	108	0.353412146761637	1.0339890248348
ZB_54	23.64639	95	0.430964850737463	1.0618001358944
ZB_55	25.68315	137	0.276169831178797	1.07159272445447
ZB_56	26.50994	100	0.287183626337664	1.0709173724129
ZB_57	20.51078	101	0.250537072623419	1.11556629731315
ZB_58	21.53894	93	0.446945893477816	1.20099234402867
ZB_59	25.63531	115	0.29453711222848	1.10834997536936
ZB_60	19.4552	76	0.433344337940259	1.16857678399237
ZB_61	19.02981	65	0.475926049749899	1.01093987293985
ZB_62	19.62303	90	0.397039426579108	1.08826629793405
ZB_63	19.83506	76	0.577100590301537	0.965183216612584
ZB_64	19.0889	64	0.808247495218624	1.07045212744941
