PD	SR	MNTD	MPD
ZB_1	10.01113	36	0.262719716799229	0.748972941698833
ZB_2	13.48939	77	0.0903900748239437	1.24772687884596
ZB_3	7.59971	23	0.185687410795359	0.375693197338103
ZB_4	9.419	54	0.0509123418963101	1.14694527012407
ZB_5	12.79861	60	0.0883603324651448	0.32297201624974
ZB_6	12.63429	53	0.274044913756388	0.953737549168082
ZB_7	7.25198	26	0.186040251724383	0.371957065558503
ZB_8	4.45285	15	0.412421407624633	0.811151135955143
ZB_9	9.0277	39	0.246046504640647	1.23490949249161
ZB_10	8.37254	31	0.380857330944009	0.694255458400282
ZB_11	12.92191	66	0.0900170902477836	1.13126776342906
ZB_12	12.30737	54	0.356100064223231	0.806070235079135
ZB_13	15.04529	73	0.104097256057007	1.34803412467702
ZB_14	7.256	23	0.356181912568306	1.11119710457165
ZB_15	7.0304	22	0.456379946619217	0.776128885589088
ZB_16	10.20042	46	0.174338328662861	1.07322823824619
ZB_17	17.03034	87	0.0802185171857551	0.215066978069249
ZB_18	9.61598	38	0.364782985971944	1.36724568640287
ZB_19	13.91332	56	0.27596237211114	0.89667562598039
ZB_20	11.54672	69	0.0878582332976063	0.734333976222305
ZB_21	7.84275	33	0.366319034334764	0.686706629321948
ZB_22	7.50218	37	0.0607467164408867	1.14266401377733
ZB_23	6.67766	24	0.512505380595319	0.691663190574626
ZB_24	6.7265	31	0.0504032944977668	1.20620805833001
ZB_25	13.04264	55	0.329883879578822	0.924535552941803
ZB_26	14.19889	58	0.348506603114394	0.970085035538148
ZB_27	13.85855	58	0.277286882797399	0.952896965467614
ZB_28	10.50528	53	0.221645209031138	0.880559904512209
ZB_29	6.08693	21	0.282474025974026	1.27666049694721
ZB_30	14.71284	70	0.245736244231009	1.38369401937497
ZB_31	8.27329	37	0.188531097262171	0.742610348385656
ZB_32	12.18452	59	0.141024253559061	1.39685186280987
ZB_33	13.15929	57	0.266441619018959	1.02472354996849
ZB_34	13.93134	53	0.273093816515129	0.937851123011447
ZB_35	12.38491	78	0.0761303416378406	1.2803372029169
ZB_36	8.66538	35	0.188877240616526	0.39127164717762
ZB_37	7.85001	45	0.115759696618357	1.17896225582189
ZB_38	11.88339	46	0.266727050724638	0.827039680035707
ZB_39	9.74197	36	0.364690023440552	0.720152843596137
ZB_40	8.53825	48	0.232794442847365	1.22410500469614
ZB_41	11.72295	51	0.201421618858279	0.92358971963327
ZB_42	10.13168	54	0.217777797119498	1.24032713176531
ZB_43	5.06794	20	0.198005736086176	0.388967930574402
ZB_44	7.37493	25	0.400625813156053	0.660917505467912
ZB_45	6.63395	20	0.374612731481481	0.901234232360254
ZB_46	7.42349	28	0.221916076846966	0.473072679165202
ZB_47	9.73439	42	0.216406699651337	1.05480038432969
ZB_48	14.73374	68	0.30750700311212	1.02088052941556
ZB_49	8.94455	49	0.114944774618106	1.24681902584934
ZB_50	11.67332	64	0.0834865135601191	1.18083082814552
ZB_51	8.29955	41	0.141871696792355	1.33734788968706
ZB_52	8.55266	29	0.186834479328567	0.379247840154366
ZB_53	8.64181	32	0.361015756179025	0.842983972759681
ZB_54	13.35349	60	0.311030375133976	0.981517263065804
ZB_55	14.65636	68	0.379115393432466	0.925429683929457
ZB_56	10.53888	69	0.149478307604752	1.32154079800906
ZB_57	9.65391	38	0.235027961432507	0.698738737184011
ZB_58	9.36129	53	0.196846079319087	1.25779688256016
ZB_59	13.46492	55	0.324607398589065	0.897623886342145
ZB_60	8.83275	52	0.273798098293825	1.34858886069469
ZB_61	11.3964	56	0.0763576023141204	1.13822594229694
ZB_62	7.34306	33	0.045946367781155	1.13792968213806
ZB_63	5.5297	25	0.368069901148983	0.704101913880137
ZB_64	8.27692	24	0.0821921088814567	0.16228319472978
