PD	SR	MNTD	MPD
ZB_1	5.95812	29	0.107980397574124	0.338812271920249
ZB_2	4.25002	15	0.0947880892672265	0.0774251667681224
ZB_3	4.4185	24	0.0874553276222862	0.315893630579664
ZB_4	5.22578	27	0.117164254545455	0.894690980495868
ZB_5	3.32499	13	0.0938135341134344	0.0715891352785924
ZB_6	7.84764	55	0.158888742902416	0.906661522012193
ZB_7	4.48445	27	0.0832103970908319	0.571127374149806
ZB_8	4.65069	28	0.10261635620915	0.802542332169251
ZB_9	4.86507	23	0.10463898025426	0.653096700411895
ZB_10	4.3058	23	0.112540125	0.36309462885565
ZB_11	4.88191	22	0.094936351590106	0.0871202739101187
ZB_12	7.56259	45	0.157323953995638	0.804588374427672
ZB_13	7.00571	43	0.139385982392957	0.892492854582409
ZB_14	4.35547	27	0.100621785714286	0.869184667260499
ZB_15	3.35562	13	0.131625097276265	0.510922626004936
ZB_16	3.76426	22	0.098306801082544	0.452178956629921
ZB_17	8.13028	53	0.0942043457703772	0.0991764504468464
ZB_18	5.40662	29	0.10895368159204	0.881806621123239
ZB_19	7.9371	59	0.147645540388548	0.956606227747511
ZB_20	2.99679	12	0.09385988145176	0.0799004890995127
ZB_21	4.26751	21	0.119065893323387	0.319525576584975
ZB_22	3.95009	19	0.129900421052632	0.712599663157895
ZB_23	4.09688	23	0.108618968184472	0.653382545206908
ZB_24	3.25012	21	0.0676582687581321	0.295081941033555
ZB_25	8.498	60	0.119852962320278	0.949287888378874
ZB_26	7.91342	56	0.166770173247014	0.811374824840412
ZB_27	8.08586	50	0.158082321076822	0.824243964020282
ZB_28	4.27902	21	0.0941318810628427	0.348029749410359
ZB_29	3.98962	18	0.224986965517241	0.774392479429251
ZB_30	8.61429	62	0.120248641602249	0.884603907886647
ZB_31	4.49467	22	0.104808850279498	0.673219502925293
ZB_32	7.30197	53	0.116616666666667	0.79510678468309
ZB_33	7.62612	57	0.1124555905177	0.730543326129678
ZB_34	7.8266	58	0.143551546961326	0.817570315214727
ZB_35	3.00849	11	0.0941971024335031	0.0761517673629827
ZB_36	4.07173	30	0.0853469644429394	0.507503041211971
ZB_37	5.10581	27	0.122104245283019	0.839029180412167
ZB_38	7.73231	55	0.105254026053954	0.676599226095565
ZB_39	3.97798	19	0.113555827572184	0.297936307412281
ZB_40	3.77431	20	0.106581176179479	0.630393726339428
ZB_41	7.95316	55	0.109989162807018	0.727980190434374
ZB_42	4.39631	25	0.101151227946985	0.635763807200081
ZB_43	4.23082	24	0.0656343844481521	0.179718618602078
ZB_44	4.67232	21	0.118814097815764	0.307242821282791
ZB_45	4.33313	30	0.100636503067485	0.874720343398321
ZB_46	3.8704	22	0.0677482454908737	0.29134047408131
ZB_47	4.18215	18	0.121119299604743	0.164030298331297
ZB_48	6.99254	39	0.147185666391866	0.670204149245438
ZB_49	3.56405	25	0.0852851503664392	0.476026448061927
ZB_50	3.86863	15	0.0948328538042067	0.108002772881163
ZB_51	3.28489	23	0.0859581087289433	0.415915788512646
ZB_52	3.80761	26	0.0850043880597015	0.503622226357128
ZB_53	4.17966	19	0.114138313375796	0.301041684395148
ZB_54	7.06695	51	0.124464677632545	0.837021710501645
ZB_55	8.21697	57	0.164528672076724	0.994093093570316
ZB_56	3.55698	19	0.111185775815944	0.303586218608303
ZB_57	7.48994	56	0.115511206958608	0.785540655487571
ZB_58	4.40554	24	0.100622840095465	0.509235415186857
ZB_59	8.47903	59	0.11596308938441	0.845520312264618
ZB_60	4.34006	19	0.108932386445566	0.653211256923258
ZB_61	2.90333	9	0.0937215171038503	0.0769126433220171
ZB_62	4.21816	21	0.14092380952381	0.840873162005543
ZB_63	4.23773	20	0.0992485399905348	0.548401269101212
ZB_64	2.95908	11	0.0940390478723404	0.0740896484488173
