PD	SR	MNTD	MPD
ZB_1	0.54786	6	0.0699290034364261	0.214428992926394
ZB_2	0.48642	3	0.123417	0.1003656
ZB_3	0.46439	2	0.10351	0.0494615799302331
ZB_4	0.10119	2	0.03949	0.00652727272727273
ZB_5	0.08441	1	Inf	0
ZB_6	2.00364	10	0.0776503556485356	0.125243198210816
ZB_7	0.46439	2	0.10351	0.0504156611093136
ZB_8	0.10173	3	0.039605	0.01346703125
ZB_9	0.56612	5	0.0409924019607843	0.0341577704488658
ZB_10	0.54786	6	0.0622932967032967	0.188984456102844
ZB_11	0.48696	4	0.0968578571428571	0.140930306122449
ZB_12	1.98232	10	0.0734707966457023	0.107974567110127
ZB_13	1.45927	8	0.0545948076923077	0.0474951077107988
ZB_14	0.10119	2	0.03949	0.00491431111111111
ZB_15	1.11967	3	0.0589155681818182	0.0281857670454546
ZB_16	0.56666	6	0.0452556895522388	0.0921703038289151
ZB_17	0.64745	6	0.120553333333333	0.190283950617284
ZB_18	0.08495	2	0.04726	0.00377423611111111
ZB_19	1.88684	8	0.334402269503546	0.509170410693627
ZB_20	0	0	NA	NA
ZB_21	0.54786	6	0.0573398406374502	0.159010810860145
ZB_22	0.10119	2	0.03949	0.0140201183431953
ZB_23	0.56612	5	0.04026856	0.0251902309333333
ZB_24	0.46439	2	0.10351	0.049764224683266
ZB_25	1.90429	8	0.0960129447852761	0.240112602092664
ZB_26	1.37672	7	0.0562045243128964	0.0679158794791914
ZB_27	1.47668	8	0.0834602857142857	0.124104678384007
ZB_28	0.61136	8	0.0704406695005313	0.219567034278545
ZB_29	0.10173	3	0.0395666666666667	0.00949201388888889
ZB_30	1.95692	9	0.106533715846995	0.180671036459733
ZB_31	0.56612	5	0.0411459559834938	0.0369514313121891
ZB_32	1.20275	4	0.361072941176471	0.50412008650519
ZB_33	1.86606	7	0.206438918918919	0.439447609771934
ZB_34	2.00364	10	0.0826237019230769	0.130371885837853
ZB_35	0.03823	1	Inf	0
ZB_36	0.46439	2	0.10351	0.0514679544603437
ZB_37	0.10173	3	0.0396477142857143	0.0172908734693878
ZB_38	1.23406	5	0.154056	0.25201795
ZB_39	0.54786	6	0.062832962962963	0.191415132137346
ZB_40	0.56612	5	0.0414342565597668	0.0413463573001046
ZB_41	1.94508	9	0.208812196969697	0.459946073232323
ZB_42	0.56841	7	0.0484494719025051	0.129932522244719
ZB_43	0.46439	2	0.10351	0.0479608429668053
ZB_44	0.54786	6	0.0509736038186158	0.107143891040721
ZB_45	0.08495	2	0.04726	0.0085068
ZB_46	0.46439	2	0.10351	0.0499916388876317
ZB_47	0.54786	6	0.0467777973568282	0.0620458544460401
ZB_48	1.90429	8	0.0698282476635514	0.113177648593764
ZB_49	0.46439	2	0.10351	0.0517519005980471
ZB_50	0.10119	2	0.03949	0.00603319444444444
ZB_51	0.46439	2	0.10351	0.0512994278652556
ZB_52	0.46439	2	0.10351	0.0485252377942991
ZB_53	0.54786	6	0.0618969066666667	0.187662535431111
ZB_54	1.89683	7	0.208461590909091	0.435747696280992
ZB_55	1.88684	8	0.160770580645161	0.268022013527575
ZB_56	0.54786	6	0.0641345925925926	0.199607199341564
ZB_57	1.73121	7	0.342453333333333	0.536152777777778
ZB_58	0.56787	6	0.0443384603421462	0.0809432343045938
ZB_59	1.4741	7	0.0897179710144928	0.130490006301197
ZB_60	0.50199	4	0.04552265917603	0.0254686961522816
ZB_61	0.08495	2	0.04726	0.0210044444444444
ZB_62	0.10119	2	0.03949	0.00967102040816326
ZB_63	0.56612	5	0.0407856506849315	0.0334620219553387
ZB_64	0	0	NA	NA
