PD	SR	MNTD	MPD
ZB_1	1.72331	5	0.176740434782609	0.591788960302458
ZB_2	2.08567	6	0.591277854984894	0.471651446713508
ZB_3	2.13618	7	0.456341126760563	0.658409691529458
ZB_4	2.00816	5	0.660117309833024	0.313354084696115
ZB_5	2.17058	7	0.521504465238447	0.522322825322004
ZB_6	1.59162	5	0.16534	0.503700224
ZB_7	2.17058	7	0.405525803571429	0.66840506377551
ZB_8	1.92227	4	0.792874381918819	0.0603450630948653
ZB_9	1.63351	4	0.399391882352941	0.476498275432526
ZB_10	1.82356	6	0.174062	0.511437616326531
ZB_11	2.32134	9	0.563016081460674	0.508817070934821
ZB_12	1.85873	7	0.152290192307692	0.7099975147929
ZB_13	0.52683	4	0.158075757575758	0.129815794306703
ZB_14	2.09307	6	0.761391543942993	0.129042749752534
ZB_15	1.99978	5	0.708502776203966	0.239273711850669
ZB_16	2.08567	6	0.22938171641791	0.649931521496993
ZB_17	2.08078	6	0.50738052366448	0.527258306732377
ZB_18	1.341	4	0.672453222222222	0.284654631327161
ZB_19	2.24383	8	0.197428421052632	0.499003656509695
ZB_20	2.08567	6	0.48487503187251	0.531382514990635
ZB_21	1.70394	3	1.00696444444444	0.606912592592593
ZB_22	1.99978	5	0.296914826666667	0.306787607324444
ZB_23	2.08567	6	0.184637454545455	0.527211266115702
ZB_24	2.00243	5	0.337771818181818	0.506119297520661
ZB_25	2.22109	8	0.322097285714286	0.683005812244898
ZB_26	1.67751	6	0.175934117647059	0.608858685121107
ZB_27	2.00571	8	0.2095940625	0.67110453125
ZB_28	1.99978	5	0.213899333333333	0.569976651851852
ZB_29	1.88516	4	0.330253333333333	0.315030699035813
ZB_30	1.51411	4	0.216230964912281	0.229953905817175
ZB_31	2.08567	6	0.238221623931624	0.651879056176492
ZB_32	2.32134	9	0.203728684210526	0.559408767313019
ZB_33	2.23154	8	0.503084539473684	0.641242507790859
ZB_34	2.09051	7	0.293565	0.232624425
ZB_35	2.18592	7	0.545681627121914	0.517532386203156
ZB_36	2.27083	8	0.63952036977492	0.420836343296699
ZB_37	1.24075	3	0.363005391304348	0.350723835160681
ZB_38	1.59162	5	0.153229523809524	0.34775552154195
ZB_39	1.64787	4	0.24701	0.356348571428571
ZB_40	2.13618	7	0.178475271317829	0.541936258638303
ZB_41	2.23545	8	0.602575805084746	0.504494976659006
ZB_42	2.08567	6	0.645779602763385	0.404044016095883
ZB_43	1.93962	6	0.24366947368421	0.566325096952909
ZB_44	1.72331	5	0.165085882352941	0.609229065743945
ZB_45	2.00718	5	0.750520842293907	0.160979562805377
ZB_46	1.99978	5	0.22121	0.598926171428571
ZB_47	1.99978	5	0.346859677419355	0.679936607700312
ZB_48	1.56842	4	0.678069333333333	0.675175111111111
ZB_49	2.13618	7	0.619857343173432	0.457118334445337
ZB_50	2.08567	6	0.520777044861439	0.541743001785722
ZB_51	2.08567	6	0.569171314285714	0.51736057077551
ZB_52	2.17058	7	0.391560923076923	0.686508917159763
ZB_53	1.63742	4	0.181789583333333	0.585643263888889
ZB_54	2.32134	9	0.408217272727273	0.744306152433425
ZB_55	1.95898	8	0.166408923076923	0.634914878106509
ZB_56	1.92227	4	0.508537272727273	0.590927809917355
ZB_57	2.23545	8	0.2098115625	0.62773123046875
ZB_58	2.08567	6	0.17016476744186	0.482319159004867
ZB_59	2.10743	6	0.256535677966102	0.301619563343867
ZB_60	1.99587	5	0.377628421052632	0.571736869806094
ZB_61	1.8042	4	0.723097288984263	0.477570073087857
ZB_62	1.92227	4	0.271881072961373	0.232272152369725
ZB_63	2.08567	6	0.182145762711864	0.5743663099684
ZB_64	1.99587	5	0.625182574257426	0.427954064729681
