PD	SR	MNTD	MPD
ZB_1	1.92708	13	0.0662866400532269	0.255819960380857
ZB_2	1.18121	3	0.51687	0.276824691358025
ZB_3	2.70588	24	0.0721361832892485	0.302956885687905
ZB_4	2.80933	16	0.207423689320388	0.480834853426336
ZB_5	1.24949	3	0.152736875	0.121253203125
ZB_6	4.01082	22	0.212037854450565	0.657932654983973
ZB_7	1.99907	24	0.0690870171205331	0.480674890000105
ZB_8	1.37543	11	0.04858984375	0.488485668945313
ZB_9	1.40515	6	0.0503937351443124	0.0611678370580046
ZB_10	2.23009	7	0.34229417954071	0.181279410867282
ZB_11	1.24946	4	0.178062352941176	0.200868685121107
ZB_12	3.58867	15	0.0783877869529315	0.132798359518889
ZB_13	2.6692	11	0.140548801369863	0.443508402399867
ZB_14	1.31485	12	0.0507399333333333	0.431480115555556
ZB_15	1.07524	3	0.276895234375	0.0227768542480469
ZB_16	1.40515	6	0.0481090374115268	0.0859671259600806
ZB_17	3.1579	16	0.142269714285714	0.586592293877551
ZB_18	2.52921	18	0.0622284455958549	0.480492825042283
ZB_19	3.54454	30	0.0996835345597428	0.533172779109478
ZB_20	0.04824	1	Inf	0
ZB_21	1.25986	5	0.362596794966691	0.141098401502081
ZB_22	1.94465	4	0.172075	0.148468636363636
ZB_23	2.35588	7	0.0541609425070688	0.0511863049148057
ZB_24	1.68996	21	0.0723636824941299	0.243174748259737
ZB_25	3.63572	29	0.0623948402447315	0.527664385303726
ZB_26	3.39839	22	0.233715623198847	0.575863818267322
ZB_27	2.67562	11	0.0845534897360704	0.171496624642031
ZB_28	2.40344	9	0.0974317117537313	0.25562262418812
ZB_29	2.05994	7	0.1908684375	0.524915546875
ZB_30	4.29621	32	0.100708330860534	0.514214198932064
ZB_31	2.46294	8	0.0498042891682785	0.0459571111559024
ZB_32	3.46525	28	0.0843980183486239	0.22612428819931
ZB_33	3.27733	24	0.0551007192219094	0.162372923132396
ZB_34	3.50442	28	0.194830627248201	0.67375508376471
ZB_35	1.25074	3	0.282602857142857	0.284099591836735
ZB_36	1.96999	23	0.0681661864774866	0.425068204765336
ZB_37	2.10896	9	0.0605992380952381	0.491084350113379
ZB_38	3.50188	29	0.0716131525101118	0.17508530769152
ZB_39	1.25986	5	0.34368706316653	0.174600520901962
ZB_40	1.47787	8	0.0461490874932904	0.0419374662041755
ZB_41	3.82103	26	0.0552093731395552	0.170213762619337
ZB_42	1.47637	8	0.0485044725	0.10884772614875
ZB_43	1.75515	23	0.0714159441885668	0.153605606742914
ZB_44	1.53396	6	0.382247723785166	0.106530850708721
ZB_45	1.52694	15	0.0501162251655629	0.47734987061971
ZB_46	3.08753	25	0.0716499188013533	0.231443482817004
ZB_47	1.71385	8	0.20356447267356	0.0487852995869779
ZB_48	3.31177	13	0.0792171868439468	0.162852099443645
ZB_49	1.93792	20	0.0694032200690204	0.40409556879356
ZB_50	2.00501	7	0.085662	0.124575980246914
ZB_51	2.60553	21	0.0701503673143466	0.393984646049759
ZB_52	1.75515	23	0.068663048796025	0.451668068492633
ZB_53	2.58715	10	0.0624830977443609	0.187505533166249
ZB_54	3.60997	26	0.0619253534956795	0.217006922699316
ZB_55	4.08852	28	0.165289372592185	0.700616713307238
ZB_56	2.49765	8	0.0646788739495798	0.20509169383832
ZB_57	3.50188	29	0.0781707350800582	0.193024924232312
ZB_58	1.50553	8	0.0484737049827331	0.0798186331880248
ZB_59	3.60454	31	0.0697713007284079	0.339770676313803
ZB_60	1.34938	5	0.046943137254902	0.035036583467897
ZB_61	0.97539	2	0.10946	0.037838024691358
ZB_62	1.36796	5	0.672584193548387	0.371538272632674
ZB_63	1.40515	6	0.0487722610851005	0.0469110123670365
ZB_64	0.94551	1	Inf	0
