PD	SR	MNTD	MPD
ZB_1	2.85698	9	0.372365441547519	0.213996447361254
ZB_2	2.41863	9	0.144249202357564	0.0527889284934055
ZB_3	2.49038	9	0.164847376955903	0.407496775794856
ZB_4	2.69386	11	0.0886924	0.742521406
ZB_5	1.99201	8	0.144109581292279	0.0528149347510108
ZB_6	4.69071	35	0.109800396424407	0.723710848998592
ZB_7	2.78642	13	0.0978006388937511	0.484441790425251
ZB_8	2.5774	10	0.115776053811659	0.823068992338475
ZB_9	2.61803	11	0.0996579943701619	0.312804721377983
ZB_10	2.70613	10	0.124797825059102	0.161778661989951
ZB_11	3.15114	14	0.142752919594067	0.0566822522090409
ZB_12	4.27311	28	0.113197942708333	0.721457653847346
ZB_13	3.86054	24	0.124441213389121	0.736912061959699
ZB_14	2.68382	10	0.120758271028037	0.763968414271989
ZB_15	2.56951	10	0.103204365325077	0.456810687728244
ZB_16	2.72624	14	0.108124534953197	0.2117502290309
ZB_17	3.81022	20	0.142413910140743	0.0644682691434368
ZB_18	3.12734	14	0.0904273298429319	0.665856225432417
ZB_19	4.82192	37	0.0864062891541679	0.762506649404467
ZB_20	0.76251	6	0.144375530224525	0.051390380579941
ZB_21	2.23852	7	0.146864656820156	0.133787317914162
ZB_22	1.71682	5	0.111980196078431	0.21368339869281
ZB_23	2.27818	10	0.0961743183940243	0.15986873006719
ZB_24	2.51974	10	0.0644584962195463	0.103135419039587
ZB_25	4.24971	27	0.095748570084666	0.823564416085751
ZB_26	4.71508	34	0.112500887812752	0.740576211787214
ZB_27	3.81087	22	0.115318316831683	0.706477552624768
ZB_28	1.7504	7	0.150831944140197	0.172183952282295
ZB_29	2.05122	5	0.224420789473684	0.348399220914127
ZB_30	4.73436	36	0.0753021932638332	0.760890670695654
ZB_31	2.72624	14	0.0995813053000438	0.389010397289839
ZB_32	4.43023	32	0.0674950328448712	0.663706500540925
ZB_33	4.39173	28	0.0679449052085412	0.560260426276719
ZB_34	4.73529	35	0.111820204251772	0.459041464421486
ZB_35	2.54931	9	0.14477956097561	0.051911237151981
ZB_36	2.46206	10	0.123213430093209	0.458842038342485
ZB_37	2.35052	8	0.124245083333333	0.613202452777778
ZB_38	4.41491	31	0.0616144423757215	0.605369277327044
ZB_39	2.10663	5	0.410804125350795	0.147400314851487
ZB_40	2.22896	9	0.0959141706412295	0.111573370055738
ZB_41	4.53684	30	0.0671138356708124	0.521678832450764
ZB_42	3.22637	16	0.114093518228584	0.373181345432412
ZB_43	2.72906	11	0.0529953780964798	0.0602556230944176
ZB_44	2.42538	8	0.414481613742842	0.121803488227463
ZB_45	2.64252	11	0.112070268456376	0.843964285167335
ZB_46	2.58476	10	0.0494174405579626	0.128248876455583
ZB_47	2.51384	7	0.14230502379536	0.0219078259520179
ZB_48	3.61858	23	0.116999659340659	0.507538956913416
ZB_49	2.29101	9	0.138099716386555	0.471369958766595
ZB_50	2.02067	9	0.144353668533035	0.0667673178086624
ZB_51	2.59062	10	0.148134725990233	0.467827650970118
ZB_52	2.82063	14	0.11333721060782	0.485880668175834
ZB_53	2.24477	6	0.127192524916944	0.119682464554598
ZB_54	4.2995	27	0.09250384	0.681417666272711
ZB_55	4.79326	36	0.111671947773973	0.815055407407435
ZB_56	2.38196	7	0.404905	0.127628408293205
ZB_57	4.45675	32	0.0648426296204416	0.63350383420823
ZB_58	2.4067	12	0.096713153961136	0.246270517106421
ZB_59	4.49673	31	0.0757088393543428	0.713172647392977
ZB_60	2.90471	11	0.0991867759562842	0.182629858983547
ZB_61	1.99201	8	0.143946594851707	0.0476054029161678
ZB_62	2.20799	6	0.368215483870968	0.575829344432882
ZB_63	2.84984	16	0.0971003856243442	0.277748604533758
ZB_64	1.99201	8	0.143765457662886	0.0507324218621329
