PD	SR	MNTD	MPD
ZB_1	4.13026	10	0.546287835051546	0.318935218939313
ZB_2	4.16256	15	0.0732550046635576	0.701289128838203
ZB_3	4.17905	17	0.103511073059361	0.314709378414232
ZB_4	4.06604	16	0.178003486682809	0.548445510702414
ZB_5	4.17366	14	0.0785578407892755	0.784050998132535
ZB_6	4.46102	16	0.285073824289406	0.976381906536066
ZB_7	3.73829	16	0.123281584138883	0.15100239965649
ZB_8	4.57928	16	0.114489968325792	0.318480669208247
ZB_9	3.12353	6	0.303001071428571	0.801405746173469
ZB_10	3.09171	5	1.07244147887324	0.312397666137671
ZB_11	5.01128	19	0.0721299670875873	0.753791527020326
ZB_12	5.30855	15	0.296796237113402	0.882431842384951
ZB_13	4.66531	12	0.314931176470588	0.737416281649915
ZB_14	3.81811	16	0.124824352603918	0.338427662951312
ZB_15	3.09378	11	0.174541465346535	0.36632298904029
ZB_16	3.26508	8	0.554275454545455	0.858263789409244
ZB_17	6.32	24	0.0790263933362181	0.805474726243423
ZB_18	3.93827	17	0.194060497000857	0.583172176293369
ZB_19	5.54864	21	0.0950256369183829	0.29656051358004
ZB_20	3.79726	13	0.0792931052104208	0.821557781361721
ZB_21	3.38363	5	1.06440524752475	0.154306503283992
ZB_22	3.91365	10	0.693704900990099	0.605463496961082
ZB_23	3.22176	7	0.467329277108434	0.761429240818696
ZB_24	4.71932	16	0.178572822100789	0.0291496271381537
ZB_25	5.54499	20	0.123565928251121	0.41097293500372
ZB_26	5.0665	17	0.285219345991561	0.765375418736314
ZB_27	3.8947	9	0.389530384615385	0.84538905982906
ZB_28	3.32291	6	1.01688052325581	0.18787713831801
ZB_29	3.82858	11	0.699860666666667	0.63334747297668
ZB_30	5.42107	20	0.198300077828777	0.262956124684544
ZB_31	3.68991	7	0.504209579831933	0.910542077536897
ZB_32	5.24789	19	0.175207730734085	0.157351314913061
ZB_33	5.70947	23	0.0688707486535009	0.107510080944661
ZB_34	5.01831	17	0.296647074742268	1.07982721666091
ZB_35	4.42333	14	0.0779382285607056	0.756793711733413
ZB_36	4.95678	22	0.0875874745853398	0.401665894522182
ZB_37	4.01942	13	0.555596313993174	0.773456647369218
ZB_38	5.55916	18	0.137667961918195	0.141013073434619
ZB_39	2.43248	3	1.083802	0.150685390222222
ZB_40	3.1744	7	0.318088076923077	0.62938949704142
ZB_41	4.46667	19	0.0685880656121851	0.098510322182378
ZB_42	3.61618	12	0.145431746031746	0.504579385544089
ZB_43	2.55787	11	0.178911980679891	0.0241358981395184
ZB_44	3.34074	6	0.996747340425532	0.383499683114531
ZB_45	3.93064	14	0.140092935745938	0.329639918221954
ZB_46	4.07922	13	0.173316782160936	0.043065497120617
ZB_47	2.71425	5	0.643276086956522	0.330542173913044
ZB_48	4.94091	12	0.362817261904762	0.691820530045351
ZB_49	4.3917	20	0.0852346864111498	0.447883207213879
ZB_50	4.54075	15	0.0810076580598456	0.806976787197742
ZB_51	3.65371	16	0.111664345661451	0.421941511536617
ZB_52	3.74236	16	0.107878661236956	0.176957806799891
ZB_53	2.80627	5	0.997714141414141	0.391753012957861
ZB_54	5.36729	19	0.0702334182530795	0.102307270391273
ZB_55	5.64241	22	0.23603737527115	1.10937232141765
ZB_56	2.23573	4	0.687040210526316	0.290338309141274
ZB_57	5.33723	17	0.150253487707261	0.14883435011136
ZB_58	3.11245	6	0.478463157894737	0.788764838411819
ZB_59	5.32725	20	0.118636030469742	0.205466108479774
ZB_60	2.87332	3	1.30341631578947	0.527824155124654
ZB_61	2.94213	10	0.0671612581377744	0.746387497356452
ZB_62	4.0929	14	0.778908911290322	0.680439476781998
ZB_63	3.23385	7	0.50552947368421	0.806465014958449
ZB_64	4.0513	14	0.0684097528910529	0.585617356553578
