PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	0.80314	2	0.80314	0.000633765930063886
ZB_3	0.90841	3	0.229138629757786	0.135171040212641
ZB_4	0.80314	2	0.80314	0.148909421105777
ZB_5	0.70718	1	Inf	0
ZB_6	0.90841	3	0.2274	0.122212551984877
ZB_7	0.90841	3	0.203025921505623	0.103576868943046
ZB_8	0.80314	2	0.80314	0.103629454417154
ZB_9	0	0	NA	NA
ZB_10	0.81245	2	0.81245	0.361088888888889
ZB_11	0.70718	1	Inf	0
ZB_12	0.70718	1	Inf	0
ZB_13	0.10527	1	Inf	0
ZB_14	0.80314	2	0.80314	0.0894610278540076
ZB_15	0.80314	2	0.80314	0.0438093468867139
ZB_16	0.70718	1	Inf	0
ZB_17	0.70718	1	Inf	0
ZB_18	0.80314	2	0.80314	0.201550856742786
ZB_19	0.20123	2	0.20123	0.0269214504696877
ZB_20	0.70718	1	Inf	0
ZB_21	0.70718	1	Inf	0
ZB_22	0.80314	2	0.80314	0.12825141875
ZB_23	0.70718	1	Inf	0
ZB_24	0.90841	3	0.201684683486932	0.0196178839469696
ZB_25	0.90841	3	0.216038205499276	0.040807100596673
ZB_26	0.20123	2	0.20123	0.0598700826446281
ZB_27	0.20123	2	0.20123	0.100615
ZB_28	0.80314	2	0.80314	0.356951111111111
ZB_29	0.80314	2	0.80314	0.0982091012315486
ZB_30	0.20123	2	0.20123	0.00736972279234929
ZB_31	0.70718	1	Inf	0
ZB_32	0.90841	3	0.202897340720222	0.0380356688580505
ZB_33	0.90841	3	0.210291544648381	0.0238997223342298
ZB_34	0.20123	2	0.20123	0.0656213543721236
ZB_35	0.70718	1	Inf	0
ZB_36	0.90841	3	0.274720994334278	0.19809654049547
ZB_37	0.90841	3	0.690281875	0.245389888916016
ZB_38	0.20123	2	0.20123	0.0978737639550954
ZB_39	0	0	NA	NA
ZB_40	0.70718	1	Inf	0
ZB_41	0.90841	3	0.210158111698697	0.0238303938519432
ZB_42	0.70718	1	Inf	0
ZB_43	0.20123	2	0.20123	0.0131038273369162
ZB_44	0.70718	1	Inf	0
ZB_45	0.80314	2	0.80314	0.0676889112354046
ZB_46	0.90841	3	0.201761722614841	0.0319590712602542
ZB_47	0.90841	3	0.502185	0.42905125
ZB_48	0.90841	3	0.301548333333333	0.269881111111111
ZB_49	0.90841	3	0.286098004338395	0.230013173077275
ZB_50	0.70718	1	Inf	0
ZB_51	0.90841	3	0.255104660493827	0.18010513459161
ZB_52	0.90841	3	0.208515489498042	0.105500414055873
ZB_53	0.70718	1	Inf	0
ZB_54	0.90841	3	0.207263177413966	0.0164709949856269
ZB_55	0.90841	3	0.21063484375	0.0886320068359375
ZB_56	0	0	NA	NA
ZB_57	0.90841	3	0.20157287097693	0.079550154366133
ZB_58	0.90841	3	0.502185	0.427032222222222
ZB_59	0.20123	2	0.20123	0.09005283976
ZB_60	0.70718	1	Inf	0
ZB_61	0.70718	1	Inf	0
ZB_62	0.80314	2	0.80314	0.279332282996433
ZB_63	0.70718	1	Inf	0
ZB_64	0.70718	1	Inf	0
