PD	SR	MNTD	MPD
ZB_1	1.55683	4	0.205536666666667	0.244479166666667
ZB_2	1.6371	5	0.748579135521612	0.410626458800018
ZB_3	1.88158	8	0.122245402298851	0.310657328411943
ZB_4	1.85966	7	0.467609109792285	0.571200081096074
ZB_5	1.6371	5	0.662422307411464	0.475487908698087
ZB_6	1.48583	6	0.167617555555556	0.517976098765432
ZB_7	2.03026	10	0.129438018774704	0.222219437798786
ZB_8	1.8293	7	0.607711021611002	0.56321901366754
ZB_9	1.56841	4	0.212812173913043	0.179693761814745
ZB_10	1.48814	3	0.425218571428571	0.479412244897959
ZB_11	1.6371	5	0.725777237354086	0.439740071648886
ZB_12	1.28162	3	0.222256818181818	0.115347066115702
ZB_13	0.26608	1	Inf	0
ZB_14	1.88193	8	0.549861303353658	0.587328894282607
ZB_15	1.6484	5	0.715184212598425	0.493596327112654
ZB_16	1.17946	4	0.143184516129032	0.112161040582726
ZB_17	1.92198	8	0.586647113319012	0.472800979130925
ZB_18	1.88193	8	0.52476077027027	0.598966379620161
ZB_19	1.88586	8	0.0711751028277635	0.074112862916875
ZB_20	1.6371	5	0.616559259634888	0.494783000608931
ZB_21	1.48814	3	0.657707142857143	0.537244897959184
ZB_22	1.85329	7	0.272400980392157	0.311243321799308
ZB_23	1.11014	3	0.206131896551724	0.108871985731272
ZB_24	1.95027	9	0.195978369152971	0.0867910208416909
ZB_25	1.80194	7	0.0783317041800643	0.165708819387723
ZB_26	1.487	6	0.171406875	0.464380069444445
ZB_27	1.15648	2	1.15648	0.472032653061225
ZB_28	1.48814	3	0.283142222222222	0.260227654320988
ZB_29	1.9393	8	0.436432234042553	0.573949708012675
ZB_30	1.88586	8	0.201957123702422	0.0206269300460363
ZB_31	1.56841	4	0.220607631578947	0.189068102493075
ZB_32	1.20357	5	0.194276490250696	0.0388188903814371
ZB_33	1.79036	7	0.0592413954611299	0.0668385568335672
ZB_34	1.26574	4	0.468058909090909	0.535701461157025
ZB_35	1.6371	5	0.698550342972428	0.454607550421419
ZB_36	2.03026	10	0.165342455012853	0.297740344631611
ZB_37	1.71565	6	0.361269863945578	0.507365344069601
ZB_38	1.3634	6	0.145998448275862	0.102367153180874
ZB_39	0.97787	1	Inf	0
ZB_40	1.48814	3	0.240595294117647	0.199704636678201
ZB_41	2.00569	9	0.0610545110858442	0.0600346907611662
ZB_42	1.71709	6	0.730478780487805	0.472347127371274
ZB_43	1.42394	7	0.197927734871064	0.0369881372000233
ZB_44	1.56841	4	0.2872	0.323733333333333
ZB_45	1.88193	8	0.624764215900802	0.543731628752512
ZB_46	1.95027	9	0.19156948172395	0.0783021001308873
ZB_47	1.0305	2	0.19273	0.0903421875
ZB_48	1.11077	3	0.176635	0.113371666666667
ZB_49	2.03026	10	0.138448801775148	0.286520204124505
ZB_50	1.6371	5	0.657556288776086	0.491826567749176
ZB_51	1.95027	9	0.151351778242678	0.391084740200627
ZB_52	1.95027	9	0.117292751031637	0.278171544844275
ZB_53	1.0305	2	0.19273	0.096365
ZB_54	1.92605	8	0.0610904980842912	0.0614775658372602
ZB_55	1.9549	9	0.111482710280374	0.382577528168399
ZB_56	1.0305	2	0.19273	0.0856577777777778
ZB_57	1.94618	8	0.166089950769231	0.0816320481249704
ZB_58	1.11077	3	0.177071538461538	0.0867472189349112
ZB_59	1.43209	7	0.100917059496567	0.111959895820788
ZB_60	1.0305	2	0.19273	0.082813671875
ZB_61	1.83972	7	0.612926149773071	0.469078112381872
ZB_62	1.69366	5	0.396699508196721	0.507204600913733
ZB_63	1.17946	4	0.143548292682927	0.105124092801904
ZB_64	1.6371	5	0.782785402399766	0.37483189349265
