PD	SR	MNTD	MPD
ZB_1	0.21344	1	Inf	0
ZB_2	0.4651	1	Inf	0
ZB_3	0	0	NA	NA
ZB_4	0.36424	1	Inf	0
ZB_5	0.36424	1	Inf	0
ZB_6	0.92595	9	0.115244825253664	0.235243666489147
ZB_7	0	0	NA	NA
ZB_8	0	0	NA	NA
ZB_9	0	0	NA	NA
ZB_10	0	0	NA	NA
ZB_11	0.51564	2	0.25763	0.114502222222222
ZB_12	0.54145	3	0.17460625	0.1218265625
ZB_13	0.74425	7	0.110556846846847	0.185871935719503
ZB_14	0.4651	1	Inf	0
ZB_15	0	0	NA	NA
ZB_16	0	0	NA	NA
ZB_17	0	0	NA	NA
ZB_18	0.12627	1	Inf	0
ZB_19	0.92595	9	0.122266240601504	0.264381269715642
ZB_20	0.36424	1	Inf	0
ZB_21	0	0	NA	NA
ZB_22	0	0	NA	NA
ZB_23	0	0	NA	NA
ZB_24	0	0	NA	NA
ZB_25	0.63757	4	0.169329	0.1887532
ZB_26	0.92595	9	0.116491601755348	0.234136897466366
ZB_27	0.62561	4	0.172773333333333	0.166931111111111
ZB_28	0	0	NA	NA
ZB_29	0.36424	1	Inf	0
ZB_30	0.92595	9	0.12262285106383	0.238749438841105
ZB_31	0	0	NA	NA
ZB_32	0.90014	8	0.146169384615385	0.242377117159763
ZB_33	0.4651	1	Inf	0
ZB_34	0.92595	9	0.116351767195767	0.244473011976148
ZB_35	0.36424	1	Inf	0
ZB_36	0	0	NA	NA
ZB_37	0	0	NA	NA
ZB_38	0.84471	7	0.158755272727273	0.266098366942149
ZB_39	0	0	NA	NA
ZB_40	0	0	NA	NA
ZB_41	0	0	NA	NA
ZB_42	0	0	NA	NA
ZB_43	0	0	NA	NA
ZB_44	0	0	NA	NA
ZB_45	0	0	NA	NA
ZB_46	0	0	NA	NA
ZB_47	0	0	NA	NA
ZB_48	0.77062	6	0.117304761904762	0.170448299319728
ZB_49	0	0	NA	NA
ZB_50	0.41398	2	0.25028	0.12514
ZB_51	0	0	NA	NA
ZB_52	0	0	NA	NA
ZB_53	0	0	NA	NA
ZB_54	0.5356	2	0.5356	0.2678
ZB_55	0.92595	9	0.120773446475196	0.224026717749797
ZB_56	0	0	NA	NA
ZB_57	0.81456	7	0.155589736842105	0.263715886426593
ZB_58	0	0	NA	NA
ZB_59	0.92595	9	0.119464893617021	0.270284382073336
ZB_60	0	0	NA	NA
ZB_61	0	0	NA	NA
ZB_62	0	0	NA	NA
ZB_63	0	0	NA	NA
ZB_64	0.4614	3	0.252925	0.1980925
