PD	SR	MNTD	MPD
ZB_1	0.23512	2	0.23512	0.11756
ZB_2	1.49168	4	0.294111513157895	0.273209423187904
ZB_3	0.24441	2	0.24441	0.040398347107438
ZB_4	1.10892	3	0.292450416666667	0.0369807858560091
ZB_5	1.38981	3	0.222583554404145	0.120523065338667
ZB_6	0.87257	1	Inf	0
ZB_7	0.33686	3	0.237334090909091	0.0332218595041322
ZB_8	0.41778	4	0.230300344827586	0.0284180145113931
ZB_9	0.09021	1	Inf	0
ZB_10	0.24441	2	0.24441	0.0997591836734694
ZB_11	1.49168	4	0.219330787401575	0.17639883961074
ZB_12	0.92526	2	0.21387	0.105614814814815
ZB_13	0.76408	1	Inf	0
ZB_14	1.50321	4	0.320813918918919	0.250178373914455
ZB_15	1.45503	3	0.533565	0.51403729338843
ZB_16	0.24441	2	0.24441	0.119711020408163
ZB_17	1.38981	3	0.214906853448276	0.103170246358502
ZB_18	0.28868	2	0.28868	0.0340503770355519
ZB_19	0.92526	2	0.21387	0.0759301775147929
ZB_20	1.49168	4	0.213855619524406	0.102833939169895
ZB_21	0	0	NA	NA
ZB_22	0.28868	2	0.28868	0.0155922839506173
ZB_23	0.24441	2	0.24441	0.1173168
ZB_24	1.32055	2	1.26822	0.0633693096646943
ZB_25	1.20979	5	0.204951538461538	0.376403550295858
ZB_26	0.92526	2	0.21387	0.0684384
ZB_27	0.92526	2	0.21387	0.0872938775510204
ZB_28	0.24441	2	0.24441	0.122205
ZB_29	0.28868	2	0.28868	0.01407315
ZB_30	0.87257	1	Inf	0
ZB_31	0.24441	2	0.24441	0.1145671875
ZB_32	1.01547	3	0.305358571428571	0.301062857142857
ZB_33	1.20979	5	0.1857956	0.467209536
ZB_34	0.92526	2	0.21387	0.1026576
ZB_35	1.48226	4	0.211165241691843	0.167404579503655
ZB_36	0.32533	3	0.198202692307692	0.136632426035503
ZB_37	0.1542	1	Inf	0
ZB_38	0.92526	2	0.21387	0.106935
ZB_39	0.24441	2	0.24441	0.108626666666667
ZB_40	0.24441	2	0.24441	0.12098295
ZB_41	1.20979	5	0.22370512195122	0.459680618679357
ZB_42	0.33686	3	0.216106363636364	0.100973516988062
ZB_43	0.32533	3	0.2255215	0.0632462
ZB_44	0.24441	2	0.24441	0.0782112
ZB_45	1.50321	4	0.6399495	0.629196827806122
ZB_46	0.33686	3	0.235185111111111	0.0437292839506173
ZB_47	0.09021	1	Inf	0
ZB_48	0.92526	2	0.21387	0.0523763265306122
ZB_49	0.33686	3	0.170281428571429	0.12633306122449
ZB_50	1.49168	4	0.18767336996337	0.111980133974694
ZB_51	0.41778	4	0.199950769230769	0.125369112426036
ZB_52	0.24441	2	0.24441	0.0590737060546875
ZB_53	0.09021	1	Inf	0
ZB_54	1.20979	5	0.208846470588235	0.351010657439446
ZB_55	1.01547	3	0.267238333333333	0.213860972222222
ZB_56	0.24441	2	0.24441	0.108626666666667
ZB_57	0.87257	1	Inf	0
ZB_58	0.24441	2	0.24441	0.108626666666667
ZB_59	0.92526	2	0.21387	0.1026576
ZB_60	0.24441	2	0.24441	0.115697041420118
ZB_61	1.49168	4	0.191210612244898	0.128391973917118
ZB_62	0.1542	1	Inf	0
ZB_63	0.33686	3	0.172562307692308	0.119537041420118
ZB_64	1.38981	3	0.241260903954802	0.154372460021067
