PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	0.67586	2	0.50482	0.0199190270708527
ZB_3	0	0	NA	NA
ZB_4	0.23338	1	Inf	0
ZB_5	0.67586	2	0.50482	0.0126889490226048
ZB_6	0.31035	3	0.1651	0.1333936
ZB_7	0.23338	1	Inf	0
ZB_8	0.23338	1	Inf	0
ZB_9	0.23338	1	Inf	0
ZB_10	0.23338	1	Inf	0
ZB_11	0.71168	3	0.218413888888889	0.0192160747006723
ZB_12	0.36816	4	0.144576666666667	0.14858962962963
ZB_13	0.23338	1	Inf	0
ZB_14	0.67586	2	0.50482	0.224364444444444
ZB_15	0.67586	2	0.50482	0.224364444444444
ZB_16	0.23338	1	Inf	0
ZB_17	0.67586	2	0.50482	0.0157716502897455
ZB_18	0.23338	1	Inf	0
ZB_19	0.36816	4	0.132406666666667	0.107042666666667
ZB_20	0.67586	2	0.50482	0.021842983005717
ZB_21	0	0	NA	NA
ZB_22	0	0	NA	NA
ZB_23	0.23338	1	Inf	0
ZB_24	0	0	NA	NA
ZB_25	0.31035	3	0.159776666666667	0.137933333333333
ZB_26	0.27453	2	0.27453	0.137265
ZB_27	0.13316	2	0.13316	0.0426112
ZB_28	0	0	NA	NA
ZB_29	0	0	NA	NA
ZB_30	0.31035	3	0.168648888888889	0.143145679012346
ZB_31	0.23338	1	Inf	0
ZB_32	0.29119	2	0.29119	0.0524142
ZB_33	0.27453	2	0.27453	0.0878496
ZB_34	0	0	NA	NA
ZB_35	0.67586	2	0.50482	0.0195969728457994
ZB_36	0	0	NA	NA
ZB_37	0	0	NA	NA
ZB_38	0.19097	3	0.108731428571429	0.0718677551020408
ZB_39	0	0	NA	NA
ZB_40	0.23338	1	Inf	0
ZB_41	0.31035	3	0.167381428571429	0.143235918367347
ZB_42	0.23338	1	Inf	0
ZB_43	0.23338	1	Inf	0
ZB_44	0.23338	1	Inf	0
ZB_45	0.67586	2	0.50482	0.1893075
ZB_46	0.23338	1	Inf	0
ZB_47	0	0	NA	NA
ZB_48	0	0	NA	NA
ZB_49	0	0	NA	NA
ZB_50	0.23338	1	Inf	0
ZB_51	0	0	NA	NA
ZB_52	0	0	NA	NA
ZB_53	0	0	NA	NA
ZB_54	0.23338	1	Inf	0
ZB_55	0.31035	3	0.1531225	0.10453
ZB_56	0.23338	1	Inf	0
ZB_57	0.36816	4	0.166121111111111	0.145194074074074
ZB_58	0.23338	1	Inf	0
ZB_59	0.27453	2	0.27453	0.122013333333333
ZB_60	0.23338	1	Inf	0
ZB_61	0.67586	2	0.50482	0.0103718959303648
ZB_62	0	0	NA	NA
ZB_63	0.23338	1	Inf	0
ZB_64	0.67586	2	0.50482	0.0383501420409205
