PD	SR	MNTD	MPD
ZB_1	1.25317	2	0.55903	0.20963625
ZB_2	1.57168	3	0.606655006973501	0.274509241473753
ZB_3	1.25317	2	0.55903	0.152380270416441
ZB_4	1.25317	2	0.55903	0.0326939592434534
ZB_5	1.67886	4	0.555235562587904	0.11294835431169
ZB_6	0.16946	2	0.16946	0.0813408
ZB_7	1.25317	2	0.55903	0.14787106497501
ZB_8	1.25317	2	0.55903	0.0525546256490762
ZB_9	1.25317	2	0.55903	0.1788896
ZB_10	0.98669	1	Inf	0
ZB_11	1.67886	4	0.468084805389222	0.234291104008301
ZB_12	0.09431	1	Inf	0
ZB_13	0.16946	2	0.16946	0.079434375
ZB_14	1.59739	3	0.620913054755043	0.314993298839788
ZB_15	1.59739	3	0.80855025974026	0.626477949063923
ZB_16	1.25317	2	0.55903	0.092401652892562
ZB_17	1.67886	4	0.551955902439024	0.111936544019036
ZB_18	1.34748	3	0.562091111111111	0.0528717024843774
ZB_19	0.16946	2	0.16946	0.07281484375
ZB_20	1.67886	4	0.551000073289902	0.103377738344704
ZB_21	0.96062	1	Inf	0
ZB_22	1.25317	2	0.55903	0.0557481440443213
ZB_23	1.59739	3	0.602498461538461	0.392731834319527
ZB_24	1.25317	2	0.55903	0.026924779759183
ZB_25	1.34748	3	0.82351	0.556789511111111
ZB_26	0.16946	2	0.16946	0.0635475
ZB_27	1.34748	3	0.98881	0.251787733333333
ZB_28	1.25317	2	0.55903	0.20963625
ZB_29	1.25317	2	0.55903	0.106289090086012
ZB_30	0.16946	2	0.16946	0.0840297520661157
ZB_31	1.25317	2	0.55903	0.279515
ZB_32	1.05493	2	1.05493	0.524343905325444
ZB_33	1.34748	3	0.80698	0.603116177777778
ZB_34	0.16946	2	0.16946	0.0753155555555556
ZB_35	1.57168	3	0.561999611650486	0.154992035064568
ZB_36	1.25317	2	0.55903	0.265262934443288
ZB_37	1.59739	3	0.579211785714286	0.116234285714286
ZB_38	1.13008	3	0.293218571428571	0.31212
ZB_39	1.25317	2	0.55903	0.279515
ZB_40	1.25317	2	0.55903	0.271750694444444
ZB_41	1.34748	3	0.818787142857143	0.594919002267574
ZB_42	1.33464	3	0.344726981132076	0.280348907084372
ZB_43	1.33464	3	0.227486056338028	0.120751858758183
ZB_44	0.98669	1	Inf	0
ZB_45	1.59739	3	0.79342831838565	0.60992914385972
ZB_46	1.25317	2	0.55903	0.0717898216409037
ZB_47	0.98669	1	Inf	0
ZB_48	1.081	2	1.081	0.51888
ZB_49	1.33464	3	0.400754615384615	0.268435769230769
ZB_50	1.67886	4	0.406946398046398	0.270126254925376
ZB_51	1.34748	3	0.575026774193548	0.234701144640999
ZB_52	1.25317	2	0.55903	0.153425030073513
ZB_53	1.25317	2	0.55903	0.2683344
ZB_54	0.09431	1	Inf	0
ZB_55	1.13044	3	0.256127	0.2166826
ZB_56	0.98669	1	Inf	0
ZB_57	0.16946	2	0.16946	0.0280099173553719
ZB_58	0.96062	1	Inf	0
ZB_59	0.16946	2	0.16946	0.0542272
ZB_60	1.25317	2	0.55903	0.136905306122449
ZB_61	1.57168	3	0.537795757575758	0.277336748163453
ZB_62	1.081	2	1.081	0.171652173913043
ZB_63	1.25317	2	0.55903	0.248457777777778
ZB_64	1.67886	4	0.560519879518072	0.175873856991773
