PD	SR	MNTD	MPD
ZB_1	1.4998	3	0.1817225	0.22476375
ZB_2	2.20728	10	0.285636258557135	0.47535489625093
ZB_3	1.6687	6	0.124252314814815	0.198274164951989
ZB_4	1.90223	6	0.122176109660574	0.181520800605362
ZB_5	2.28122	11	0.238243721804511	0.499031262270271
ZB_6	1.04941	6	0.178615714285714	0.186836485260771
ZB_7	1.90223	6	0.207981824817518	0.346824438169322
ZB_8	1.90223	6	0.216849548693587	0.361475705734001
ZB_9	2.10974	8	0.292856102941176	0.558025123269896
ZB_10	1.632	4	0.905754411764706	0.51061437716263
ZB_11	2.24268	11	0.270554056232092	0.594854964212245
ZB_12	2.42564	9	0.209053913043478	0.523552353497164
ZB_13	0.97283	5	0.178758571428571	0.189969387755102
ZB_14	1.95056	7	0.199400149925037	0.506510521321049
ZB_15	1.95056	7	0.322418476821192	0.768962422700759
ZB_16	2.00892	7	0.26015462962963	0.471667614692882
ZB_17	2.24268	11	0.304345982809319	0.528000541727779
ZB_18	2.06052	7	0.0965187315634218	0.213679020544548
ZB_19	2.19211	8	0.173822732919255	0.241502673507967
ZB_20	2.06499	8	0.355853149466192	0.606373995121009
ZB_21	1.63221	2	1.37623	0.475733827160494
ZB_22	2.12341	8	0.123883684210526	0.289100148476454
ZB_23	2.1092	7	0.33106675	0.587186975
ZB_24	1.90223	6	0.0969486111111111	0.122738353909465
ZB_25	2.06631	6	0.324403	0.7021506
ZB_26	1.95685	7	0.221569047619048	0.286874195011338
ZB_27	1.83613	5	0.355702619047619	0.401491213151927
ZB_28	1.66631	3	0.649691111111111	0.68597037037037
ZB_29	1.63404	5	0.0809589473684211	0.0840024819944598
ZB_30	2.15745	7	0.186721428571429	0.214987416978626
ZB_31	2.10974	8	0.294053979057592	0.281121421013678
ZB_32	1.95387	7	0.195977454545455	0.22721466446281
ZB_33	2.20001	7	0.283469722222222	0.7584128125
ZB_34	1.66592	4	0.447162857142857	0.554505306122449
ZB_35	2.18108	10	0.250536688029297	0.564708407669026
ZB_36	1.98321	7	0.307147321428571	0.385978029336735
ZB_37	2.13833	8	0.12744094488189	0.4429578002356
ZB_38	2.07957	6	0.270119310344828	0.345987395957194
ZB_39	1.26443	1	Inf	0
ZB_40	2.00838	6	0.35248701754386	0.65816731301939
ZB_41	2.42747	11	0.167547721518987	0.713071629546547
ZB_42	2.07508	7	0.281909512195122	0.380593843170952
ZB_43	1.90223	6	0.149727407407407	0.235563904320988
ZB_44	1.90169	5	0.831550909090909	0.656999265381084
ZB_45	1.95056	7	0.288749036458333	0.723747972310384
ZB_46	1.93689	7	0.138329579831933	0.223984495445237
ZB_47	1.87414	4	0.393422352941177	0.659795570934256
ZB_48	2.12435	6	0.307527368421053	0.646050415512465
ZB_49	1.63406	4	0.34546	0.265920640138408
ZB_50	2.20728	10	0.261945	0.593507047614381
ZB_51	1.93689	7	0.200234262295082	0.335212373018006
ZB_52	1.93689	7	0.123961185185185	0.197757614266118
ZB_53	1.76745	3	0.915935714285714	0.638165714285714
ZB_54	2.35221	9	0.236686181818182	0.486449520661157
ZB_55	1.95387	7	0.202793235294118	0.223949948096886
ZB_56	1.42863	2	1.17265	0.586325
ZB_57	1.95387	7	0.188298269230769	0.237926797337278
ZB_58	2.02642	6	0.274778958333333	0.377382673611111
ZB_59	1.87729	6	0.35192	0.470096914285714
ZB_60	1.86574	3	0.915528648648649	0.70559027027027
ZB_61	2.20728	10	0.242277034552164	0.527566452868615
ZB_62	2.00892	7	0.105291481481481	0.351935089163237
ZB_63	2.11362	7	0.168801571428571	0.184004846712018
ZB_64	2.13763	9	0.250149722139229	0.500531647198384
