PD	SR	MNTD	MPD
ZB_1	0.11937	1	Inf	0
ZB_2	0.46935	1	Inf	0
ZB_3	0	0	NA	NA
ZB_4	0.6033	2	0.52531	0.262655
ZB_5	0.46935	1	Inf	0
ZB_6	0.47071	3	0.327951666666667	0.03012805416238
ZB_7	0	0	NA	NA
ZB_8	0.21194	1	Inf	0
ZB_9	0	0	NA	NA
ZB_10	0	0	NA	NA
ZB_11	0.6033	2	0.52531	0.0132968014464168
ZB_12	0.47071	3	0.328490693277311	0.026085431047419
ZB_13	0.47071	3	0.326963033707865	0.0395060090617066
ZB_14	0.6033	2	0.52531	0.0134672153820206
ZB_15	0.46935	1	Inf	0
ZB_16	0	0	NA	NA
ZB_17	0.86207	4	0.517491935483871	0.0360715967163834
ZB_18	0	0	NA	NA
ZB_19	0.47071	3	0.329617704918033	0.0155743554792168
ZB_20	0.46935	1	Inf	0
ZB_21	0	0	NA	NA
ZB_22	0	0	NA	NA
ZB_23	0	0	NA	NA
ZB_24	0	0	NA	NA
ZB_25	0.47071	3	0.329210157894737	0.0195308355955679
ZB_26	0.47071	3	0.329460941176471	0.0170791743175702
ZB_27	0.47071	3	0.32775652027027	0.032686655291271
ZB_28	0	0	NA	NA
ZB_29	0.21194	1	Inf	0
ZB_30	0.47071	3	0.329237428571429	0.0188851802582257
ZB_31	0	0	NA	NA
ZB_32	0.47071	3	0.328623333333333	0.0244759825636336
ZB_33	0.47071	3	0.329276846846847	0.0190366088210332
ZB_34	0.47071	3	0.327042941176471	0.0372209617964833
ZB_35	0.60875	2	0.60875	0.0132320975727569
ZB_36	0	0	NA	NA
ZB_37	0.21194	1	Inf	0
ZB_38	0.47071	3	0.32897557806913	0.0213722086995558
ZB_39	0	0	NA	NA
ZB_40	0.35134	2	0.35134	0.17567
ZB_41	0.47071	3	0.328616373056995	0.0250887399512589
ZB_42	0	0	NA	NA
ZB_43	0	0	NA	NA
ZB_44	0	0	NA	NA
ZB_45	0.46935	1	Inf	0
ZB_46	0	0	NA	NA
ZB_47	0	0	NA	NA
ZB_48	0.35134	2	0.35134	0.0450560260317688
ZB_49	0	0	NA	NA
ZB_50	0.46935	1	Inf	0
ZB_51	0	0	NA	NA
ZB_52	0	0	NA	NA
ZB_53	0	0	NA	NA
ZB_54	0.47071	3	0.329009951219512	0.0214179497620464
ZB_55	0.47071	3	0.330101	0.0111681053626543
ZB_56	0	0	NA	NA
ZB_57	0.47071	3	0.329582857142857	0.015939929138322
ZB_58	0	0	NA	NA
ZB_59	0.47071	3	0.32899796812749	0.0213420307614165
ZB_60	0	0	NA	NA
ZB_61	0.46935	1	Inf	0
ZB_62	0.21194	1	Inf	0
ZB_63	0	0	NA	NA
ZB_64	0.46935	1	Inf	0
