PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	0.02594	1	Inf	0
ZB_3	0	0	NA	NA
ZB_4	0	0	NA	NA
ZB_5	0.67168	3	0.0438515343915344	0.00734025811147504
ZB_6	0.71746	2	0.21391	0.08021625
ZB_7	0	0	NA	NA
ZB_8	0.63103	1	Inf	0
ZB_9	0	0	NA	NA
ZB_10	0.63103	1	Inf	0
ZB_11	0.04065	2	0.04065	0.00331235853327297
ZB_12	0.71746	2	0.21391	0.0962891274238227
ZB_13	0.71746	2	0.21391	0.0950711111111111
ZB_14	0.04065	2	0.04065	0.00208317174515235
ZB_15	0.04065	2	0.04065	0.00410474666666667
ZB_16	0	0	NA	NA
ZB_17	0.65697	2	0.65697	0.00858747143351801
ZB_18	0	0	NA	NA
ZB_19	0.71746	2	0.21391	0.0625356641975309
ZB_20	0.02594	1	Inf	0
ZB_21	0	0	NA	NA
ZB_22	0.71746	2	0.21391	0.1026768
ZB_23	0	0	NA	NA
ZB_24	0	0	NA	NA
ZB_25	0.71746	2	0.21391	0.05454705
ZB_26	0.71746	2	0.21391	0.0664513313609467
ZB_27	0.71746	2	0.21391	0.0630057067718606
ZB_28	0	0	NA	NA
ZB_29	0.01471	1	Inf	0
ZB_30	0.71746	2	0.21391	0.105787525061261
ZB_31	0	0	NA	NA
ZB_32	0.71746	2	0.21391	0.102043801020408
ZB_33	0.71746	2	0.21391	0.0694917950853811
ZB_34	0.73217	3	0.292066	0.2546912
ZB_35	0.67168	3	0.0444083229813665	0.00909981405038386
ZB_36	0.63103	1	Inf	0
ZB_37	0	0	NA	NA
ZB_38	0.71746	2	0.21391	0.0671888637715645
ZB_39	0	0	NA	NA
ZB_40	0	0	NA	NA
ZB_41	0.71746	2	0.21391	0.0779088990279706
ZB_42	0.63103	1	Inf	0
ZB_43	0	0	NA	NA
ZB_44	0	0	NA	NA
ZB_45	0.04065	2	0.04065	0.0119931936044459
ZB_46	0	0	NA	NA
ZB_47	0	0	NA	NA
ZB_48	0.71746	2	0.21391	0.0684512
ZB_49	0	0	NA	NA
ZB_50	0.63063	3	0.0728808571428571	0.0684556081632653
ZB_51	0	0	NA	NA
ZB_52	0	0	NA	NA
ZB_53	0	0	NA	NA
ZB_54	0.71746	2	0.21391	0.105283828125
ZB_55	0.71746	2	0.21391	0.105197028270874
ZB_56	0	0	NA	NA
ZB_57	0.71746	2	0.21391	0.1002703125
ZB_58	0.02594	1	Inf	0
ZB_59	0.71746	2	0.21391	0.106856786042241
ZB_60	0	0	NA	NA
ZB_61	0.02594	1	Inf	0
ZB_62	0	0	NA	NA
ZB_63	0	0	NA	NA
ZB_64	0.02594	1	Inf	0
