PD	SR	MNTD	MPD
ZB_1	1.02944	2	1.02944	0.191485368458526
ZB_2	0	0	NA	NA
ZB_3	0.51472	1	Inf	0
ZB_4	0	0	NA	NA
ZB_5	0	0	NA	NA
ZB_6	0.51472	1	Inf	0
ZB_7	0.51472	1	Inf	0
ZB_8	0	0	NA	NA
ZB_9	0.51472	1	Inf	0
ZB_10	1.02944	2	1.02944	0.105814366729679
ZB_11	0.51472	1	Inf	0
ZB_12	1.02944	2	1.02944	0.0451721608696463
ZB_13	0.51472	1	Inf	0
ZB_14	0	0	NA	NA
ZB_15	0.51472	1	Inf	0
ZB_16	0.51472	1	Inf	0
ZB_17	0	0	NA	NA
ZB_18	1.02944	2	1.02944	0.51472
ZB_19	0.51472	1	Inf	0
ZB_20	0	0	NA	NA
ZB_21	1.02944	2	1.02944	0.199748584807492
ZB_22	0	0	NA	NA
ZB_23	0	0	NA	NA
ZB_24	0.51472	1	Inf	0
ZB_25	1.02944	2	1.02944	0.10722668485337
ZB_26	0.51472	1	Inf	0
ZB_27	1.02944	2	1.02944	0.0587742560553633
ZB_28	1.02944	2	1.02944	0.116006513747773
ZB_29	0	0	NA	NA
ZB_30	0.51472	1	Inf	0
ZB_31	0.51472	1	Inf	0
ZB_32	0.51472	1	Inf	0
ZB_33	1.02944	2	1.02944	0.0428739157990041
ZB_34	0.51472	1	Inf	0
ZB_35	0	0	NA	NA
ZB_36	0	0	NA	NA
ZB_37	0	0	NA	NA
ZB_38	0.51472	1	Inf	0
ZB_39	1.02944	2	1.02944	0.247199221200649
ZB_40	0	0	NA	NA
ZB_41	0.51472	1	Inf	0
ZB_42	0.51472	1	Inf	0
ZB_43	0	0	NA	NA
ZB_44	1.02944	2	1.02944	0.175496084539548
ZB_45	0	0	NA	NA
ZB_46	0.51472	1	Inf	0
ZB_47	1.02944	2	1.02944	0.0933732426303855
ZB_48	1.02944	2	1.02944	0.0176714649275688
ZB_49	0.51472	1	Inf	0
ZB_50	0	0	NA	NA
ZB_51	0	0	NA	NA
ZB_52	0.51472	1	Inf	0
ZB_53	1.02944	2	1.02944	0.22773083896659
ZB_54	1.02944	2	1.02944	0.0374213443072702
ZB_55	0.51472	1	Inf	0
ZB_56	1.02944	2	1.02944	0.1206375
ZB_57	0.51472	1	Inf	0
ZB_58	0	0	NA	NA
ZB_59	0.51472	1	Inf	0
ZB_60	0.51472	1	Inf	0
ZB_61	0	0	NA	NA
ZB_62	0	0	NA	NA
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
