PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	0.65886	1	Inf	0
ZB_3	0	0	NA	NA
ZB_4	0	0	NA	NA
ZB_5	0.65886	1	Inf	0
ZB_6	0.30781	2	0.30781	0.136804444444444
ZB_7	0	0	NA	NA
ZB_8	0	0	NA	NA
ZB_9	0	0	NA	NA
ZB_10	0	0	NA	NA
ZB_11	0.69171	2	0.0407	0.00766648199445983
ZB_12	0.18156	1	Inf	0
ZB_13	0.18156	1	Inf	0
ZB_14	0.65886	1	Inf	0
ZB_15	0	0	NA	NA
ZB_16	0	0	NA	NA
ZB_17	0.65886	1	Inf	0
ZB_18	0	0	NA	NA
ZB_19	0.30781	2	0.30781	0.0855027777777778
ZB_20	0.65886	1	Inf	0
ZB_21	0	0	NA	NA
ZB_22	0	0	NA	NA
ZB_23	0	0	NA	NA
ZB_24	0	0	NA	NA
ZB_25	0.18156	1	Inf	0
ZB_26	0	0	NA	NA
ZB_27	0.18156	1	Inf	0
ZB_28	0	0	NA	NA
ZB_29	0	0	NA	NA
ZB_30	0	0	NA	NA
ZB_31	0	0	NA	NA
ZB_32	0.18156	1	Inf	0
ZB_33	0.18156	1	Inf	0
ZB_34	0.12625	1	Inf	0
ZB_35	0.69171	2	0.0407	0.0203038548752834
ZB_36	0	0	NA	NA
ZB_37	0	0	NA	NA
ZB_38	0.30781	2	0.30781	0.11542875
ZB_39	0	0	NA	NA
ZB_40	0	0	NA	NA
ZB_41	0.84042	2	0.84042	0.183841875
ZB_42	0	0	NA	NA
ZB_43	0	0	NA	NA
ZB_44	0	0	NA	NA
ZB_45	0.65886	1	Inf	0
ZB_46	0	0	NA	NA
ZB_47	0	0	NA	NA
ZB_48	0.18156	1	Inf	0
ZB_49	0	0	NA	NA
ZB_50	0.69171	2	0.0407	0.0140691358024691
ZB_51	0	0	NA	NA
ZB_52	0	0	NA	NA
ZB_53	0	0	NA	NA
ZB_54	0.18156	1	Inf	0
ZB_55	0.30781	2	0.30781	0.153905
ZB_56	0	0	NA	NA
ZB_57	0.18156	1	Inf	0
ZB_58	0	0	NA	NA
ZB_59	0	0	NA	NA
ZB_60	0	0	NA	NA
ZB_61	0.68386	1	Inf	0
ZB_62	0	0	NA	NA
ZB_63	0	0	NA	NA
ZB_64	0.84042	2	0.84042	0.0930568858131488
