PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	0.76564	6	0.0715198060941828	0.0760186263150221
ZB_3	0.01014	1	Inf	0
ZB_4	0.09392	2	0.09392	0.04696
ZB_5	0.66467	5	0.059183265625	0.0489135793945312
ZB_6	0.03235	1	Inf	0
ZB_7	0.01014	1	Inf	0
ZB_8	0.10406	3	0.0542275	0.0320371875
ZB_9	0.05327	2	0.05327	0.0158489256198347
ZB_10	0.01014	1	Inf	0
ZB_11	0.66467	5	0.0559748801742919	0.0455842930306957
ZB_12	0.29886	3	0.166385	0.1233375
ZB_13	0	0	NA	NA
ZB_14	0.61681	3	0.3915365	0.27065365
ZB_15	0.57368	2	0.57368	0.254968888888889
ZB_16	0.08562	3	0.04326	0.0170582653061224
ZB_17	0.76564	6	0.0580030628272251	0.0500019493709054
ZB_18	0	0	NA	NA
ZB_19	0.36155	4	0.153534285714286	0.107309591836735
ZB_20	0.66467	5	0.0771066379310345	0.0866823695749108
ZB_21	0.05327	2	0.05327	0.0170464
ZB_22	0	0	NA	NA
ZB_23	0.08562	3	0.045185	0.033375
ZB_24	0	0	NA	NA
ZB_25	0.2326	1	Inf	0
ZB_26	0.16844	2	0.15662	0.07831
ZB_27	0.2326	1	Inf	0
ZB_28	0	0	NA	NA
ZB_29	0	0	NA	NA
ZB_30	0.48911	7	0.0951723076923077	0.128679526627219
ZB_31	0.04249	2	0.04249	0.0076482
ZB_32	0.51919	7	0.111245	0.143653472222222
ZB_33	0.30011	3	0.183087777777778	0.121001975308642
ZB_34	0	0	NA	NA
ZB_35	0.66467	5	0.0664535572139303	0.0673573358332715
ZB_36	0	0	NA	NA
ZB_37	0	0	NA	NA
ZB_38	0.12947	1	Inf	0
ZB_39	0	0	NA	NA
ZB_40	0.01014	1	Inf	0
ZB_41	0.13961	2	0.13961	0.05235375
ZB_42	0.12459	4	0.0459093939393939	0.0264946189164371
ZB_43	0.01014	1	Inf	0
ZB_44	0.05327	2	0.05327	0.026635
ZB_45	0.61681	3	0.504946603773585	0.134063894624422
ZB_46	0.01014	1	Inf	0
ZB_47	0	0	NA	NA
ZB_48	0.35458	3	0.172023333333333	0.125546666666667
ZB_49	0	0	NA	NA
ZB_50	0.73704	6	0.0527128	0.0387760314319527
ZB_51	0	0	NA	NA
ZB_52	0.01014	1	Inf	0
ZB_53	0	0	NA	NA
ZB_54	0	0	NA	NA
ZB_55	0.2326	1	Inf	0
ZB_56	0	0	NA	NA
ZB_57	0.35048	4	0.10286	0.136758367346939
ZB_58	0.01014	1	Inf	0
ZB_59	0.34324	4	0.136378	0.1470528
ZB_60	0.01014	1	Inf	0
ZB_61	0.66467	5	0.0484981385281385	0.0273515811172954
ZB_62	0.01014	1	Inf	0
ZB_63	0.12459	4	0.04454625	0.0220715277777778
ZB_64	0.66467	5	0.0654921276595745	0.061698376770355
