PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	0.65324	7	0.0105200093283582	0.0557514684332535
ZB_3	0.15756	1	Inf	0
ZB_4	0.1581	2	0.00283	0.001415
ZB_5	1.4698	8	0.0121558546511628	0.0611285421849648
ZB_6	0.40019	4	0.15201	0.15799375
ZB_7	1.09238	2	0.98008	0.49004
ZB_8	0.19275	4	0.0102273333333333	0.0388634666666667
ZB_9	0.1581	2	0.00283	0.001394624
ZB_10	0.19275	4	0.0072684	0.025219968
ZB_11	1.39455	8	0.0174144270403957	0.0774487192811592
ZB_12	0.35443	2	0.28968	0.0804666666666667
ZB_13	0.35443	2	0.28968	0.14484
ZB_14	0.55395	4	0.2335265	0.2121065125
ZB_15	0.5451	4	0.2728664	0.200298944
ZB_16	0.17443	3	0.00717128205128205	0.00970771860618014
ZB_17	0.5886	6	0.012759110707804	0.0416336607916311
ZB_18	0	0	NA	NA
ZB_19	0.41676	5	0.130860833333333	0.139840632716049
ZB_20	0.5886	6	0.0293055311973019	0.0693503608427722
ZB_21	0.1581	2	0.00283	0.0009056
ZB_22	0	0	NA	NA
ZB_23	0.28584	6	0.0108871428571429	0.039913443877551
ZB_24	0	0	NA	NA
ZB_25	0.22314	1	Inf	0
ZB_26	0.35443	2	0.28968	0.128746666666667
ZB_27	0.22314	1	Inf	0
ZB_28	1.1387	2	1.1387	0.249090625
ZB_29	0	0	NA	NA
ZB_30	1.41279	6	0.139808275862069	0.188664114149822
ZB_31	0.19961	4	0.00461523076923077	0.0170808331360947
ZB_32	0.4279	6	0.0532252380952381	0.109894965986395
ZB_33	0.40218	4	0.178512941176471	0.132936332179931
ZB_34	0	0	NA	NA
ZB_35	1.39455	8	0.0168303605313093	0.0653261642644448
ZB_36	0	0	NA	NA
ZB_37	0.1581	2	0.00283	0.001415
ZB_38	0.3844	4	0.113047142857143	0.135551020408163
ZB_39	0	0	NA	NA
ZB_40	0.1581	2	0.00283	0.00125777777777778
ZB_41	0.40729	4	0.1838615	0.1508734
ZB_42	0.2016	4	0.010428031496063	0.0364915915431831
ZB_43	0.15756	1	Inf	0
ZB_44	0.15756	1	Inf	0
ZB_45	0.57028	5	0.302358672566372	0.171133717597306
ZB_46	0.18099	2	0.18099	0.090495
ZB_47	0	0	NA	NA
ZB_48	0	0	NA	NA
ZB_49	0	0	NA	NA
ZB_50	1.39455	8	0.0125072382048331	0.0500995494205871
ZB_51	0	0	NA	NA
ZB_52	1.04712	1	Inf	0
ZB_53	0.18328	3	0.04737	0.06901625
ZB_54	0.35443	2	0.28968	0.0926976
ZB_55	1.3645	3	0.691745	0.619825
ZB_56	0	0	NA	NA
ZB_57	0.41905	6	0.0619188888888889	0.11808549382716
ZB_58	0.1581	2	0.00283	0.00140662721893491
ZB_59	0.39594	4	0.1798175	0.1691490625
ZB_60	0.17443	3	0.0141173333333333	0.0227537777777778
ZB_61	1.4698	8	0.0126510699001427	0.0503197206354891
ZB_62	0.15581	1	Inf	0
ZB_63	0.21793	5	0.00852314285714286	0.039508187755102
ZB_64	0.65324	7	0.0119971995332555	0.0654663207384039
