PD	SR	MNTD	MPD
ZB_1	0.67678	2	0.67678	0.300791111111111
ZB_2	0.90333	3	0.547727610921502	0.0865724609488754
ZB_3	0	0	NA	NA
ZB_4	0	0	NA	NA
ZB_5	0.90895	3	0.547738193548387	0.0577501548387097
ZB_6	0.22232	2	0.22232	0.0544457142857143
ZB_7	0	0	NA	NA
ZB_8	0.56281	1	Inf	0
ZB_9	0	0	NA	NA
ZB_10	0.11397	1	Inf	0
ZB_11	1.0173	4	0.542213636363636	0.12472395328188
ZB_12	0.22232	2	0.22232	0.0315720710059172
ZB_13	0.22232	2	0.22232	0.095528125
ZB_14	0.56281	1	Inf	0
ZB_15	0.56281	1	Inf	0
ZB_16	0	0	NA	NA
ZB_17	0.90895	3	0.54816786163522	0.145183198449428
ZB_18	0.47956	1	Inf	0
ZB_19	0.22232	2	0.22232	0.105448846222222
ZB_20	0.79498	2	0.54759	0.0503183771700357
ZB_21	0	0	NA	NA
ZB_22	0.11397	1	Inf	0
ZB_23	0.47956	1	Inf	0
ZB_24	0	0	NA	NA
ZB_25	0.22232	2	0.22232	0.0960718005540166
ZB_26	0.22232	2	0.22232	0.109787654320988
ZB_27	0.22232	2	0.22232	0.046953984
ZB_28	0	0	NA	NA
ZB_29	0	0	NA	NA
ZB_30	0.22232	2	0.22232	0.110949867674858
ZB_31	0.10835	1	Inf	0
ZB_32	0.22232	2	0.22232	0.0661447933884298
ZB_33	0.22232	2	0.22232	0.0197190265008113
ZB_34	0.11397	1	Inf	0
ZB_35	0.79498	2	0.54759	0.0564787041322314
ZB_36	0	0	NA	NA
ZB_37	0	0	NA	NA
ZB_38	0.22232	2	0.22232	0.08337
ZB_39	0.10835	1	Inf	0
ZB_40	0	0	NA	NA
ZB_41	0.22232	2	0.22232	0.0400176
ZB_42	0	0	NA	NA
ZB_43	0	0	NA	NA
ZB_44	0.10835	1	Inf	0
ZB_45	0.67678	2	0.67678	0.00491303824473044
ZB_46	0.10835	1	Inf	0
ZB_47	0.10835	1	Inf	0
ZB_48	0.11397	1	Inf	0
ZB_49	0	0	NA	NA
ZB_50	0.79498	2	0.54759	0.0475181404958678
ZB_51	0	0	NA	NA
ZB_52	0.47956	1	Inf	0
ZB_53	0	0	NA	NA
ZB_54	0.22232	2	0.22232	0.033128765522279
ZB_55	0.22232	2	0.22232	0.0711424
ZB_56	0	0	NA	NA
ZB_57	0.22232	2	0.22232	0.0578821301775148
ZB_58	0	0	NA	NA
ZB_59	0.22232	2	0.22232	0.0617555555555556
ZB_60	0	0	NA	NA
ZB_61	0.56281	1	Inf	0
ZB_62	0	0	NA	NA
ZB_63	0	0	NA	NA
ZB_64	0.79498	2	0.54759	0.111930100148148
