PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	0.54935	1	Inf	0
ZB_3	0	0	NA	NA
ZB_4	0	0	NA	NA
ZB_5	0.74683	3	0.621624740740741	0.00953563017832647
ZB_6	0.19748	2	0.19748	0.0983011555555555
ZB_7	0	0	NA	NA
ZB_8	0	0	NA	NA
ZB_9	0	0	NA	NA
ZB_10	0	0	NA	NA
ZB_11	0.54935	1	Inf	0
ZB_12	0.19748	2	0.19748	0.0671954631379962
ZB_13	0.19748	2	0.19748	0.0313578827977316
ZB_14	0.54935	1	Inf	0
ZB_15	0.54935	1	Inf	0
ZB_16	0	0	NA	NA
ZB_17	0.67139	2	0.67139	0.0246295571665648
ZB_18	0.54935	1	Inf	0
ZB_19	0.19748	2	0.19748	0.0883912344081569
ZB_20	0.54935	1	Inf	0
ZB_21	0	0	NA	NA
ZB_22	0	0	NA	NA
ZB_23	0.54935	1	Inf	0
ZB_24	0	0	NA	NA
ZB_25	0.19748	2	0.19748	0.09256875
ZB_26	0.19748	2	0.19748	0.0919020498614958
ZB_27	0.19748	2	0.19748	0.0877688888888889
ZB_28	0	0	NA	NA
ZB_29	0.12204	1	Inf	0
ZB_30	0.19748	2	0.19748	0.0762810319526627
ZB_31	0	0	NA	NA
ZB_32	0.19748	2	0.19748	0.0929870154577883
ZB_33	0.19748	2	0.19748	0.0697694097222222
ZB_34	0.07544	1	Inf	0
ZB_35	0.54935	1	Inf	0
ZB_36	0.07544	1	Inf	0
ZB_37	0.54935	1	Inf	0
ZB_38	0.19748	2	0.19748	0.095268671875
ZB_39	0	0	NA	NA
ZB_40	0	0	NA	NA
ZB_41	0.19748	2	0.19748	0.0864402076124567
ZB_42	0	0	NA	NA
ZB_43	0	0	NA	NA
ZB_44	0	0	NA	NA
ZB_45	0.54935	1	Inf	0
ZB_46	0	0	NA	NA
ZB_47	0	0	NA	NA
ZB_48	0.19748	2	0.19748	0.0631936
ZB_49	0	0	NA	NA
ZB_50	0.62479	2	0.62479	0.0430340051020408
ZB_51	0	0	NA	NA
ZB_52	0	0	NA	NA
ZB_53	0	0	NA	NA
ZB_54	0.74683	3	0.208725	0.115687299168975
ZB_55	0.19748	2	0.19748	0.0631936
ZB_56	0	0	NA	NA
ZB_57	0.19748	2	0.19748	0.0778956902848795
ZB_58	0	0	NA	NA
ZB_59	0.19748	2	0.19748	0.0959972222222222
ZB_60	0.54935	1	Inf	0
ZB_61	0.62479	2	0.62479	0.0623059279778393
ZB_62	0	0	NA	NA
ZB_63	0	0	NA	NA
ZB_64	0.54935	1	Inf	0
