PD	SR	MNTD	MPD
ZB_1	0.0325	1	Inf	0
ZB_2	0.85158	7	0.0818119505233111	0.0876079339417582
ZB_3	0	0	NA	NA
ZB_4	0.16844	2	0.16844	0.08422
ZB_5	0.85158	7	0.0799502108433735	0.059853249226827
ZB_6	0.89317	8	0.10688296969697	0.111929926170799
ZB_7	0.16844	2	0.16844	0.0467888888888889
ZB_8	0.47752	6	0.0954463636363636	0.0942997107438017
ZB_9	0.54075	6	0.0851269230769231	0.0621648652202498
ZB_10	0.1589	2	0.1589	0.0242763888888889
ZB_11	0.85158	7	0.0812843586109143	0.0746532725507441
ZB_12	0.91494	9	0.0959560344827586	0.0803955826397146
ZB_13	0.75723	7	0.13056592	0.14666244608
ZB_14	0.67511	3	0.334969534883721	0.320569497025419
ZB_15	0.71636	3	0.417421379310345	0.313425541022592
ZB_16	0.51898	5	0.118584117647059	0.0601789965397924
ZB_17	0.91094	7	0.0862512903225807	0.053830445462847
ZB_18	0.41538	3	0.210932	0.1791584
ZB_19	1.07135	12	0.095325124037639	0.0747287232110385
ZB_20	0.85158	7	0.0816996991404011	0.0732990649912562
ZB_21	0.0325	1	Inf	0
ZB_22	0	0	NA	NA
ZB_23	0.46656	4	0.101786	0.0675694222222222
ZB_24	0.0325	1	Inf	0
ZB_25	0.75723	7	0.0963985526315789	0.0753235058864266
ZB_26	0.80856	8	0.0983362195121951	0.0978261146638905
ZB_27	0.75723	7	0.0980183253588517	0.083454046381722
ZB_28	0.0325	1	Inf	0
ZB_29	0.27025	2	0.27025	0.120111111111111
ZB_30	1.10385	13	0.101633984819734	0.100518664453478
ZB_31	0.22104	5	0.0806280281690141	0.0264799523903987
ZB_32	0.96664	10	0.108084871060172	0.126447449856734
ZB_33	0.87158	9	0.0941243312101911	0.0766639658809688
ZB_34	0.68587	6	0.11434619047619	0.112282741244646
ZB_35	0.85158	7	0.0810306202209006	0.0885871830012943
ZB_36	0.27217	1	Inf	0
ZB_37	0.0325	1	Inf	0
ZB_38	1.04511	10	0.103324107744108	0.0982165443435477
ZB_39	0.08383	2	0.08383	0.041915
ZB_40	0.16337	3	0.11136	0.0400355555555556
ZB_41	0.92677	9	0.0955957487922705	0.0758359424957409
ZB_42	0.18514	4	0.0800963636363636	0.0339632282420161
ZB_43	0	0	NA	NA
ZB_44	0.08383	2	0.08383	0.0289782716049383
ZB_45	0.88299	7	0.340399469026549	0.228402518599734
ZB_46	0.0325	1	Inf	0
ZB_47	0.05133	1	Inf	0
ZB_48	0.71736	6	0.118174716981132	0.135176363474546
ZB_49	0	0	NA	NA
ZB_50	0.85158	7	0.080575728444004	0.0571485643676682
ZB_51	0	0	NA	NA
ZB_52	0.0325	1	Inf	0
ZB_53	0	0	NA	NA
ZB_54	0.84981	8	0.0940761278195489	0.0679029003900729
ZB_55	1.04171	10	0.0982988524590164	0.0865731994087611
ZB_56	0.0325	1	Inf	0
ZB_57	1.06795	12	0.104243898305085	0.110169025912094
ZB_58	0.19927	4	0.107493333333333	0.0538571193415638
ZB_59	0.93414	9	0.0981922282608696	0.0846691180293006
ZB_60	0.30467	2	0.30467	0.0404154081632653
ZB_61	0.85158	7	0.0786692803030303	0.0498659600104581
ZB_62	0.40094	3	0.25329	0.1745376
ZB_63	0.54075	6	0.0843735483870968	0.0557383743785409
ZB_64	0.81232	6	0.0942368632075472	0.0801272399541652
