PD	SR	MNTD	MPD
ZB_1	0.19307	1	Inf	0
ZB_2	1.34025	8	0.108401067904817	0.190404468114132
ZB_3	0.17	1	Inf	0
ZB_4	0.91663	7	0.157688333333333	0.256155277777778
ZB_5	1.34025	8	0.0959467109521376	0.162882566437128
ZB_6	1.41968	12	0.303596875	0.140289201302083
ZB_7	0.44441	4	0.116547142857143	0.134181224489796
ZB_8	0.99026	8	0.101747619047619	0.175900586734694
ZB_9	1.59018	9	0.0981377678571429	0.169241248405612
ZB_10	0.62717	6	0.0887090909090909	0.13809847107438
ZB_11	1.34025	8	0.0844951337607782	0.138057543782536
ZB_12	1.54393	13	0.306919361702128	0.121333826401386
ZB_13	1.25693	8	0.291763979591837	0.171997012818733
ZB_14	1.45368	8	0.465976666666667	0.50423754180839
ZB_15	1.20375	7	0.643493734939759	0.408785867324721
ZB_16	0.82034	7	0.0909913068181818	0.145503320635331
ZB_17	1.77285	11	0.0923039157273215	0.155875644416266
ZB_18	0.56982	3	0.108735833333333	0.111415972222222
ZB_19	1.54393	13	0.306596817375887	0.117352969971679
ZB_20	1.34025	8	0.106995953947368	0.184237816333597
ZB_21	0.48462	5	0.118143333333333	0.0941393197278911
ZB_22	0.30599	1	Inf	0
ZB_23	0.48609	6	0.0780487804878049	0.139936989886972
ZB_24	0.17	1	Inf	0
ZB_25	1.16947	8	0.355690311004785	0.129709779538014
ZB_26	1.34136	9	0.315280114942529	0.0911185707784677
ZB_27	1.30761	9	0.311416945736434	0.124097583750977
ZB_28	0.21457	1	Inf	0
ZB_29	0.58181	3	0.361266	0.2540576
ZB_30	1.54393	13	0.297798362391034	0.155504118909631
ZB_31	0.66871	7	0.079104752851711	0.131762276742471
ZB_32	1.54393	13	0.287992585877863	0.184727627250743
ZB_33	1.33554	10	0.334499504219409	0.0987484533728569
ZB_34	0.99849	6	0.331179836065574	0.213916628594464
ZB_35	1.49782	9	0.0952333303544832	0.160563313308397
ZB_36	0.24881	2	0.13455	0.0598
ZB_37	0.95005	7	0.165091851851852	0.266834567901235
ZB_38	1.53672	12	0.305424146620848	0.123169501173686
ZB_39	0.32867	2	0.21441	0.107205
ZB_40	0.95684	8	0.136200714285714	0.23265318877551
ZB_41	1.54393	13	0.311209541734861	0.0953378889079371
ZB_42	0.82034	7	0.0842723157894737	0.134742399168975
ZB_43	0.55732	3	0.194361666666667	0.156012777777778
ZB_44	0.48609	6	0.0767890322580645	0.123432715920916
ZB_45	1.62794	10	0.538534186602871	0.315324227009455
ZB_46	0.17	1	Inf	0
ZB_47	0.2159	1	Inf	0
ZB_48	1.13647	8	0.353861022364217	0.13292664169278
ZB_49	0.47014	2	0.47014	0.208951111111111
ZB_50	1.34025	8	0.0801932781954887	0.130990108742721
ZB_51	0.30599	1	Inf	0
ZB_52	0.25424	1	Inf	0
ZB_53	0.30599	1	Inf	0
ZB_54	1.30597	9	0.33411794369645	0.114916433559205
ZB_55	1.53672	12	0.310328049490539	0.0986050438905945
ZB_56	0.23557	2	0.07278	0.0356473469387755
ZB_57	1.54393	13	0.289980540865385	0.189734227273253
ZB_58	0.95684	8	0.0891641025641026	0.149071061801446
ZB_59	1.47415	11	0.307803297491039	0.123541187934379
ZB_60	0.95684	8	0.100691481481481	0.183153031550069
ZB_61	1.34025	8	0.0827516264796142	0.133453987804252
ZB_62	0.72052	4	0.27618625	0.3104425
ZB_63	0.95684	8	0.0930248130841121	0.170188026028474
ZB_64	1.34025	8	0.102787584642234	0.176535409192609
