PD	SR	MNTD	MPD
ZB_1	0.1517	2	0.1517	0.0556443808532778
ZB_2	0	0	NA	NA
ZB_3	0.1517	2	0.1517	0.0225765044488009
ZB_4	0	0	NA	NA
ZB_5	0	0	NA	NA
ZB_6	0	0	NA	NA
ZB_7	0.1517	2	0.1517	0.0235887051988551
ZB_8	0	0	NA	NA
ZB_9	0.07585	1	Inf	0
ZB_10	0.1517	2	0.1517	0.0618284860790217
ZB_11	0	0	NA	NA
ZB_12	0.1517	2	0.1517	0.0137596371882086
ZB_13	0	0	NA	NA
ZB_14	0	0	NA	NA
ZB_15	0	0	NA	NA
ZB_16	0.1517	2	0.1517	0.0155701940989123
ZB_17	0.1517	2	0.1517	0.0674222222222222
ZB_18	0	0	NA	NA
ZB_19	0	0	NA	NA
ZB_20	0	0	NA	NA
ZB_21	0.1517	2	0.1517	0.0674222222222222
ZB_22	0	0	NA	NA
ZB_23	0.1517	2	0.1517	0.0371510204081633
ZB_24	0.1517	2	0.1517	0.0262515451150739
ZB_25	0.1517	2	0.1517	0.0147610782380013
ZB_26	0	0	NA	NA
ZB_27	0.1517	2	0.1517	0.0674222222222222
ZB_28	0.1517	2	0.1517	0.0424718360945005
ZB_29	0	0	NA	NA
ZB_30	0	0	NA	NA
ZB_31	0.1517	2	0.1517	0.0394958579881657
ZB_32	0	0	NA	NA
ZB_33	0.1517	2	0.1517	0.0208093278463649
ZB_34	0	0	NA	NA
ZB_35	0	0	NA	NA
ZB_36	0.1517	2	0.1517	0.0246947048991172
ZB_37	0	0	NA	NA
ZB_38	0	0	NA	NA
ZB_39	0.1517	2	0.1517	0.0588896099993991
ZB_40	0.07585	1	Inf	0
ZB_41	0.07585	1	Inf	0
ZB_42	0.1517	2	0.1517	0.0184965028355388
ZB_43	0.1517	2	0.1517	0.0203296728395062
ZB_44	0.1517	2	0.1517	0.0671341137604137
ZB_45	0	0	NA	NA
ZB_46	0.1517	2	0.1517	0.0161884444326961
ZB_47	0.1517	2	0.1517	0.0659590663580247
ZB_48	0.1517	2	0.1517	0.063714
ZB_49	0.1517	2	0.1517	0.0222745192749858
ZB_50	0.07585	1	Inf	0
ZB_51	0.1517	2	0.1517	0.0222599810512121
ZB_52	0.1517	2	0.1517	0.0221309269223873
ZB_53	0.1517	2	0.1517	0.0397739001189061
ZB_54	0.1517	2	0.1517	0.0285750692520776
ZB_55	0	0	NA	NA
ZB_56	0.1517	2	0.1517	0.0442787200832466
ZB_57	0	0	NA	NA
ZB_58	0.1517	2	0.1517	0.0250743801652893
ZB_59	0	0	NA	NA
ZB_60	0.07585	1	Inf	0
ZB_61	0	0	NA	NA
ZB_62	0	0	NA	NA
ZB_63	0.1517	2	0.1517	0.0299654320987654
ZB_64	0	0	NA	NA
