PD	SR	MNTD	MPD
ZB_1	1.7165	10	0.301061915422886	0.288144745619608
ZB_2	0.7312	2	0.44352	0.051975
ZB_3	1.87022	14	0.452008754155731	0.265847593919701
ZB_4	1.32102	9	0.159190671641791	0.33648502339051
ZB_5	0.95939	3	0.32279064516129	0.187978730489074
ZB_6	2.23722	20	0.100544	0.28521310023597
ZB_7	1.53012	13	0.356089051705171	0.41352311344833
ZB_8	1.14912	7	0.285653485714286	0.320855094857143
ZB_9	0.7312	2	0.44352	0.0125993716157874
ZB_10	1.19246	6	0.147304583117556	0.184716188900281
ZB_11	0.92362	3	0.27928	0.109591746031746
ZB_12	1.64322	12	0.0697071755725191	0.0987388148495223
ZB_13	1.79412	12	0.0978710931899642	0.170373368019424
ZB_14	1.32082	10	0.148854603174603	0.319030169368159
ZB_15	1.41557	6	0.25969261682243	0.0500315381256005
ZB_16	0.7312	2	0.44352	0.0531592549704913
ZB_17	1.83077	14	0.125269090909091	0.486653884297521
ZB_18	1.58372	10	0.241758258706468	0.415233005123636
ZB_19	2.54205	25	0.0763875271959734	0.293406231555873
ZB_20	0.54707	3	0.281538	0.220064
ZB_21	1.27068	8	0.125317549530761	0.173485755995829
ZB_22	1.40731	6	0.25670484375	0.216681313476563
ZB_23	0.7312	2	0.44352	0.00593463551773202
ZB_24	1.53012	13	0.170079376616306	0.244364412647286
ZB_25	1.6902	16	0.104483710124827	0.473680608522606
ZB_26	2.25488	19	0.0825011798839458	0.19124643344844
ZB_27	1.57023	11	0.0701517988394584	0.09876510862774
ZB_28	1.2525	7	0.204629672571122	0.275649359989098
ZB_29	1.17221	5	0.254940410958904	0.157789844248452
ZB_30	2.51783	24	0.117400986565069	0.30083541596199
ZB_31	0.92054	3	0.258365234460196	0.00917652032551264
ZB_32	2.24507	21	0.116325391566265	0.194222701339999
ZB_33	2.29143	20	0.06977941902687	0.130223875672782
ZB_34	2.58919	23	0.0797544829979181	0.217667624216162
ZB_35	0.85335	2	0.56567	0.1810144
ZB_36	1.94423	17	0.374342441715884	0.339302519837736
ZB_37	1.20858	9	0.41179904	0.3996503296
ZB_38	1.974	21	0.0938994633027523	0.178794945303426
ZB_39	0.93514	5	0.166110885466795	0.208121405215832
ZB_40	0.7312	2	0.44352	0.00774164414382342
ZB_41	2.36546	21	0.0778739821029083	0.158094849642947
ZB_42	1.197	5	0.270045306616461	0.0610123657513091
ZB_43	1.53012	13	0.139680437536401	0.189879662292251
ZB_44	1.19246	6	0.109504519230769	0.125612132231373
ZB_45	1.41005	9	0.187653981900453	0.412213731086587
ZB_46	1.74807	14	0.138813566595786	0.235559078416837
ZB_47	1.50664	8	0.0762611960368011	0.0716262414146468
ZB_48	1.86769	13	0.0688359284497445	0.0715825932541813
ZB_49	1.53012	13	0.456290561208757	0.346070062550816
ZB_50	0.7312	2	0.44352	0.0551936
ZB_51	1.53012	13	0.478543969924812	0.329328990095087
ZB_52	1.90625	15	0.348018147595975	0.392551299148104
ZB_53	1.22581	7	0.165301735827002	0.212406875113791
ZB_54	2.11045	19	0.0784316401205338	0.204571377949714
ZB_55	2.4303	23	0.0790549499443826	0.403431473259746
ZB_56	0.94935	6	0.164569619970194	0.216438090889102
ZB_57	2.25877	22	0.103593244206774	0.188823468029143
ZB_58	0.92054	3	0.266036135181976	0.0433788355541939
ZB_59	2.51922	24	0.0791984627329193	0.291613168655616
ZB_60	0.7312	2	0.44352	0.00365532202615933
ZB_61	0.50563	1	Inf	0
ZB_62	1.01073	5	0.426434722222222	0.421457824074074
ZB_63	0.7312	2	0.44352	0.00938417466127746
ZB_64	0	0	NA	NA
