PD	SR	MNTD	MPD
ZB_1	0.02416	1	Inf	0
ZB_2	0	0	NA	NA
ZB_3	0.57212	9	0.122179242424242	0.11772700901056
ZB_4	0.17962	3	0.128	0.0484466567901235
ZB_5	0	0	NA	NA
ZB_6	0.48635	6	0.0911164	0.130003008
ZB_7	0.57212	9	0.147218731942215	0.127119550367132
ZB_8	0.23141	3	0.128435	0.073068515625
ZB_9	0	0	NA	NA
ZB_10	0	0	NA	NA
ZB_11	0.18237	1	Inf	0
ZB_12	0.32107	2	0.2792	0.0775555555555556
ZB_13	0.18057	1	Inf	0
ZB_14	0.29694	5	0.0953259574468085	0.0853634585785423
ZB_15	0.15206	2	0.13383	0.037175
ZB_16	0	0	NA	NA
ZB_17	0.12425	2	0.12425	0.062125
ZB_18	0.37336	5	0.113965208333333	0.0778807899305556
ZB_19	0.61481	10	0.0969399155908639	0.0861733306822451
ZB_20	0	0	NA	NA
ZB_21	0	0	NA	NA
ZB_22	0.16733	2	0.16733	0.0743688888888889
ZB_23	0	0	NA	NA
ZB_24	0.44973	7	0.190871473199605	0.018170354033622
ZB_25	0.43162	8	0.0944678006872852	0.0785282162468559
ZB_26	0.31415	4	0.1203812	0.135411776
ZB_27	0.18057	1	Inf	0
ZB_28	0	0	NA	NA
ZB_29	0.12152	1	Inf	0
ZB_30	0.56753	8	0.0774195315024233	0.0136249982644371
ZB_31	0	0	NA	NA
ZB_32	0.49242	8	0.0799085688568857	0.0418508986560222
ZB_33	0.57212	9	0.0958954890738814	0.0785737510841659
ZB_34	0.49019	7	0.0663690243902439	0.128235883402736
ZB_35	0	0	NA	NA
ZB_36	0.57212	9	0.11066661197703	0.0961279751756607
ZB_37	0.17962	3	0.1042425	0.0818044444444444
ZB_38	0.61481	10	0.086481971291866	0.116979382477507
ZB_39	0	0	NA	NA
ZB_40	0	0	NA	NA
ZB_41	0.57212	9	0.0985862187039764	0.0705696385570914
ZB_42	0	0	NA	NA
ZB_43	0.48435	7	0.192657454265686	0.00954368304559721
ZB_44	0	0	NA	NA
ZB_45	0.27869	5	0.087635	0.103188368055556
ZB_46	0.49664	8	0.187372625586068	0.0303199839473147
ZB_47	0	0	NA	NA
ZB_48	0	0	NA	NA
ZB_49	0.55479	8	0.118360170132325	0.0948785314517887
ZB_50	0	0	NA	NA
ZB_51	0.57212	9	0.119321215139442	0.114037917334645
ZB_52	0.57212	9	0.133502561813187	0.12321330417522
ZB_53	0	0	NA	NA
ZB_54	0.43162	8	0.0969615996343693	0.0766283361463058
ZB_55	0.41933	7	0.0692405882352941	0.123049395155709
ZB_56	0	0	NA	NA
ZB_57	0.61481	10	0.0834239294503692	0.091792979035116
ZB_58	0	0	NA	NA
ZB_59	0.61481	10	0.0900976533333333	0.134566644053333
ZB_60	0	0	NA	NA
ZB_61	0	0	NA	NA
ZB_62	0.19787	3	0.1240175	0.059423125
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
