PD	SR	MNTD	MPD
ZB_1	0.71937	4	0.376935332893869	0.286195701539442
ZB_2	0.0901	1	Inf	0
ZB_3	0.58996	2	0.58996	0.000423593555131865
ZB_4	0.0901	1	Inf	0
ZB_5	0.0901	1	Inf	0
ZB_6	0.37536	4	0.117255454545455	0.124851275219826
ZB_7	0.61153	2	0.61153	0.000468246485679639
ZB_8	0.28415	2	0.28415	0.0103291838134431
ZB_9	0.61153	2	0.61153	0.00879220611159729
ZB_10	0.6972	3	0.324449319010944	0.202968918351342
ZB_11	0.7873	4	0.193426	0.164804544
ZB_12	0.80947	5	0.173695412566238	0.0632119451863882
ZB_13	0.28526	3	0.255293186077644	0.0170136726110152
ZB_14	0.0901	1	Inf	0
ZB_15	0.0901	1	Inf	0
ZB_16	0.68006	3	0.184554886759582	0.0691960325261931
ZB_17	0.80947	5	0.27351375	0.32564375
ZB_18	0.15863	2	0.15863	0.00417373155555556
ZB_19	0.37536	4	0.145817798319328	0.0531775749170256
ZB_20	0	0	NA	NA
ZB_21	0.68006	3	0.226669030390738	0.156961972172715
ZB_22	0.7873	4	0.174603114754098	0.0653629669443698
ZB_23	0.61153	2	0.61153	0.0088587154936446
ZB_24	0.52143	1	Inf	0
ZB_25	0.69669	3	0.321405479833101	0.199417871909099
ZB_26	0.37536	4	0.141143083923155	0.0698039614730693
ZB_27	0.69669	3	0.267914057507987	0.0262503147934551
ZB_28	0.68006	3	0.322812469618056	0.281066568452812
ZB_29	0.0901	1	Inf	0
ZB_30	0.37536	4	0.123600303975058	0.11463557119937
ZB_31	0.61153	2	0.61153	0.0179821697482736
ZB_32	0.26258	2	0.26258	0.00603550567874527
ZB_33	0.78679	4	0.259545577689243	0.232031748702402
ZB_34	0.37536	4	0.13333772755418	0.0921983971781575
ZB_35	0.68006	3	0.2664625	0.26358875
ZB_36	0.58996	2	0.58996	0.000878079512983401
ZB_37	0.0901	1	Inf	0
ZB_38	0.26258	2	0.26258	0.0218403024574669
ZB_39	0.58996	2	0.58996	0.237607744902026
ZB_40	0.61153	2	0.61153	0.012938215802295
ZB_41	0.68006	3	0.256613629976581	0.258150069380077
ZB_42	0.68006	3	0.194075665493687	0.0923081486849168
ZB_43	0.52143	1	Inf	0
ZB_44	0.58996	2	0.58996	0.114311720226843
ZB_45	0.0901	1	Inf	0
ZB_46	0.52143	1	Inf	0
ZB_47	0.68006	3	0.180213188031983	0.0561655561814419
ZB_48	0.71937	4	0.273672157598499	0.0518719650532051
ZB_49	0.68006	3	0.589279936933386	0.00189155806946432
ZB_50	0.61153	2	0.61153	0.0214503507653061
ZB_51	0.52143	1	Inf	0
ZB_52	0.52143	1	Inf	0
ZB_53	0.58996	2	0.58996	0.213074700451201
ZB_54	0.6972	3	0.31813043956044	0.190148751224356
ZB_55	0.37536	4	0.137653057176196	0.0798964768418229
ZB_56	0.68006	3	0.256603528571429	0.207376317188209
ZB_57	0.26258	2	0.26258	0.040890683567225
ZB_58	0.61153	2	0.61153	0.0529971299966511
ZB_59	0.28526	3	0.249283511450382	0.0301896602762077
ZB_60	0.71877	3	0.286015279831045	0.00761536804380866
ZB_61	0.61153	2	0.61153	0.1956896
ZB_62	0.0901	1	Inf	0
ZB_63	0.68006	3	0.164476191132552	0.0164959669641186
ZB_64	0.0901	1	Inf	0
