PD	SR	MNTD	MPD
ZB_1	1.37495	4	0.64527015037594	0.0350689988128215
ZB_2	0.73036	3	0.3744	0.2867856
ZB_3	0.34248	1	Inf	0
ZB_4	0.67039	3	0.428133333333333	0.297951111111111
ZB_5	0	0	NA	NA
ZB_6	3.28818	23	0.360907461197339	0.57211511702936
ZB_7	0.34248	1	Inf	0
ZB_8	0.33941	1	Inf	0
ZB_9	0	0	NA	NA
ZB_10	0.74457	1	Inf	0
ZB_11	0.74457	1	Inf	0
ZB_12	1.66281	9	0.548652825203252	0.390331709961002
ZB_13	2.47921	15	0.201137436281859	0.312206512366006
ZB_14	0	0	NA	NA
ZB_15	0.44294	1	Inf	0
ZB_16	0	0	NA	NA
ZB_17	1.64055	12	0.184627142857143	0.342870929705215
ZB_18	0	0	NA	NA
ZB_19	3.22844	22	0.225116892880905	0.474346082091749
ZB_20	0.63362	2	0.48182	0.24091
ZB_21	0.87024	2	0.64952	0.071919169550173
ZB_22	0.34087	1	Inf	0
ZB_23	0	0	NA	NA
ZB_24	0.39188	2	0.18143	0.090715
ZB_25	2.06279	13	0.561235859188544	0.364165655356258
ZB_26	3.28818	23	0.340452285382831	0.57208534543883
ZB_27	1.926	11	0.535392708618331	0.419130218036122
ZB_28	0.87024	2	0.64952	0.0267724587257618
ZB_29	0	0	NA	NA
ZB_30	3.28818	23	0.208906970243463	0.46448490889769
ZB_31	0	0	NA	NA
ZB_32	2.97528	21	0.184624808558559	0.374330611557503
ZB_33	1.69967	9	0.552878727272727	0.301153205555556
ZB_34	3.28818	23	0.336646303308824	0.570536935528628
ZB_35	0.25985	1	Inf	0
ZB_36	0.55902	2	0.4662	0.0530842975206612
ZB_37	0.44294	1	Inf	0
ZB_38	3.09441	20	0.222505668835864	0.375800659030297
ZB_39	1.02934	3	0.746947529411765	0.0376288830449827
ZB_40	0	0	NA	NA
ZB_41	1.4693	7	0.656208121212121	0.337486961248852
ZB_42	0.74457	1	Inf	0
ZB_43	0.09739	1	Inf	0
ZB_44	0.74457	1	Inf	0
ZB_45	0	0	NA	NA
ZB_46	0	0	NA	NA
ZB_47	0.74457	1	Inf	0
ZB_48	1.85621	10	0.267749209621993	0.422545149915565
ZB_49	0.34248	1	Inf	0
ZB_50	0.74457	1	Inf	0
ZB_51	0.61944	2	0.46764	0.0620338775510204
ZB_52	0.34248	1	Inf	0
ZB_53	0.94597	2	0.85315	0.0164051842775002
ZB_54	1.64056	8	0.563661373626374	0.408063548484483
ZB_55	3.23319	22	0.291493742236025	0.542812366035261
ZB_56	1.3211	4	0.640787843137255	0.0933764705882353
ZB_57	3.06321	20	0.217457912867275	0.367163525794806
ZB_58	0	0	NA	NA
ZB_59	2.93687	20	0.236312266244057	0.378407373650358
ZB_60	0	0	NA	NA
ZB_61	0	0	NA	NA
ZB_62	0	0	NA	NA
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
