PD	SR	MNTD	MPD
ZB_1	0.78483	3	0.465287989556136	0.354813407958334
ZB_2	0.07725	1	Inf	0
ZB_3	0.72496	2	0.16545	0.00220443114758302
ZB_4	0.07725	1	Inf	0
ZB_5	0.07725	1	Inf	0
ZB_6	1.42945	5	0.18971296	0.217191475768889
ZB_7	0.72496	2	0.16545	0.000642106240252952
ZB_8	0.07725	1	Inf	0
ZB_9	0.71696	2	0.71696	0.0292509722222222
ZB_10	1.47004	4	0.571137986111111	0.268881742746914
ZB_11	0.77683	3	0.217471428571429	0.223824489795918
ZB_12	1.56883	5	0.171168045685279	0.0897637300626143
ZB_13	1.38493	5	0.22065813559322	0.10192206964793
ZB_14	0.07725	1	Inf	0
ZB_15	0.07725	1	Inf	0
ZB_16	0.71696	2	0.71696	0.0752365432098765
ZB_17	0.07725	1	Inf	0
ZB_18	0.07725	1	Inf	0
ZB_19	1.38493	5	0.269999397590361	0.447785026693118
ZB_20	0	0	NA	NA
ZB_21	1.47004	4	0.616354641833811	0.193042506383363
ZB_22	1.0563	2	1.0563	0.140121428571429
ZB_23	0.71696	2	0.71696	0.00177245711204784
ZB_24	1.2806	2	0.98676	0.00786250368
ZB_25	1.47284	4	0.332557106598985	0.269729117472751
ZB_26	1.3522	4	0.23252	0.127706772268136
ZB_27	1.42852	4	0.231009680851064	0.0225597487550928
ZB_28	1.54729	5	0.150633375796178	0.356421640482373
ZB_29	0.07725	1	Inf	0
ZB_30	1.46218	6	0.164420164319249	0.207812673741982
ZB_31	0.71696	2	0.71696	0.0095083295751701
ZB_32	1.14571	3	0.2562676	0.097625472
ZB_33	1.38479	3	0.70678652173913	0.331057996219282
ZB_34	1.42945	5	0.163645132978723	0.124303354600498
ZB_35	0.78483	3	0.521536666666667	0.319842962962963
ZB_36	0.72496	2	0.16545	0.00464404509049124
ZB_37	0.07725	1	Inf	0
ZB_38	0.22491	2	0.22491	0.0918
ZB_39	0.78483	3	0.567257764350453	0.266459636914596
ZB_40	0.71696	2	0.71696	0.0114706139438085
ZB_41	1.41772	4	0.271336615384615	0.305449888757396
ZB_42	0.77683	3	0.169612709163347	0.0783906753155594
ZB_43	1.2806	2	0.98676	0.0114735610957218
ZB_44	0.78483	3	0.63342628440367	0.153086815503745
ZB_45	0.07725	1	Inf	0
ZB_46	0.72496	2	0.16545	0.00104055568271154
ZB_47	1.48878	4	0.669531438923395	0.0774189626386156
ZB_48	1.57683	5	0.233081011235955	0.0957319634515844
ZB_49	0.80221	3	0.166786993939394	0.00426609442791552
ZB_50	0.07725	1	Inf	0
ZB_51	0.72496	2	0.16545	0.000756338887511169
ZB_52	0.72496	2	0.16545	0.000409529074132935
ZB_53	1.47004	4	0.578768474576271	0.256738586613042
ZB_54	1.72	6	0.264122823529412	0.344841755017301
ZB_55	1.3522	4	0.268584782608696	0.33623297731569
ZB_56	0.78483	3	0.567661882556131	0.264231742179507
ZB_57	1.38493	5	0.233244545454545	0.326955165289256
ZB_58	1.35785	3	0.717327074829932	0.0388068517377019
ZB_59	1.3522	4	0.239902835820896	0.146238966362219
ZB_60	0.71696	2	0.71696	0.00896164550452909
ZB_61	0.07725	1	Inf	0
ZB_62	0.13712	2	0.13712	0.05142
ZB_63	0.71696	2	0.71696	0.0130561158675022
ZB_64	0.07725	1	Inf	0
