PD	SR	MNTD	MPD
ZB_1	0.08641	1	Inf	0
ZB_2	0	0	NA	NA
ZB_3	0.18135	3	0.0960554358974359	0.0646583237343853
ZB_4	0.08979	2	0.08979	0.0443407407407407
ZB_5	0	0	NA	NA
ZB_6	0.30067	2	0.30067	0.133631111111111
ZB_7	0.18135	3	0.099968102189781	0.0674018984096116
ZB_8	0.08979	2	0.08979	0.0318781065088757
ZB_9	0	0	NA	NA
ZB_10	0	0	NA	NA
ZB_11	0	0	NA	NA
ZB_12	0.14749	1	Inf	0
ZB_13	0.14749	1	Inf	0
ZB_14	0.08979	2	0.08979	0.0410113494809689
ZB_15	0	0	NA	NA
ZB_16	0	0	NA	NA
ZB_17	0	0	NA	NA
ZB_18	0.08979	2	0.08979	0.0296182291666667
ZB_19	0.32884	4	0.0944856147021546	0.0569359085396316
ZB_20	0	0	NA	NA
ZB_21	0	0	NA	NA
ZB_22	0	0	NA	NA
ZB_23	0	0	NA	NA
ZB_24	0.18135	3	0.114684106508876	0.0146801036378278
ZB_25	0.08979	2	0.08979	0.0285380764548332
ZB_26	0.15087	2	0.15087	0.0419083333333333
ZB_27	0	0	NA	NA
ZB_28	0	0	NA	NA
ZB_29	0.08641	1	Inf	0
ZB_30	0.32884	4	0.115793382352941	0.00815276282709775
ZB_31	0	0	NA	NA
ZB_32	0.18135	3	0.113647674418605	0.0239775486749594
ZB_33	0.18135	3	0.0901318275418275	0.0336265917323832
ZB_34	0.30405	3	0.152008	0.1208944
ZB_35	0	0	NA	NA
ZB_36	0.18135	3	0.0921685074626866	0.0459715727788108
ZB_37	0.08979	2	0.08979	0.03367125
ZB_38	0.18135	3	0.105179906542056	0.0642327958773692
ZB_39	0	0	NA	NA
ZB_40	0.15318	1	Inf	0
ZB_41	0.32884	4	0.0901436640557006	0.0324764362699316
ZB_42	0	0	NA	NA
ZB_43	0.18135	3	0.115129080633007	0.0107731993283091
ZB_44	0	0	NA	NA
ZB_45	0.18135	3	0.0920033333333333	0.0413401388888889
ZB_46	0.18135	3	0.113578161993769	0.023901089808911
ZB_47	0	0	NA	NA
ZB_48	0	0	NA	NA
ZB_49	0.18135	3	0.0935396470588235	0.0473288740484429
ZB_50	0	0	NA	NA
ZB_51	0.18135	3	0.0931542666666667	0.0471293582222222
ZB_52	0.18135	3	0.0966441935483871	0.062169779672535
ZB_53	0	0	NA	NA
ZB_54	0.18135	3	0.0902040757238307	0.0303453012633866
ZB_55	0.32884	4	0.111206774193548	0.11849319458897
ZB_56	0	0	NA	NA
ZB_57	0.18135	3	0.106691818181818	0.0613270660341989
ZB_58	0	0	NA	NA
ZB_59	0.18135	3	0.0984394736842105	0.0713221381578947
ZB_60	0	0	NA	NA
ZB_61	0	0	NA	NA
ZB_62	0	0	NA	NA
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
