PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	0.11808	1	Inf	0
ZB_3	0	0	NA	NA
ZB_4	0	0	NA	NA
ZB_5	0	0	NA	NA
ZB_6	0.22664	2	0.22664	0.0555036734693877
ZB_7	0.10856	1	Inf	0
ZB_8	0.11808	1	Inf	0
ZB_9	0	0	NA	NA
ZB_10	0	0	NA	NA
ZB_11	0.22664	2	0.22664	0.11332
ZB_12	0	0	NA	NA
ZB_13	0.22664	2	0.22664	0.0783446913580247
ZB_14	0	0	NA	NA
ZB_15	0	0	NA	NA
ZB_16	0	0	NA	NA
ZB_17	0	0	NA	NA
ZB_18	0	0	NA	NA
ZB_19	0.10856	1	Inf	0
ZB_20	0.11808	1	Inf	0
ZB_21	0	0	NA	NA
ZB_22	0	0	NA	NA
ZB_23	0.10856	1	Inf	0
ZB_24	0	0	NA	NA
ZB_25	0.22664	2	0.22664	0.08499
ZB_26	0.22664	2	0.22664	0.0536756016916571
ZB_27	0.10856	1	Inf	0
ZB_28	0	0	NA	NA
ZB_29	0	0	NA	NA
ZB_30	0.22664	2	0.22664	0.0485368233194527
ZB_31	0	0	NA	NA
ZB_32	0.22664	2	0.22664	0.11332
ZB_33	0.10856	1	Inf	0
ZB_34	0.22664	2	0.22664	0.0732565376186998
ZB_35	0	0	NA	NA
ZB_36	0	0	NA	NA
ZB_37	0	0	NA	NA
ZB_38	0.10856	1	Inf	0
ZB_39	0	0	NA	NA
ZB_40	0	0	NA	NA
ZB_41	0.10856	1	Inf	0
ZB_42	0	0	NA	NA
ZB_43	0	0	NA	NA
ZB_44	0	0	NA	NA
ZB_45	0	0	NA	NA
ZB_46	0	0	NA	NA
ZB_47	0	0	NA	NA
ZB_48	0	0	NA	NA
ZB_49	0	0	NA	NA
ZB_50	0.10856	1	Inf	0
ZB_51	0	0	NA	NA
ZB_52	0	0	NA	NA
ZB_53	0	0	NA	NA
ZB_54	0.11808	1	Inf	0
ZB_55	0.51278	3	0.241918181818182	0.0991120661157025
ZB_56	0	0	NA	NA
ZB_57	0.11808	1	Inf	0
ZB_58	0	0	NA	NA
ZB_59	0.51278	3	0.25465	0.160532222222222
ZB_60	0	0	NA	NA
ZB_61	0	0	NA	NA
ZB_62	0	0	NA	NA
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
