PD	SR	MNTD	MPD
ZB_1	5.19327	19	0.269198450184502	0.431615021551692
ZB_2	4.01742	9	0.787375263157895	0.952318005540166
ZB_3	3.43606	14	0.374359918889409	0.491117985875791
ZB_4	4.02894	14	0.279534257425743	0.491154482893834
ZB_5	4.49945	10	0.675764	0.716454245833333
ZB_6	8.6074	46	0.223822380869262	1.00071321763965
ZB_7	6.05648	22	0.449248061178076	0.500000521161621
ZB_8	4.14768	13	0.328256794871795	0.507793032544379
ZB_9	2.76703	6	0.465259660023447	0.0683669236361837
ZB_10	3.73549	11	0.441332462821908	0.289946928588409
ZB_11	6.28437	19	0.58764978021978	0.441979786408646
ZB_12	6.52748	29	0.233111039325843	0.808050537293622
ZB_13	7.64181	32	0.312006394869446	0.966542349698006
ZB_14	2.76355	11	0.376449069767442	0.533067260681449
ZB_15	3.27542	9	0.882347005649717	0.129025081234639
ZB_16	2.0942	4	0.464057590779918	0.0493689038477893
ZB_17	8.41798	39	0.338272660550459	1.08695288275398
ZB_18	3.01464	12	0.186023142857143	0.579021944163265
ZB_19	9.15918	50	0.140145224520416	0.922293388255587
ZB_20	2.62657	5	0.618534	0.727705422222222
ZB_21	2.88822	6	0.452398568640208	0.106341152918956
ZB_22	3.03375	7	0.170594556962025	0.247132356994071
ZB_23	2.66956	5	0.465793468383188	0.0469366593121804
ZB_24	2.73544	12	0.14312880994088	0.146640620766958
ZB_25	7.3541	36	0.226458464088398	1.09226891795597
ZB_26	8.94911	48	0.227960297885016	0.947203201693801
ZB_27	7.43443	31	0.317539351955307	0.981504683705253
ZB_28	4.03656	11	0.246231357978121	0.284168282886781
ZB_29	3.12495	6	0.91501	0.397870233556369
ZB_30	9.44288	50	0.173747069154775	0.962936456356729
ZB_31	3.38797	7	0.466730492851768	0.0580279859317047
ZB_32	8.66482	45	0.276215552060917	1.07919009244148
ZB_33	7.88394	37	0.106992985567727	0.474186043120698
ZB_34	8.95328	48	0.222509212341893	0.946612564839719
ZB_35	4.20535	10	0.442934827586207	0.990968846611177
ZB_36	4.15072	17	0.293227190007766	0.559908096360669
ZB_37	2.37573	7	0.732633115942029	0.454959578869985
ZB_38	8.67463	46	0.290730470282747	1.08743575129226
ZB_39	4.49418	13	0.444282228152101	0.324873930772617
ZB_40	3.03282	8	0.164106428287644	0.0501065363679542
ZB_41	7.38842	32	0.0854580698126976	0.235667860420225
ZB_42	2.6906	7	0.173505151626539	0.0565506985324283
ZB_43	3.43615	14	0.110176815350304	0.0733309102413194
ZB_44	3.07821	7	0.449329391056137	0.0978601436395988
ZB_45	3.15951	10	0.427670454545454	0.551538828125
ZB_46	2.85616	12	0.133359538461538	0.13740117926856
ZB_47	1.99485	5	0.167020609869646	0.0357270289173767
ZB_48	6.61221	23	0.200797151929653	0.505517018802642
ZB_49	3.52075	15	0.310101799892704	0.593895667738573
ZB_50	4.75296	11	0.84481453125	0.931428924560547
ZB_51	3.46804	14	0.577264822079014	0.523850826712795
ZB_52	4.87408	17	0.293652146552761	0.486357887699834
ZB_53	3.4595	8	0.446196260733802	0.235072729726666
ZB_54	6.98922	30	0.126178891140706	0.419842805800044
ZB_55	8.88685	48	0.195483290456432	1.05560295551385
ZB_56	4.15567	11	0.446395680399501	0.223704238296941
ZB_57	8.81755	45	0.231713892310122	1.00951703702573
ZB_58	2.25543	5	0.167031179528189	0.0429899807785802
ZB_59	9.41348	50	0.244901416776131	1.13948064454978
ZB_60	3.56953	8	0.467081215970962	0.0794206701064885
ZB_61	3.30435	8	0.832400909090909	0.931717024793388
ZB_62	3.09412	5	0.71554	1.0981208678501
ZB_63	2.56598	5	0.464391117529438	0.0209180423259765
ZB_64	3.26434	6	0.756996666666667	0.771905215419501
