PD	SR	MNTD	MPD
ZB_1	0.92352	6	0.09538	0.349025555555556
ZB_2	4.00648	34	0.07250542125	0.094231441138125
ZB_3	1.32606	1	Inf	0
ZB_4	2.80435	24	0.0372505422685295	0.092634022122911
ZB_5	3.89728	26	0.220126244897959	0.769072175260308
ZB_6	2.69259	8	0.386810866336634	0.510590190667582
ZB_7	1.66756	2	0.62187	0.276386666666667
ZB_8	0	0	NA	NA
ZB_9	2.28491	9	0.0628915378168867	0.0474634029559649
ZB_10	1.32606	1	Inf	0
ZB_11	3.11639	14	0.0798668771626298	0.12759097256229
ZB_12	2.79933	7	0.3813452	0.527515328
ZB_13	3.7815	28	0.0677335120350109	0.191370362831226
ZB_14	1.84701	7	0.203830588235294	0.302382975778547
ZB_15	0.68524	5	0.152987777777778	0.238678518518519
ZB_16	1.17422	12	0.0650970680218921	0.0691987314537293
ZB_17	3.30641	18	0.294248604651163	0.886997468902109
ZB_18	2.48288	18	0.106741	0.441161178125
ZB_19	2.75303	8	0.287960077120823	0.429125148789659
ZB_20	3.03598	31	0.0731619956140351	0.316604785991844
ZB_21	1.96441	4	0.382795714285714	0.512343673469388
ZB_22	1.30387	19	0.0450235928411633	0.0651766155318329
ZB_23	0.506	1	Inf	0
ZB_24	2.24121	16	0.0360884984061294	0.0564389717888392
ZB_25	2.39714	7	0.293713225806452	0.450128074921956
ZB_26	2.9757	15	0.377374637931034	0.549326616111772
ZB_27	2.44483	9	0.219725975609756	0.779668349196907
ZB_28	1.61992	24	0.0663826477541371	0.198722600444869
ZB_29	1.90411	10	0.103056896551724	0.171937211652794
ZB_30	3.95981	30	0.0966690002906132	0.504882712910058
ZB_31	0.74708	7	0.0875916666666667	0.117550416666667
ZB_32	3.12704	20	0.0622282188295165	0.158179562099247
ZB_33	2.73154	7	0.43596862745098	0.596001245674741
ZB_34	2.56845	7	0.410943986842105	0.525414680367036
ZB_35	3.29753	30	0.066979709801599	0.16106127550118
ZB_36	2.8955	16	0.0981658441558442	0.308432477652218
ZB_37	1.37922	22	0.0648539002932551	0.21303000660813
ZB_38	2.72308	9	0.316359518072289	0.51910262157062
ZB_39	2.37821	8	0.3054375	0.7422473046875
ZB_40	1.51369	20	0.0666491381987578	0.147460018755907
ZB_41	2.08	5	0.440553125	0.417722421875
ZB_42	1.80805	23	0.062779812759128	0.0632608355406135
ZB_43	1.66013	2	0.50428	0.224124444444444
ZB_44	1.32606	1	Inf	0
ZB_45	0.62676	3	0.24561	0.250031020408163
ZB_46	0.1488	5	0.0395992307692308	0.0537538461538462
ZB_47	0.73625	6	0.0949277491601344	0.0381935769873685
ZB_48	3.00685	13	0.109865211038961	0.199731130407742
ZB_49	1.4878	22	0.0700626735092864	0.0515015989639173
ZB_50	2.94131	19	0.0712583779904306	0.101848323614386
ZB_51	2.52254	21	0.0455382160146539	0.242586614849353
ZB_52	0.02789	2	0.02789	0.013945
ZB_53	0.92809	9	0.0707978594771242	0.0777379757251484
ZB_54	2.51511	7	0.392234545454545	0.772555082644628
ZB_55	2.93391	17	0.243545578512397	0.770303587186668
ZB_56	1.97187	31	0.064858529906685	0.20674166539468
ZB_57	2.2245	7	0.37637875	0.53390984375
ZB_58	1.85882	27	0.0848058260105448	0.336546384043923
ZB_59	3.13114	12	0.2790490625	0.547989111328125
ZB_60	1.92268	29	0.0909477941787942	0.324852209942039
ZB_61	3.23751	20	0.0724978940308518	0.180408187465954
ZB_62	0.60409	10	0.0407366037735849	0.0310554069442894
ZB_63	1.71072	3	0.717993333333333	0.707591111111111
ZB_64	1.99171	4	0.695106	0.6496142
