PD	SR	MNTD	MPD
ZB_1	1.60264	7	0.241621033091203	0.324212697448605
ZB_2	1.08783	1	Inf	0
ZB_3	1.87009	13	0.137926739569314	0.2675749391398
ZB_4	1.25043	7	0.35778947368421	0.48783271160357
ZB_5	1.1777	2	0.23552	0.0323072702331962
ZB_6	2.60693	15	0.205090738955823	0.315011029551136
ZB_7	1.92587	13	0.113959911537044	0.492568952128472
ZB_8	1.57454	7	0.384439450549451	0.511363052771404
ZB_9	1.41032	3	0.658569265175719	0.0286489994411498
ZB_10	1.66361	4	0.49222958974359	0.249184146454323
ZB_11	1.30544	3	0.300923846153846	0.205022130177515
ZB_12	2.54139	9	0.366688316651501	0.197715295748223
ZB_13	2.52887	9	0.357965932721713	0.296300483311356
ZB_14	1.63346	9	0.335834583333333	0.479123681944444
ZB_15	1.52142	6	1.0258683032491	0.0907232081742236
ZB_16	1.4927	4	0.678790734744707	0.0788692632693471
ZB_17	2.64058	9	0.328989285714286	0.595445153061224
ZB_18	1.53234	10	0.122320638297872	0.53438139932599
ZB_19	2.71781	18	0.0854534556313993	0.295631873731421
ZB_20	1.5728	5	0.491818181818182	0.588812892561983
ZB_21	1.66361	4	0.53735411716843	0.185061509929881
ZB_22	1.44027	4	0.982577647058824	0.202241064013841
ZB_23	1.49202	3	0.378608413597734	0.0161921810445295
ZB_24	1.37932	11	0.0736656383401829	0.18766835350056
ZB_25	2.62553	16	0.198154838435374	0.59882607667812
ZB_26	2.5528	13	0.242621890495868	0.290295317964108
ZB_27	2.49929	8	0.364174588414634	0.20863764951108
ZB_28	1.80926	5	0.205392892448513	0.303661140578837
ZB_29	1.46404	5	0.884758387096774	0.341336357960458
ZB_30	2.86346	19	0.0999404835670923	0.413872107145532
ZB_31	1.63759	3	0.67931525456292	0.0344896202941641
ZB_32	2.4448	13	0.17780557795146	0.112710193254854
ZB_33	2.58997	13	0.0906840360110803	0.167634156607147
ZB_34	2.56967	14	0.222370703959774	0.281994111092368
ZB_35	1.15979	2	1.08577	0.542885
ZB_36	1.4974	12	0.121445997913251	0.424316398405969
ZB_37	1.5161	7	0.555667227722772	0.359695112243898
ZB_38	2.10642	14	0.0663822088050314	0.130355430745303
ZB_39	1.66361	4	0.483134986642921	0.261237633231811
ZB_40	1.33846	2	0.6791	0.0101453416108412
ZB_41	2.77951	15	0.0729476873126873	0.176370624198202
ZB_42	1.42833	3	0.264612201039861	0.0949857608274756
ZB_43	1.42554	11	0.103238129917482	0.0962051230511487
ZB_44	1.66361	4	0.547730245579568	0.15868761470351
ZB_45	1.63346	9	0.383707848101266	0.511414590610479
ZB_46	1.42554	11	0.139590161848534	0.183120876414513
ZB_47	1.35454	3	0.590266639952508	0.0606126599014763
ZB_48	2.51732	8	0.328772634216178	0.117384063037217
ZB_49	1.87009	13	0.126619238244514	0.388606604581323
ZB_50	1.08783	1	Inf	0
ZB_51	1.4974	12	0.12856604799514	0.369881258404335
ZB_52	1.80647	13	0.121137096860746	0.446240691310245
ZB_53	1.66361	4	0.505903846153846	0.227551976749236
ZB_54	2.74502	14	0.0946475465587045	0.226207214394598
ZB_55	2.61068	16	0.252712627526468	0.42766223397229
ZB_56	1.85672	5	0.304723754768392	0.249881758338097
ZB_57	1.92762	13	0.0770636241610738	0.12336866073211
ZB_58	1.42833	3	0.255654559221201	0.0678077836060069
ZB_59	2.95905	19	0.0855979812465527	0.300236153696612
ZB_60	1.33846	2	0.6791	0.0117802628125
ZB_61	1.08783	1	Inf	0
ZB_62	1.1312	3	0.595734137931034	0.551543115338882
ZB_63	1.45654	3	0.679165390243903	0.0210337948356633
ZB_64	1.20591	2	1.07142	0.297616666666667
