PD	SR	MNTD	MPD
ZB_1	0.16704	1	Inf	0
ZB_2	0	0	NA	NA
ZB_3	0.53627	5	0.0714747222222222	0.12268350308642
ZB_4	0.40869	4	0.108378333333333	0.13892
ZB_5	0	0	NA	NA
ZB_6	0.54944	3	0.235853333333333	0.181501728395062
ZB_7	0.58386	6	0.0850030680173662	0.136849135860903
ZB_8	0.11405	2	0.04824	0.00952888888888889
ZB_9	0	0	NA	NA
ZB_10	0	0	NA	NA
ZB_11	0	0	NA	NA
ZB_12	0	0	NA	NA
ZB_13	0.44485	2	0.44485	0.142352
ZB_14	0.11405	2	0.04824	0.00952888888888889
ZB_15	0	0	NA	NA
ZB_16	0	0	NA	NA
ZB_17	0	0	NA	NA
ZB_18	0.33465	3	0.0635923529411765	0.0503363321799308
ZB_19	0.53652	5	0.062370255033557	0.0680840233142651
ZB_20	0.09123	1	Inf	0
ZB_21	0	0	NA	NA
ZB_22	0	0	NA	NA
ZB_23	0	0	NA	NA
ZB_24	0.52759	5	0.1158100155521	0.0121285733427823
ZB_25	0.20099	2	0.20099	0.00550551311728395
ZB_26	0.22425	1	Inf	0
ZB_27	0	0	NA	NA
ZB_28	0	0	NA	NA
ZB_29	0.08863	1	Inf	0
ZB_30	0.6622	4	0.256273069908815	0.012565101763657
ZB_31	0	0	NA	NA
ZB_32	0.31227	4	0.112209361702128	0.0343186624717067
ZB_33	0.66598	5	0.0536158196721312	0.0140905571620532
ZB_34	0.44485	2	0.44485	0.176469421487603
ZB_35	0	0	NA	NA
ZB_36	0.75184	6	0.0596023244552058	0.0648799840533743
ZB_37	0.11405	2	0.04824	0.0166755555555556
ZB_38	0.31227	4	0.0902742245989305	0.122624532621751
ZB_39	0	0	NA	NA
ZB_40	0	0	NA	NA
ZB_41	0.73753	6	0.051820344488189	0.0113356023893298
ZB_42	0	0	NA	NA
ZB_43	0.55268	5	0.249419656709764	0.0162931482718614
ZB_44	0	0	NA	NA
ZB_45	0.33465	3	0.100438	0.1124796
ZB_46	0.65541	7	0.112732884012539	0.0349312230509615
ZB_47	0	0	NA	NA
ZB_48	0	0	NA	NA
ZB_49	0.75184	6	0.0669627586206897	0.0985419269388295
ZB_50	0	0	NA	NA
ZB_51	0.52759	5	0.0708101910828026	0.117082822021177
ZB_52	0.65541	7	0.0765013100436681	0.140480759424877
ZB_53	0	0	NA	NA
ZB_54	0.498	5	0.0543824038461539	0.0183120633783284
ZB_55	0.5589	4	0.151477391304348	0.1767604536862
ZB_56	0	0	NA	NA
ZB_57	0.31227	4	0.100886956521739	0.0928080098298677
ZB_58	0.2206	1	Inf	0
ZB_59	0.53627	5	0.0767207692307692	0.125756845266272
ZB_60	0	0	NA	NA
ZB_61	0	0	NA	NA
ZB_62	0.08863	1	Inf	0
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
