PD	SR	MNTD	MPD
ZB_1	0.62737	5	0.210106666666667	0.202166111111111
ZB_2	1.41439	8	0.0470280927230047	0.0375489155108664
ZB_3	1.98799	21	0.0720476891447368	0.25212417807793
ZB_4	1.90686	18	0.086589520123839	0.181227020004026
ZB_5	0.69087	8	0.0453565725359911	0.0352793222664945
ZB_6	2.82065	23	0.145790966616841	0.225325332983784
ZB_7	1.93221	21	0.0634366169977925	0.200637479149306
ZB_8	1.81714	16	0.0880063260340633	0.204197575405071
ZB_9	1.29184	7	0.114543333333333	0.170258792772011
ZB_10	0.27081	3	0.0879566666666667	0.0899066666666667
ZB_11	0.62582	7	0.0674625058184639	0.0740367025340704
ZB_12	2.12316	14	0.281216447368421	0.419223060941828
ZB_13	2.1298	15	0.185718739495798	0.255327239954805
ZB_14	1.99686	19	0.0950955717255717	0.210588354238614
ZB_15	1.44866	9	0.114082	0.16842884375
ZB_16	0.65356	8	0.0641595714285714	0.125907330612245
ZB_17	2.9154	24	0.0467912414056532	0.0499093071093289
ZB_18	2.52198	19	0.101120823170732	0.25311476037329
ZB_19	2.84732	29	0.0938271618204804	0.332408245070394
ZB_20	1.36624	10	0.0465004033832141	0.0427066989682814
ZB_21	0.15932	1	Inf	0
ZB_22	1.76193	11	0.116067258064516	0.279442882414152
ZB_23	0.38663	5	0.0509417391304348	0.0836414366729679
ZB_24	1.88652	19	0.0478562505887894	0.0564973351920184
ZB_25	2.7221	22	0.0971831034482759	0.224321985277117
ZB_26	2.71988	22	0.142672577344702	0.204401619243933
ZB_27	2.06283	13	0.18655578125	0.274445747070312
ZB_28	0.99838	4	0.251243333333333	0.216963950617284
ZB_29	1.88224	12	0.145081418918919	0.289863937180424
ZB_30	3.21547	30	0.0672826311541566	0.261405487463203
ZB_31	0.52893	7	0.0732746296296296	0.122618888888889
ZB_32	2.55984	26	0.0576205077262693	0.141836358693819
ZB_33	2.30919	23	0.0872539636663914	0.140311231777641
ZB_34	2.76094	22	0.143432252599153	0.23709707733324
ZB_35	0.90251	7	0.0569000968523002	0.0478574122528452
ZB_36	1.91599	20	0.0766253683196919	0.196944625885127
ZB_37	1.87863	13	0.119473883928571	0.256665724649235
ZB_38	2.54774	25	0.0643269926586261	0.144992487375053
ZB_39	0.40453	4	0.172889333333333	0.117307733333333
ZB_40	1.0879	7	0.071721724137931	0.12649936979786
ZB_41	2.68657	23	0.0807308655018285	0.139857268256809
ZB_42	1.15431	8	0.0896047014925373	0.144272059478726
ZB_43	1.81265	19	0.0471524705140902	0.0380956079451387
ZB_44	0.25118	2	0.18266	0.0907895857988166
ZB_45	2.41243	19	0.103447794117647	0.240878433294887
ZB_46	1.93083	20	0.0492422732174955	0.0684853453534136
ZB_47	0.99838	4	0.378158333333333	0.402120555555556
ZB_48	2.30372	13	0.199835576923077	0.261681736316568
ZB_49	1.90188	19	0.0851911743119266	0.24588812882754
ZB_50	0.60743	8	0.0768153615279673	0.0817720575705067
ZB_51	1.9454	18	0.0738332036847492	0.240528170144647
ZB_52	2.31891	23	0.0684468170103093	0.242149741863259
ZB_53	1.16847	7	0.0532	0.277048826530612
ZB_54	2.31274	21	0.0870759450337512	0.128613830987317
ZB_55	3.11195	28	0.148662746411483	0.346969095432797
ZB_56	0.34806	4	0.106333076923077	0.11212426035503
ZB_57	2.51908	24	0.0615435236051502	0.15548745867487
ZB_58	1.14378	6	0.22134380952381	0.362290068027211
ZB_59	3.19813	29	0.0781231419939577	0.229841290021084
ZB_60	1.45936	7	0.141444047619048	0.253459591836735
ZB_61	0.43094	6	0.0878141490044958	0.0851869519673928
ZB_62	1.94012	12	0.15726625	0.383600737304687
ZB_63	0.91123	9	0.0708893220338983	0.121910474001724
ZB_64	1.26044	9	0.0523421402439024	0.0360222045508626
