PD	SR	MNTD	MPD
ZB_1	1.62314	6	0.15315625	0.6602859375
ZB_2	3.21649	28	0.0781055236794171	0.526373889741159
ZB_3	2.37418	15	0.0864223775388292	0.221729357936192
ZB_4	2.28498	13	0.0933016417910448	0.235971810474988
ZB_5	3.07852	29	0.0720261866284374	0.546657745257238
ZB_6	3.883	35	0.100007432360743	0.50544324784386
ZB_7	2.33072	16	0.090169158174568	0.176647587159056
ZB_8	2.47851	20	0.083356493256262	0.476427957128166
ZB_9	2.09141	17	0.0724635555555556	0.562321560493827
ZB_10	2.0141	8	0.125316857142857	0.532340081632653
ZB_11	2.91743	28	0.0739189860506975	0.609729698480428
ZB_12	2.79577	22	0.119608048076923	0.119834431286982
ZB_13	2.29774	16	0.0987173040152964	0.490443741614235
ZB_14	3.23115	23	0.136689644808743	0.601355560183941
ZB_15	2.24237	12	0.235951228070175	0.823074675968674
ZB_16	2.0746	17	0.0616069312169312	0.41374343271465
ZB_17	3.62726	34	0.0701284838029519	0.570496579151429
ZB_18	3.01024	22	0.0893977083333333	0.289208551839193
ZB_19	4.00064	44	0.0935637664473684	0.567976731837561
ZB_20	2.6816	28	0.0849292796820666	0.620858844773009
ZB_21	1.40674	3	0.91991	0.515298842975207
ZB_22	1.89298	8	0.0881695833333333	0.321202858796296
ZB_23	2.45885	15	0.0854032038834951	0.570641025544349
ZB_24	2.31995	14	0.102839647546648	0.0639341763838058
ZB_25	3.5759	29	0.0925299069767442	0.537751126717144
ZB_26	3.68675	30	0.0951873059634402	0.399210601351399
ZB_27	2.27667	15	0.118142850609756	0.15992688164597
ZB_28	1.49799	3	0.19107	0.164124081632653
ZB_29	2.11436	10	0.107023928571429	0.281132712053571
ZB_30	4.09039	41	0.0988866046165301	0.558537788713633
ZB_31	2.14315	22	0.048009435483871	0.312134197450572
ZB_32	3.45793	39	0.0984249326664102	0.520605271948056
ZB_33	3.5283	30	0.0892838692979618	0.436366446224473
ZB_34	3.25891	26	0.0986965909090909	0.304835224583109
ZB_35	2.74645	28	0.0799721123595506	0.596846130919691
ZB_36	2.49458	16	0.0837966428571428	0.176637622524565
ZB_37	2.27599	12	0.0975378064516129	0.481410712174818
ZB_38	3.65331	35	0.094484944891272	0.448519414619118
ZB_39	1.21472	2	0.11424	0.0317333333333333
ZB_40	2.07283	9	0.132383170731707	0.665105812016657
ZB_41	3.57483	33	0.0893239036503601	0.442686476726595
ZB_42	2.40103	26	0.0536767085427136	0.414345168051312
ZB_43	2.50754	18	0.102373244599303	0.0438819635239471
ZB_44	1.65185	7	0.0757667857142857	0.418544489795918
ZB_45	3.36557	27	0.251928331491713	0.838433586715912
ZB_46	2.50807	16	0.101557518053972	0.0770504870343235
ZB_47	1.42032	3	0.38056	0.51252625
ZB_48	2.63759	17	0.103824923747277	0.305022424043934
ZB_49	2.45471	16	0.0886080025608195	0.196363857951574
ZB_50	3.17766	29	0.0696337114704396	0.61245636921123
ZB_51	2.30911	14	0.084893850658858	0.196250539669746
ZB_52	2.6216	19	0.0868585640495868	0.22215288016102
ZB_53	1.49108	3	0.728076666666667	0.606137222222222
ZB_54	3.78619	32	0.0870879695203944	0.494828970894416
ZB_55	4.01716	34	0.0998037311385459	0.57536133977243
ZB_56	1.46392	4	0.142101428571429	0.652057959183673
ZB_57	3.61877	37	0.0969639917525773	0.495624636102455
ZB_58	2.01817	12	0.0736384	0.528382588
ZB_59	3.70357	35	0.089899246105919	0.533487547085141
ZB_60	1.87148	10	0.200847105263158	0.655049958448753
ZB_61	2.74395	28	0.0600044693619709	0.568038110151727
ZB_62	1.9779	7	0.139544444444444	0.447713888888889
ZB_63	2.18358	22	0.0522115	0.332956643786982
ZB_64	3.14043	30	0.0750025733972439	0.543118453029749
