PD	SR	MNTD	MPD
ZB_1	0.07841	1	Inf	0
ZB_2	0.22139	5	0.0414592019543974	0.00475912863796963
ZB_3	0.3145	6	0.0943341304347826	0.0596676086956522
ZB_4	0.18838	3	0.109629242424242	0.0199167794102643
ZB_5	0.26434	6	0.0413517019543974	0.00444576458370911
ZB_6	0	0	NA	NA
ZB_7	0.3145	6	0.102095178571429	0.0495304400510204
ZB_8	0.2951	5	0.107922260869565	0.0368294423440454
ZB_9	0.24476	4	0.0982373333333333	0.0560245333333333
ZB_10	0.14543	2	0.14543	0.0646355555555556
ZB_11	0.26434	6	0.0456936286201022	0.0385308732358396
ZB_12	1.15428	3	0.224815714285714	0.288748571428571
ZB_13	1.08338	2	1.06089	0.3394848
ZB_14	0.25969	4	0.111109717868339	0.0473173372903175
ZB_15	0.18048	3	0.109600526315789	0.0220791135734072
ZB_16	0.17962	3	0.0976164705882353	0.0527864359861592
ZB_17	1.29336	7	0.04245703125	0.00698108857826368
ZB_18	0.25969	4	0.110462544378698	0.0356728812016386
ZB_19	0.15053	2	0.08547	0.03205125
ZB_20	0.26434	6	0.0414762548262548	0.00476359956619609
ZB_21	0.04604	1	Inf	0
ZB_22	0.31491	6	0.10347325	0.0565037625
ZB_23	1.14923	4	0.131058	0.182484088888889
ZB_24	0.28012	4	0.110232	0.0217310666666667
ZB_25	1.20556	4	0.175405384615385	0.218690887573964
ZB_26	0	0	NA	NA
ZB_27	1.13971	2	1.11722	0.4189575
ZB_28	0.09944	2	0.04084	0.0100016326530612
ZB_29	0.25969	4	0.110167962962963	0.0410017764060357
ZB_30	1.14923	4	0.394385	0.497848333333333
ZB_31	0.25698	4	0.100501428571429	0.0796126530612245
ZB_32	0.07841	1	Inf	0
ZB_33	1.20556	4	0.184423913043478	0.233464423440454
ZB_34	0	0	NA	NA
ZB_35	0.2183	5	0.0423011976047904	0.0154552387536305
ZB_36	0.26141	5	0.0840658620689655	0.0737656123662307
ZB_37	0.29388	5	0.108325217391304	0.0444685990338164
ZB_38	0	0	NA	NA
ZB_39	0.12445	2	0.12445	0.0272234375
ZB_40	0.27772	5	0.0821761111111111	0.0490814197530864
ZB_41	0.25933	5	0.0784635294117647	0.0915721453287197
ZB_42	0.30436	6	0.08077	0.0743207663473553
ZB_43	0.33524	7	0.0915959183673469	0.0746951436901291
ZB_44	0.07963	1	Inf	0
ZB_45	0.2951	5	0.109410748898678	0.039049491354383
ZB_46	0.3145	6	0.102999615384615	0.0308807790927022
ZB_47	0.19657	3	0.10557	0.0911083333333333
ZB_48	1.07228	2	1.07228	0.402105
ZB_49	0.2436	5	0.0654474074074074	0.0725652126200274
ZB_50	0.26434	6	0.046486169630643	0.042518784417276
ZB_51	0.24331	5	0.0982621739130435	0.0641082797731569
ZB_52	0.3145	6	0.094454125	0.075098721875
ZB_53	0.14548	3	0.057562	0.0497232
ZB_54	0.15577	2	0.09717	0.03643875
ZB_55	0.15577	2	0.09717	0.03643875
ZB_56	0.14548	3	0.0886171428571429	0.0644881632653061
ZB_57	0.07841	1	Inf	0
ZB_58	0.09944	2	0.04084	0.0113444444444444
ZB_59	0.20181	3	0.10058	0.0708559375
ZB_60	0.27155	5	0.06924	0.0704135802469136
ZB_61	0.26434	6	0.0490052028218695	0.0506815909720084
ZB_62	0.23993	4	0.109298181818182	0.0377061157024793
ZB_63	0.3145	6	0.0681944827586207	0.0758683947681332
ZB_64	0.2183	5	0.0411535151515151	0.00265730165289256
