PD	SR	MNTD	MPD
ZB_1	2.2695	10	0.148776666666667	0.714745066666667
ZB_2	2.61802	17	0.0802894053105113	0.50203001851514
ZB_3	2.85056	20	0.0708713410404624	0.272081410591734
ZB_4	2.72068	15	0.0867725098814229	0.307689002405912
ZB_5	2.4985	17	0.0820499100860047	0.524271526589891
ZB_6	4.1586	37	0.101604612445415	0.715006829746763
ZB_7	3.03906	22	0.0718053977695167	0.237874298904106
ZB_8	3.01744	20	0.0828141017964072	0.522175316701926
ZB_9	2.20608	15	0.176759104204753	0.318115116323373
ZB_10	1.90621	10	0.137167073170732	0.385592212968471
ZB_11	3.42833	22	0.0853522403950008	0.587427828922547
ZB_12	3.4308	24	0.130845409383625	0.175127016737914
ZB_13	3.07462	22	0.128478244897959	0.578206825239484
ZB_14	2.93194	18	0.131420480093677	0.557202428001031
ZB_15	1.90492	8	0.19040375	0.64066467652376
ZB_16	2.14736	15	0.174017443267776	0.299180431885856
ZB_17	4.34584	31	0.0825528356387307	0.538951719484574
ZB_18	2.80014	14	0.100288204633205	0.363725530403542
ZB_19	4.46836	43	0.0782740093486128	0.721998746299515
ZB_20	2.99065	16	0.102413430436966	0.594744869276132
ZB_21	1.69553	6	0.216811379310345	0.317023590963139
ZB_22	2.58653	14	0.155094173228346	0.647302277884556
ZB_23	2.10286	14	0.206743994111874	0.163564286216451
ZB_24	2.59184	17	0.072231974248927	0.0864068944102326
ZB_25	3.71655	25	0.104989178947368	0.681869336775623
ZB_26	4.00701	34	0.100826316978696	0.588099672549524
ZB_27	2.96849	20	0.129917369901547	0.215782564047784
ZB_28	1.96441	9	0.171629444444444	0.65314549382716
ZB_29	2.23253	11	0.0984525	0.344595444878472
ZB_30	4.44092	41	0.082331331326696	0.744834218506391
ZB_31	2.01191	13	0.189468279329609	0.239190572528947
ZB_32	4.12833	37	0.0919544282546722	0.750231822266441
ZB_33	3.68712	30	0.0826731832342113	0.550399597887738
ZB_34	4.43362	39	0.107100792022792	0.463831622873191
ZB_35	2.97796	17	0.0835722703035275	0.548401306492903
ZB_36	2.82248	20	0.0699831699126931	0.215697562595817
ZB_37	2.52786	13	0.103350218579235	0.509288495924035
ZB_38	4.23143	38	0.073808410936654	0.594751318134237
ZB_39	1.62732	7	0.116928947368421	0.523305595567867
ZB_40	1.98252	12	0.213261964285714	0.156538150667674
ZB_41	4.17858	35	0.0697827418999339	0.561492464910632
ZB_42	2.22859	16	0.172282751454697	0.326696856970901
ZB_43	2.94942	19	0.0724075310834813	0.0767047689941717
ZB_44	2.1846	9	0.166526212121212	0.296444862258953
ZB_45	2.79202	17	0.262760121580547	0.694861739390188
ZB_46	3.02627	21	0.0722999697885196	0.10136138760909
ZB_47	1.76092	6	0.329782307692308	0.641684023668639
ZB_48	3.45481	22	0.141039275362319	0.44646021179024
ZB_49	2.78404	19	0.0741707142857143	0.236056633496374
ZB_50	2.99795	18	0.0828636564090138	0.558835053691761
ZB_51	2.86026	19	0.0673895264623955	0.204689576508562
ZB_52	3.04602	21	0.0702890864197531	0.278506461439415
ZB_53	1.66183	3	0.86788	0.630753719008264
ZB_54	3.96484	32	0.0863498875432526	0.628759393696645
ZB_55	4.33132	38	0.0912793457300276	0.738110357367818
ZB_56	1.49812	4	0.274559473684211	0.596778060941828
ZB_57	4.41479	41	0.0869902478777589	0.732613017229859
ZB_58	1.82513	11	0.181459	0.287251259690844
ZB_59	4.278	39	0.0760399083619702	0.685830561276372
ZB_60	2.06541	11	0.206991372093023	0.189566595457004
ZB_61	2.53159	17	0.082899334998439	0.543357471181258
ZB_62	2.45946	12	0.170466404494382	0.665891735891933
ZB_63	2.1845	15	0.133238521970706	0.269660570459981
ZB_64	2.69556	19	0.0816256578171091	0.527552697774993
