PD	SR	MNTD	MPD
ZB_1	0.12723	2	0.12723	0.0610704
ZB_2	0.32362	5	0.096598829787234	0.0146095430511544
ZB_3	0.27141	4	0.122840714285714	0.0416321173469388
ZB_4	0.19981	3	0.127192702702703	0.00428922132943755
ZB_5	0.32362	5	0.0968293142320338	0.00852712592062773
ZB_6	0.05235	1	Inf	0
ZB_7	0.32563	4	0.127500305343511	0.0389422411281394
ZB_8	0.37818	5	0.126854161073826	0.0141467577536547
ZB_9	0.29405	4	0.105714594594595	0.0615863842220599
ZB_10	0.12395	2	0.09708	0.036405
ZB_11	0.44229	7	0.0934675230972283	0.060854399532065
ZB_12	0.23978	3	0.0766466666666667	0.04284
ZB_13	0	0	NA	NA
ZB_14	0.31332	4	0.127069855072464	0.0335560834120983
ZB_15	0.28784	3	0.148128367346939	0.0356646855476885
ZB_16	0.29405	4	0.11082023255814	0.0786250946457545
ZB_17	0.32362	5	0.0969523615531509	0.00925920794670753
ZB_18	0.14746	2	0.14746	0.0113584205913733
ZB_19	0.09847	1	Inf	0
ZB_20	0.36971	6	0.0968092544316997	0.0125860071535674
ZB_21	0	0	NA	NA
ZB_22	0.19981	3	0.127078351648352	0.0175739500060379
ZB_23	0.19981	3	0.12539	0.0612192653061225
ZB_24	0.37818	5	0.126490317460317	0.029522236079617
ZB_25	0.26526	4	0.0780042105263158	0.0861249861495845
ZB_26	0.20115	2	0.17428	0.0836544
ZB_27	0.24215	3	0.117786666666667	0.0944
ZB_28	0.12723	2	0.12723	0.0565466666666667
ZB_29	0.14746	2	0.14746	0.0377132061510001
ZB_30	0.12723	2	0.12723	0.0610704
ZB_31	0.27603	3	0.129112	0.074961304
ZB_32	0.05235	1	Inf	0
ZB_33	0.37172	5	0.101349565217391	0.129869395085066
ZB_34	0.15269	1	Inf	0
ZB_35	0.44229	7	0.0960023604060914	0.0255842456968744
ZB_36	0.34014	5	0.11081775	0.0884403875
ZB_37	0.19981	3	0.127054576271186	0.0201510758402758
ZB_38	0.17817	2	0.1513	0.07565
ZB_39	0.12723	2	0.12723	0.0439807407407407
ZB_40	0.29405	4	0.108716744186047	0.0711462412114657
ZB_41	0.38961	5	0.127507551020408	0.114048679716785
ZB_42	0.32563	4	0.127555714285714	0.0606577359693877
ZB_43	0.24593	3	0.148344625	0.019421578125
ZB_44	0.12723	2	0.12723	0.063615
ZB_45	0.28784	3	0.148206013667426	0.0362427799772728
ZB_46	0.29405	4	0.126297090909091	0.0176082975206612
ZB_47	0.07488	1	Inf	0
ZB_48	0.07488	1	Inf	0
ZB_49	0.3466	5	0.109182941176471	0.099458062283737
ZB_50	0.36971	6	0.0923230434782609	0.0709789601647622
ZB_51	0.31703	4	0.12407152173913	0.0646156805293006
ZB_52	0.36971	6	0.121384351145038	0.0433407074179826
ZB_53	0.12395	2	0.09708	0.0310656
ZB_54	0.34014	5	0.0841126315789474	0.109867146814404
ZB_55	0.24215	3	0.123702857142857	0.0954024489795918
ZB_56	0.12723	2	0.12723	0.0565466666666667
ZB_57	0.12395	2	0.09708	0.02123625
ZB_58	0.25305	3	0.13023875	0.0593359375
ZB_59	0.33784	5	0.0877833333333333	0.115756049382716
ZB_60	0.12723	2	0.12723	0.0596390625
ZB_61	0.36971	6	0.0910087219730942	0.0804042889460878
ZB_62	0.19883	3	0.124645714285714	0.0226678857142857
ZB_63	0.25305	3	0.128006451612903	0.0485280749219563
ZB_64	0.28174	4	0.0973762050163577	0.010785652042065
