PD	SR	MNTD	MPD
ZB_1	3.70977	17	0.195795625	0.83198765625
ZB_2	4.81979	30	0.103324041745731	0.948628225462826
ZB_3	4.3363	27	0.106663224128965	0.512376492863979
ZB_4	5.04274	32	0.124955899950956	0.755102838465518
ZB_5	4.54694	32	0.105472448217619	0.973467500141477
ZB_6	4.44141	34	0.115232045362495	0.455264625210037
ZB_7	4.81844	31	0.102891660622256	0.338250534349304
ZB_8	4.71958	31	0.141734325795645	0.859842598868154
ZB_9	4.18474	27	0.228483816029144	0.511135998005979
ZB_10	3.76288	22	0.192855652173913	0.762936209251186
ZB_11	5.55996	36	0.107967907611392	1.01900175365883
ZB_12	4.51881	24	0.20640043956044	0.890649314696293
ZB_13	4.52487	27	0.152953236074271	0.730951572726185
ZB_14	5.26258	34	0.132054843507902	0.852599381527626
ZB_15	4.80149	30	0.137375238853503	0.948987733376608
ZB_16	5.19434	34	0.223825310861423	0.497931777143739
ZB_17	5.97219	43	0.106611504252897	0.986669626065538
ZB_18	5.11587	33	0.129004331469243	0.780303879853888
ZB_19	4.86955	31	0.0919847119425241	0.552365210714587
ZB_20	4.849	30	0.117408331634139	0.977744045988991
ZB_21	3.1491	14	0.196640757575758	0.901633778696051
ZB_22	4.1316	22	0.144323083511777	0.774746452503336
ZB_23	4.09332	26	0.34589415029889	0.197998533441605
ZB_24	4.50058	28	0.123501365057312	0.184258902832335
ZB_25	5.01125	30	0.0776767267808837	0.315480423325509
ZB_26	4.39387	33	0.105196479983406	0.357427205201127
ZB_27	4.48926	24	0.167464475138122	0.909633086902109
ZB_28	3.7445	15	0.327587282608696	0.795701746219282
ZB_29	4.16441	23	0.133252631578947	0.764249456972139
ZB_30	5.54187	37	0.128935708843988	0.544357274349239
ZB_31	4.83772	27	0.295047735943775	0.34628067032185
ZB_32	4.97331	33	0.155397032354832	0.578615692718511
ZB_33	5.44149	37	0.0695544759206799	0.167643880882512
ZB_34	4.39591	28	0.116126033909574	0.407571486673834
ZB_35	4.69393	33	0.106199437316226	0.999040838782034
ZB_36	4.75134	25	0.0918750891031259	0.30638677007943
ZB_37	4.68058	31	0.135562044198895	0.84555408378102
ZB_38	4.84402	32	0.103721898221518	0.238495452750192
ZB_39	3.08822	15	0.121381041666667	0.926481996527778
ZB_40	4.15681	28	0.273769650313152	0.263746318884811
ZB_41	5.39468	37	0.0813880185370741	0.203962512881788
ZB_42	4.96225	35	0.219741251743375	0.495177180707037
ZB_43	4.4585	26	0.124530222381636	0.0994587038903447
ZB_44	3.02436	13	0.191563779527559	0.518466541013082
ZB_45	4.86433	31	0.185432163416899	0.964395732114255
ZB_46	4.59243	29	0.121276166333666	0.173521879349976
ZB_47	3.26498	12	0.237348780487805	0.839421558596074
ZB_48	3.89254	18	0.171623512195122	0.662903163355146
ZB_49	4.0078	22	0.0971218645948946	0.313902061040822
ZB_50	4.45798	31	0.10942013781152	1.01969075298188
ZB_51	4.13198	25	0.107028148414986	0.45759766002749
ZB_52	4.58642	28	0.100026886136462	0.443543500893646
ZB_53	2.85742	9	0.279853714285714	0.910876767346939
ZB_54	4.60714	25	0.0693441871483565	0.132049779608772
ZB_55	4.97399	36	0.111636671195652	0.721988583550552
ZB_56	3.35076	15	0.224130655737705	0.826404697661919
ZB_57	4.31195	29	0.142202467327625	0.489172762476185
ZB_58	5.14703	32	0.237868435013263	0.500696857854484
ZB_59	5.49414	38	0.0999938321456849	0.386874646263186
ZB_60	3.60456	22	0.330917833173538	0.335838619587829
ZB_61	4.43952	29	0.107298655908381	1.01374870123529
ZB_62	4.11766	21	0.182756099585062	0.898963583960331
ZB_63	4.1363	27	0.229923770595691	0.373548541422699
ZB_64	4.34975	29	0.104011393972013	0.964542332989279
