PD	SR	MNTD	MPD
ZB_1	2.26814	7	0.435385357142857	0.358078022959184
ZB_2	2.86389	19	0.0893545081081081	0.703490887631381
ZB_3	2.09407	10	0.143594485981308	0.439869637522928
ZB_4	2.21325	13	0.145222958152958	0.448353624557261
ZB_5	2.6277	18	0.0941493375214163	0.727472751937654
ZB_6	2.34007	20	0.108809675810474	0.274134867817986
ZB_7	2.5801	12	0.151263888888889	0.470329356138546
ZB_8	2.37312	17	0.147028416886544	0.53489997904498
ZB_9	2.27455	13	0.115979328358209	0.767128054132323
ZB_10	2.56407	13	0.285056060606061	0.615861703397612
ZB_11	3.13204	21	0.101665745043981	0.763173023462147
ZB_12	3.45448	22	0.107397848297214	0.163103787441651
ZB_13	1.70047	12	0.102311546391753	0.19213809284255
ZB_14	2.53628	15	0.165639243295019	0.637049156592681
ZB_15	2.61456	17	0.193831187214612	0.782111415525114
ZB_16	2.49529	19	0.0816324489795918	0.64853558483965
ZB_17	3.32818	23	0.0968499982422218	0.745040219027379
ZB_18	2.33807	13	0.148427277310924	0.436107617145682
ZB_19	3.54574	27	0.107793228733459	0.216977554214
ZB_20	2.95641	19	0.122977247072375	0.742131426417227
ZB_21	2.29078	7	0.539209583333333	0.7287875
ZB_22	2.56727	13	0.154368273381295	0.514400064178873
ZB_23	2.23559	14	0.0972971428571428	0.674872913109842
ZB_24	1.99687	8	0.155637989417989	0.417441582262535
ZB_25	2.94991	17	0.111180172413793	0.239920202305456
ZB_26	3.03349	21	0.108415954356846	0.213627196931871
ZB_27	2.9308	17	0.105988210332103	0.189878802371972
ZB_28	2.19306	5	0.757590952380953	0.564202338120433
ZB_29	2.75275	13	0.152885512820513	0.506231893491124
ZB_30	3.61124	27	0.106130293255132	0.308518014862703
ZB_31	2.27522	14	0.0790824291497976	0.485849706108935
ZB_32	3.19085	25	0.104704967032967	0.40771348967516
ZB_33	3.41088	25	0.109679897567222	0.305185607210953
ZB_34	2.99297	17	0.121726642335766	0.35804039852949
ZB_35	2.65277	18	0.101467466666667	0.758766841897898
ZB_36	2.585	12	0.185990927835052	0.512647903071527
ZB_37	2.9832	17	0.133137688679245	0.589614846475614
ZB_38	2.41785	21	0.104247107913669	0.237297439842658
ZB_39	2.27162	6	0.438753448275862	0.660774887039239
ZB_40	2.16192	12	0.136861625	0.687397953125
ZB_41	3.61482	29	0.106803297413793	0.244962604809193
ZB_42	2.57682	19	0.0802563431151242	0.657430728920912
ZB_43	2.1912	12	0.132099839572193	0.462412461322886
ZB_44	2.43493	11	0.316057352941176	0.765593979238754
ZB_45	2.794	19	0.217287887323944	0.789641404576225
ZB_46	2.1748	12	0.147019213973799	0.459542269598215
ZB_47	2.40279	7	0.635897083333333	0.714798506944444
ZB_48	2.99816	15	0.114778043478261	0.282717377693762
ZB_49	2.34361	13	0.131959852941176	0.528957197231834
ZB_50	2.85399	21	0.0974107091295117	0.755459326570832
ZB_51	2.00404	8	0.226538674698795	0.522988845986355
ZB_52	2.09443	9	0.147228194945848	0.425792578034381
ZB_53	2.38311	7	0.233843939393939	0.708255573921029
ZB_54	3.42287	22	0.107032347949081	0.151219026065872
ZB_55	3.25203	26	0.106683527454243	0.245272979199947
ZB_56	2.0711	3	1.01245111111111	0.49030049382716
ZB_57	3.49637	27	0.103644106060606	0.370413725665748
ZB_58	2.43094	18	0.0854016788321168	0.650987204432841
ZB_59	3.6334	25	0.115464759916493	0.3429918455725
ZB_60	2.10028	10	0.128328	0.780563944444444
ZB_61	2.713	20	0.0930031991235278	0.740974787722637
ZB_62	2.15902	11	0.138040149253731	0.562261982624192
ZB_63	2.36113	17	0.0819340182648402	0.61194789433081
ZB_64	2.68637	18	0.106122969825304	0.732129520827863
