PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	1.3226	5	0.600100357320099	0.175693041159049
ZB_3	0.46558	1	Inf	0
ZB_4	0.72667	2	0.72667	0.322964444444444
ZB_5	1.06754	4	0.632800899608866	0.0935226221550972
ZB_6	1.51354	6	0.21094974271012	0.191085213231378
ZB_7	0.56868	2	0.56868	0.1819776
ZB_8	0.83859	3	0.655721304347826	0.172438790170132
ZB_9	0.23761	1	Inf	0
ZB_10	0.23761	1	Inf	0
ZB_11	1.06754	4	0.621895330248212	0.122542394851516
ZB_12	1.6218	7	0.197374480769231	0.166505840883876
ZB_13	1.29073	6	0.192892648648649	0.176924989043097
ZB_14	1.1311	3	0.689206074766355	0.381420637610272
ZB_15	1.19569	3	0.750533529411765	0.237729896193772
ZB_16	0.23761	1	Inf	0
ZB_17	1.49545	6	0.194495860488798	0.0932285779001663
ZB_18	0.23761	1	Inf	0
ZB_19	1.6218	7	0.192477934362934	0.138274305016263
ZB_20	0.9205	3	0.817006360031721	0.120887997102107
ZB_21	0.23761	1	Inf	0
ZB_22	0.60098	2	0.18273	0.091365
ZB_23	0.87604	2	0.87604	0.067279872
ZB_24	0	0	NA	NA
ZB_25	1.52965	6	0.207834732965009	0.170606718014984
ZB_26	1.51354	6	0.19384164556962	0.132389783538295
ZB_27	1.6218	7	0.199810698924731	0.158411981081628
ZB_28	0.33107	1	Inf	0
ZB_29	0.23761	1	Inf	0
ZB_30	1.6218	7	0.19531857748184	0.149007615129361
ZB_31	0.23761	1	Inf	0
ZB_32	1.6218	7	0.193444651428571	0.167459872339592
ZB_33	1.6218	7	0.197788194706994	0.174364578903735
ZB_34	1.05856	4	0.206725808383234	0.156775725196314
ZB_35	1.3226	5	0.620372367688022	0.127487422164632
ZB_36	0.72667	2	0.72667	0.363335
ZB_37	0.89429	3	0.562979090909091	0.361388760330579
ZB_38	1.52965	6	0.197980515117581	0.146267822318418
ZB_39	0.23761	1	Inf	0
ZB_40	0.23761	1	Inf	0
ZB_41	1.6218	7	0.197576370135028	0.185338753413863
ZB_42	0.70319	2	0.70319	0.00679394617777359
ZB_43	0.23761	1	Inf	0
ZB_44	0.88085	2	0.88085	0.1926859375
ZB_45	0.87604	2	0.87604	0.133550368142811
ZB_46	0.23761	1	Inf	0
ZB_47	0.48906	1	Inf	0
ZB_48	1.6218	7	0.200684942196532	0.219875641685322
ZB_49	0.81835	3	0.261025	0.2367875
ZB_50	0.9205	3	0.847926961492178	0.0602677588800989
ZB_51	0	0	NA	NA
ZB_52	0	0	NA	NA
ZB_53	1.02889	3	0.357303333333333	0.36372
ZB_54	1.6218	7	0.200937239130435	0.168973584758979
ZB_55	1.6218	7	0.203302373096447	0.176702357636115
ZB_56	0	0	NA	NA
ZB_57	1.6218	7	0.192074968944099	0.156589781073261
ZB_58	0.23761	1	Inf	0
ZB_59	1.98419	8	0.195692206896552	0.14888872764566
ZB_60	0.23761	1	Inf	0
ZB_61	0.9205	3	0.847571928104575	0.0609687127280106
ZB_62	0.53017	1	Inf	0
ZB_63	0.23761	1	Inf	0
ZB_64	1.34273	4	0.652664325050369	0.128365089898116
