PD	SR	MNTD	MPD
ZB_1	1.93941	9	0.317797248062016	0.337598192716784
ZB_2	2.28488	9	0.0657188553259141	0.0563476154392492
ZB_3	2.90999	21	0.0108742078364566	0.271798552870075
ZB_4	2.36286	11	0.0770851982378855	0.251372659279241
ZB_5	1.86721	9	0.0615002423263328	0.0499459887097069
ZB_6	2.32034	5	0.84408520661157	0.186351645037907
ZB_7	2.74383	19	0.019307933927635	0.504037245216682
ZB_8	2.3589	11	0.104972135231317	0.448094696369094
ZB_9	2.07698	9	0.578431303116147	0.139528019645451
ZB_10	1.97043	10	0.356617737430168	0.311957049912612
ZB_11	2.75537	11	0.0909160866141732	0.103417795436791
ZB_12	1.89566	8	0.570492406876791	0.136137779821184
ZB_13	2.17518	4	0.656950454545455	0.0905415660313712
ZB_14	2.26159	10	0.0970243099273608	0.3432298082301
ZB_15	2.17933	7	0.580813448275862	0.699573365041617
ZB_16	2.70672	13	0.52915574439157	0.166965987426987
ZB_17	2.94312	15	0.0625431840193705	0.0658840507067521
ZB_18	2.20677	9	0.0933307142857143	0.333075283509526
ZB_19	2.50934	11	0.1190044604811	0.221367140680908
ZB_20	0.64017	7	0.0582497521448999	0.0393892221835494
ZB_21	1.88776	8	0.39977243315508	0.271399357716835
ZB_22	2.17141	8	0.127032380952381	0.533950566893424
ZB_23	1.99262	9	0.571852990033223	0.134630243043675
ZB_24	2.59086	17	0.125614681778553	0.394130552428571
ZB_25	2.77751	16	0.228017133333333	0.594471223111111
ZB_26	2.22925	4	0.894321838709677	0.0648352453694069
ZB_27	2.51027	6	0.612468631578947	0.138589016066482
ZB_28	2.01594	11	0.0720907819905213	0.364718156628333
ZB_29	2.0182	5	0.345362592592593	0.681778381344307
ZB_30	2.4365	9	0.203227300079177	0.246697513304233
ZB_31	2.10993	10	0.564149648148148	0.139197904526749
ZB_32	2.10858	8	0.0989531835686778	0.0949528913834101
ZB_33	2.94704	19	0.0476802574416734	0.212883398442379
ZB_34	2.21652	4	0.858232845953003	0.1503271759982
ZB_35	0.82923	9	0.0623843658810325	0.0484514471564378
ZB_36	3.01675	21	0.0111396963443396	0.39883431769605
ZB_37	2.10066	7	0.215916666666667	0.610081691869384
ZB_38	2.77048	11	0.0609090152671756	0.110589410232504
ZB_39	1.93814	9	0.40045614213198	0.283052500536817
ZB_40	2.08802	9	0.579091882352941	0.143374735640138
ZB_41	2.9237	18	0.0203244334487877	0.143346730473032
ZB_42	2.19432	12	0.101105851393189	0.266986831118385
ZB_43	2.50031	16	0.0724158572428271	0.179764036114413
ZB_44	2.46698	11	0.406235843023256	0.284793310446525
ZB_45	2.19922	9	0.141455606936416	0.374052631060176
ZB_46	2.8115	21	0.0621495915233415	0.380265303406978
ZB_47	1.9242	9	0.498488946378175	0.101535846771018
ZB_48	2.74094	11	0.509780826086957	0.0983728078449905
ZB_49	3.00831	21	0.0127542208857299	0.42552768989738
ZB_50	2.00433	11	0.102893150684932	0.106874848521035
ZB_51	2.64106	18	0.013891907709623	0.392320658840578
ZB_52	2.94081	22	0.0159791585075417	0.460498710293042
ZB_53	2.07218	11	0.354519682299546	0.315314069225329
ZB_54	2.93434	15	0.0534842692750288	0.206862196220409
ZB_55	2.32162	7	0.762188346456693	0.327893047306095
ZB_56	1.98365	10	0.0833952716593245	0.336506918175526
ZB_57	2.35992	8	0.137836085271318	0.0987058315138647
ZB_58	1.89913	9	0.540810807248764	0.156412468048495
ZB_59	2.97316	14	0.117120428082192	0.306698168746481
ZB_60	2.15182	11	0.568617095238095	0.140878679818594
ZB_61	1.86721	9	0.111904975922953	0.0946733193345511
ZB_62	2.03292	5	0.128746774193548	0.217779271592092
ZB_63	2.02378	9	0.583441267605634	0.0783113011263197
ZB_64	1.77883	8	0.0654815463917526	0.0556805481749153
