PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	0.60512	3	0.183577077865267	0.0705904313141959
ZB_3	0	0	NA	NA
ZB_4	0.46297	1	Inf	0
ZB_5	0.88341	5	0.165525562157221	0.0461125375281158
ZB_6	0.80229	3	0.162351428571429	0.09124
ZB_7	0.55187	2	0.16644	0.032877037037037
ZB_8	0.55187	2	0.16644	0.00923911836734694
ZB_9	0.55187	2	0.16644	0.012782592
ZB_10	0.55187	2	0.16644	0.0254283333333333
ZB_11	0.67801	4	0.164559333333333	0.0676295206044444
ZB_12	0.87379	4	0.200854285714286	0.197062857142857
ZB_13	0.7807	2	0.21462	0.0876
ZB_14	0.81052	4	0.349487464788732	0.271549946439199
ZB_15	0.51622	2	0.51622	0.252842448979592
ZB_16	0.55187	2	0.16644	0.012310650887574
ZB_17	0.67801	4	0.165476653386454	0.0494542233932795
ZB_18	0.55187	2	0.16644	0.0462333333333333
ZB_19	0.89538	5	0.177888837209302	0.152666998377501
ZB_20	0.67801	4	0.164794084158416	0.0654206966841486
ZB_21	0.46297	1	Inf	0
ZB_22	0	0	NA	NA
ZB_23	0.46297	1	Inf	0
ZB_24	0	0	NA	NA
ZB_25	0.7807	2	0.21462	0.0876
ZB_26	0	0	NA	NA
ZB_27	0.87983	4	0.0899086666666667	0.114981155555556
ZB_28	0.6826	1	Inf	0
ZB_29	0	0	NA	NA
ZB_30	0.88529	4	0.2021536	0.199688704
ZB_31	0.55187	2	0.16644	0.0240605305651672
ZB_32	0.89538	5	0.142943720930233	0.199192125473229
ZB_33	0.87983	4	0.15056	0.191766530612245
ZB_34	0.7807	2	0.21462	0.0953866666666666
ZB_35	0.67801	4	0.165179640344019	0.0569390163469432
ZB_36	0	0	NA	NA
ZB_37	0.55187	2	0.16644	0.0462333333333333
ZB_38	0.86974	3	0.246146153846154	0.159109822485207
ZB_39	0.46297	1	Inf	0
ZB_40	0.46297	1	Inf	0
ZB_41	0.89538	5	0.101694545454545	0.189436363636364
ZB_42	0.55187	2	0.16644	0.0150965986394558
ZB_43	0.46297	1	Inf	0
ZB_44	0.46297	1	Inf	0
ZB_45	0.60512	3	0.421684864864865	0.207394579985391
ZB_46	0.46297	1	Inf	0
ZB_47	0.46297	1	Inf	0
ZB_48	0.76014	2	0.37471	0.0819678125
ZB_49	0	0	NA	NA
ZB_50	0.67801	4	0.165794928390901	0.0392107829767724
ZB_51	0	0	NA	NA
ZB_52	0.46297	1	Inf	0
ZB_53	0	0	NA	NA
ZB_54	0.85824	3	0.234858571428571	0.160342040816327
ZB_55	0.89538	5	0.159458181818182	0.207913388429752
ZB_56	0.46297	1	Inf	0
ZB_57	0.74172	2	0.35629	0.0779384375
ZB_58	0.60512	3	0.1944224	0.098502528
ZB_59	0.7922	2	0.22612	0.084795
ZB_60	0.55187	2	0.16644	0.0462333333333333
ZB_61	0.67801	4	0.165990223214286	0.036681852080676
ZB_62	0.47433	1	Inf	0
ZB_63	0.55187	2	0.16644	0.0181787019533711
ZB_64	0.67801	4	0.165012849915683	0.0585010842345634
