PD	SR	MNTD	MPD
ZB_1	1.84071	3	1.02151593613933	0.0124328782590195
ZB_2	1.36454	2	0.51501	0.1729486933468
ZB_3	1.43092	2	1.09376	0.0234336778776729
ZB_4	1.23121	2	0.5056	0.0407841329639889
ZB_5	1.36454	2	0.51501	0.207105785323898
ZB_6	2.45597	6	0.431697247706422	0.710433936537329
ZB_7	1.43092	2	1.09376	0.109346493849145
ZB_8	1.01934	1	Inf	0
ZB_9	1.81676	3	1.09379111280488	0.0317118372852841
ZB_10	1.43092	2	1.09376	0.262913979238754
ZB_11	2.74321	6	0.515080796812749	0.280476007920509
ZB_12	2.86755	7	0.446022931034483	0.556611804771106
ZB_13	2.86755	7	0.532944556962025	0.845015561608716
ZB_14	1.36454	2	0.51501	0.256721625864776
ZB_15	1.36454	2	0.51501	0.13966750432526
ZB_16	1.43092	2	1.09376	0.314590802593319
ZB_17	2.33855	5	0.52243480369515	0.266411288768941
ZB_18	1.36454	2	0.51501	0.00804653233306466
ZB_19	2.11054	5	0.541395766816144	0.533995509614108
ZB_20	1.36454	2	0.51501	0.22514476526413
ZB_21	1.43092	2	1.09376	0.388772146157925
ZB_22	1.43092	2	1.09376	0.0214441721399863
ZB_23	1.43092	2	1.09376	0.0118140007012986
ZB_24	1.43092	2	1.09376	0.049270023337126
ZB_25	2.45776	6	0.738691039426523	0.588003104790535
ZB_26	2.45597	6	0.530267303370787	0.796263320287842
ZB_27	2.86755	7	0.421882881355932	0.59777123384085
ZB_28	1.43092	2	1.09376	0.136842609001303
ZB_29	1.77612	3	0.545470526315789	0.240383933518006
ZB_30	2.45597	6	0.474685679702048	0.378097294508078
ZB_31	1.77612	3	0.523738529534981	0.032920976227713
ZB_32	1.7247	4	0.495110549768519	0.0404585941250857
ZB_33	2.11233	5	0.508010884353742	0.542817933731316
ZB_34	2.45597	6	0.564386216216216	0.83080838568298
ZB_35	1.77612	3	0.516298975501114	0.229861082038284
ZB_36	1.43092	2	1.09376	0.0897543570170954
ZB_37	1.23121	2	0.5056	0.00972216042982374
ZB_38	1.7247	4	0.457599438596491	0.163994377593106
ZB_39	1.43092	2	1.09376	0.0213743351800554
ZB_40	1.64279	3	0.508575146906326	0.0131259112278479
ZB_41	2.11233	5	0.521466035242291	0.274254455161171
ZB_42	1.43092	2	1.09376	0.188107219932847
ZB_43	1.84071	3	1.02780637329287	0.186758398364193
ZB_44	1.43092	2	1.09376	0.408156803239384
ZB_45	1.36454	2	0.51501	0.139816536787333
ZB_46	1.43092	2	1.09376	0.0442706641835564
ZB_47	1.84071	3	1.02354064516129	0.0810380020811655
ZB_48	2.86755	7	0.586215067567568	0.700816355003652
ZB_49	1.43092	2	1.09376	0.0523492270067255
ZB_50	1.36454	2	0.51501	0.21469738473724
ZB_51	1.43092	2	1.09376	0.0259266998526871
ZB_52	1.64792	3	0.999062786016949	0.0748545400284331
ZB_53	1.43092	2	1.09376	0.0682888657648283
ZB_54	2.48171	6	0.524678695652174	0.616089671550095
ZB_55	1.7247	4	0.759184051724138	0.696545933784186
ZB_56	1.64279	3	0.994484275184275	0.0723489950437371
ZB_57	1.70075	4	0.495509123447772	0.0363109074193733
ZB_58	1.64792	3	0.571486	0.231927790293629
ZB_59	2.11054	5	0.478618607594937	0.144788094728409
ZB_60	1.43092	2	1.09376	0.012557101483287
ZB_61	1.70997	3	0.52028801242236	0.198191670074457
ZB_62	1.01934	1	Inf	0
ZB_63	1.43092	2	1.09376	0.0638916835908899
ZB_64	1.77433	3	0.51675168161435	0.241756090812202
