PD	SR	MNTD	MPD
ZB_1	1.74938	4	0.70001	0.6828016
ZB_2	1.80916	4	0.308201789473684	0.396988740720222
ZB_3	1.61579	5	0.195525372424723	0.100199035566015
ZB_4	1.18292	1	Inf	0
ZB_5	1.34878	4	0.138265205479452	0.347763481891537
ZB_6	2.36818	11	0.190106274509804	0.493967777316417
ZB_7	1.62791	5	0.195899764419171	0.103247277622296
ZB_8	1.18292	1	Inf	0
ZB_9	0	0	NA	NA
ZB_10	1.02578	1	Inf	0
ZB_11	1.80756	6	0.192786023916293	0.295550504623951
ZB_12	2.01811	8	0.282905416666667	0.663060381944444
ZB_13	2.01067	7	0.362673389830509	0.604586291295605
ZB_14	1.92943	4	0.695849166666667	0.484389634773663
ZB_15	1.59518	2	0.97985	0.165339751216874
ZB_16	0.34826	1	Inf	0
ZB_17	2.05303	7	0.133540892857143	0.533378502869898
ZB_18	1.64598	4	0.202425714285714	0.0525950765306122
ZB_19	2.62129	14	0.209203088888889	0.210262538666667
ZB_20	1.86469	4	0.499931262135922	0.56433214063531
ZB_21	1.02578	1	Inf	0
ZB_22	1.48711	2	0.76552	0.3674496
ZB_23	1.42232	2	1.31346	0.58376
ZB_24	1.36748	4	0.0496622091194969	0.0197711579032233
ZB_25	1.70052	6	0.194623266331658	0.136612765712987
ZB_26	2.24859	10	0.138656402439024	0.304870195237623
ZB_27	1.44387	6	0.455911	0.5416978
ZB_28	1.02578	1	Inf	0
ZB_29	1.25265	2	1.14379	0.508351111111111
ZB_30	2.492	13	0.0597265014577259	0.131914937927606
ZB_31	0.34826	1	Inf	0
ZB_32	2.09257	11	0.0561489714993804	0.0633803535130188
ZB_33	2.04304	9	0.193871750902527	0.0124200048791852
ZB_34	2.47202	12	0.188896666666667	0.567440716
ZB_35	1.31805	4	0.145874892703863	0.584722320175358
ZB_36	1.53715	4	0.178635377147125	0.0459643399123553
ZB_37	1.59518	2	0.97985	0.239963265306122
ZB_38	1.91021	7	0.105336351454824	0.10329885365928
ZB_39	0	0	NA	NA
ZB_40	0.30788	2	0.15024	0.0667733333333333
ZB_41	2.33408	8	0.196663863700366	0.0170269251755071
ZB_42	0.30788	2	0.15024	0.0480768
ZB_43	1.49677	5	0.0458120177748519	0.0117016612757075
ZB_44	1.48614	3	0.82179875	0.3654128125
ZB_45	1.74498	4	0.884351964809384	0.229899409877796
ZB_46	1.5581	5	0.0545175409836066	0.0316167448885712
ZB_47	1.47812	2	0.75653	0.378265
ZB_48	1.49021	5	0.488035555555556	0.579542716049383
ZB_49	1.53673	4	0.195974979253112	0.0624273061567275
ZB_50	1.2971	3	1.01650988023952	0.231282733694288
ZB_51	1.45445	3	0.198362529274005	0.0851469392142775
ZB_52	1.56658	5	0.195742425708362	0.0976015707640955
ZB_53	1.02578	1	Inf	0
ZB_54	2.02989	7	0.196215747202107	0.0349755930693117
ZB_55	2.47202	12	0.238933319672131	0.703000266729374
ZB_56	1.02578	1	Inf	0
ZB_57	1.8629	8	0.0887847762109135	0.102654918706048
ZB_58	0.17859	1	Inf	0
ZB_59	2.02749	10	0.145696	0.12408371743713
ZB_60	0.17859	1	Inf	0
ZB_61	1.2971	3	1.06352198660714	0.147061655572385
ZB_62	1.474	3	0.788785	0.5955615625
ZB_63	0.30788	2	0.15024	0.07512
ZB_64	1.26699	2	1.15813	0.313844840322416
