PD	SR	MNTD	MPD
ZB_1	0.97121	1	Inf	0
ZB_2	1.09159	2	1.03685	0.000894607253549369
ZB_3	1.11949	3	0.151244635761589	0.0699896320336827
ZB_4	1.0471	2	1.0471	0.427387755102041
ZB_5	0.97121	1	Inf	0
ZB_6	1.62144	8	0.144364363636364	0.580932019834711
ZB_7	1.11949	3	0.152154167027261	0.0824028449492119
ZB_8	1.0471	2	1.0471	0.518948486328125
ZB_9	1.13657	2	0.29468	0.00818393175957151
ZB_10	1.16398	3	0.97838037037037	0.143371083676269
ZB_11	1.09159	2	1.03685	0.000545997855756964
ZB_12	1.29922	4	0.158131111111111	0.129328055555556
ZB_13	1.49991	6	0.1665436	0.47821504
ZB_14	1.0471	2	1.0471	0.490256574669187
ZB_15	0.97121	1	Inf	0
ZB_16	0.97121	1	Inf	0
ZB_17	1.13363	3	1.04575140243902	0.0031957505472468
ZB_18	1.11949	3	0.4280675	0.47050421875
ZB_19	1.65134	9	0.140492759295499	0.119018308532826
ZB_20	0.97121	1	Inf	0
ZB_21	0.97121	1	Inf	0
ZB_22	0.25101	2	0.25101	0.0803232
ZB_23	0.97121	1	Inf	0
ZB_24	0.14828	2	0.14828	0.0133088449159762
ZB_25	1.32597	4	0.990475634920635	0.13343616122169
ZB_26	1.63558	8	0.149408163265306	0.489807047063723
ZB_27	1.1699	3	0.129740476190476	0.0623510204081633
ZB_28	0.97121	1	Inf	0
ZB_29	1.09159	2	1.03685	0.331792
ZB_30	1.65134	9	0.0518131742043551	0.0692188189271315
ZB_31	1.13657	2	0.29468	0.00357174598453302
ZB_32	1.59778	8	0.0646311920529801	0.13455371941422
ZB_33	1.4475	6	0.148650134529148	0.0449101460556215
ZB_34	1.56234	7	0.148510909090909	0.512678898071625
ZB_35	0.97121	1	Inf	0
ZB_36	1.14939	4	0.133819190915543	0.041422481754472
ZB_37	1.0471	2	1.0471	0.521223111111111
ZB_38	1.44664	7	0.0856767292644757	0.101475985520583
ZB_39	0.97121	1	Inf	0
ZB_40	0.97121	1	Inf	0
ZB_41	1.51874	6	0.149718572656922	0.0440324310487015
ZB_42	0.97121	1	Inf	0
ZB_43	1.14939	4	0.0490762479105053	0.00923219730308967
ZB_44	0.97121	1	Inf	0
ZB_45	1.14939	4	0.591275454545455	0.530178863636364
ZB_46	1.14939	4	0.0538186779661017	0.0212508884826199
ZB_47	0.97121	1	Inf	0
ZB_48	1.1699	3	0.130190833333333	0.047443125
ZB_49	0.14828	2	0.14828	0.0455154887359789
ZB_50	0.97121	1	Inf	0
ZB_51	1.11949	3	0.149938	0.0587842581618656
ZB_52	0.14828	2	0.14828	0.0685883040284711
ZB_53	0.97121	1	Inf	0
ZB_54	1.37511	5	1.02362681358381	0.0567723014885228
ZB_55	1.62144	8	0.141759834710744	0.363577905880746
ZB_56	0.97121	1	Inf	0
ZB_57	1.4774	7	0.0738934691431995	0.105353963011401
ZB_58	1.09159	2	1.03685	0.0363691007653061
ZB_59	1.4774	7	0.118144589322382	0.101628840931994
ZB_60	1.18004	2	0.33815	0.04977568
ZB_61	0.97121	1	Inf	0
ZB_62	1.44635	5	0.223677142857143	0.550153469387755
ZB_63	0.97121	1	Inf	0
ZB_64	0.97121	1	Inf	0
