PD	SR	MNTD	MPD
ZB_1	2.80218	8	0.566232869066249	0.718172620832901
ZB_2	2.37723	4	0.0502755871886121	0.0561407403654969
ZB_3	3.02731	22	0.0763375411782164	0.605866856994546
ZB_4	2.97378	14	0.106608555555556	0.7476236
ZB_5	2.07371	4	1.18556065934066	0.165063113150586
ZB_6	3.87881	26	0.301669884551952	0.709955234276516
ZB_7	2.8105	23	0.080703877261736	0.801452317520416
ZB_8	2.77875	18	0.0863530177514793	0.699030098385911
ZB_9	1.87869	7	0.17389319112628	0.0793724910890051
ZB_10	2.50356	6	0.759597651808785	0.702433615620138
ZB_11	3.4835	10	0.116884269662921	0.614630324453983
ZB_12	3.21527	12	0.422397893927748	0.631202190569425
ZB_13	4.22243	19	0.353750606796117	0.655961321283816
ZB_14	3.26785	20	0.0692030930930931	0.88989551028506
ZB_15	2.96463	12	0.131646813880126	0.582678504910985
ZB_16	1.98208	8	0.167282437594964	0.126796792189988
ZB_17	3.4659	10	0.132068055555556	0.385109448148148
ZB_18	2.98261	18	0.111755129533679	0.770614702139655
ZB_19	4.14373	34	0.0963798763289217	0.717596721075639
ZB_20	1.90278	3	0.0414188976377953	0.0207804228408457
ZB_21	2.50356	6	0.750366903460838	0.683015028321442
ZB_22	3.1172	11	0.153214193548387	0.60501127471384
ZB_23	2.40148	10	0.17427757296467	0.0773289916205431
ZB_24	2.8624	24	0.0969921459137145	0.737991072686121
ZB_25	3.6847	21	0.191926316750342	0.837501955499876
ZB_26	3.82913	23	0.32860670095518	0.70277768520683
ZB_27	3.35066	12	0.347547243510507	0.594025139125505
ZB_28	2.72201	9	0.501087406456346	0.693135633049642
ZB_29	2.3958	11	0.154707746478873	0.434940837135489
ZB_30	4.14373	34	0.133329248868778	0.824073565361326
ZB_31	1.85526	7	0.171652732458642	0.0906511374356535
ZB_32	3.98432	30	0.103703925378935	0.724815829362861
ZB_33	3.46577	20	0.0777754781825203	0.657496916404281
ZB_34	3.78448	24	0.305966610470275	0.718691201748011
ZB_35	1.25883	1	Inf	0
ZB_36	3.12221	24	0.0743985322784084	0.724470371425648
ZB_37	3.05719	15	0.138156984126984	0.716435710506425
ZB_38	3.89173	29	0.0899583781581092	0.710105931738605
ZB_39	2.10253	5	0.747792949110975	0.694919251338547
ZB_40	1.85526	7	0.16993257195346	0.091298569799478
ZB_41	3.84976	25	0.0748142085940759	0.658689483973448
ZB_42	2.47549	10	0.149615299874529	0.140889580529243
ZB_43	3.11521	25	0.0970394909023394	0.713703283326758
ZB_44	2.10253	5	0.781842138647207	0.658281719654455
ZB_45	3.65577	22	0.0527711739130435	0.569133235286704
ZB_46	2.9469	25	0.0955288877224555	0.735910059455166
ZB_47	2.50356	6	0.804043379758589	0.651201375987668
ZB_48	3.18704	12	0.430000595533499	0.644594794682561
ZB_49	3.16432	23	0.0757172488092538	0.726969028300995
ZB_50	2.16172	3	0.859691	0.677531775
ZB_51	3.30387	20	0.0769805507532724	0.70960871075436
ZB_52	2.8624	24	0.0772062622632346	0.770259124424711
ZB_53	2.58409	7	0.614593649829092	0.697355120340751
ZB_54	3.46155	19	0.0846063193901486	0.677272658540775
ZB_55	4.04992	31	0.259817353780314	0.803756399000002
ZB_56	2.50356	6	0.706505859437751	0.688907226086676
ZB_57	3.81649	27	0.0966209289232935	0.718146913387258
ZB_58	3.14356	11	0.155560838290968	0.119913260666532
ZB_59	4.36658	34	0.106380799777839	0.749069468379491
ZB_60	1.73704	6	0.175038548387097	0.0714508828613445
ZB_61	1.93506	2	1.3443	0.597466666666667
ZB_62	2.20263	11	0.117071578947368	0.774200817174515
ZB_63	1.85526	7	0.17409211861816	0.0789162088038057
ZB_64	1.96423	2	1.37347	0.0214591381982764
