PD	SR	MNTD	MPD
ZB_1	0.448	2	0.34806	0.17403
ZB_2	1.89512	24	0.0784374692019282	0.163177524391878
ZB_3	0.25747	1	Inf	0
ZB_4	1.14824	8	0.172398571428571	0.259850714285714
ZB_5	1.89512	24	0.0697008368727387	0.148335795053526
ZB_6	1.0797	13	0.132662777777778	0.231237793209877
ZB_7	0.33758	2	0.11888	0.0570624
ZB_8	1.26306	19	0.0629324719101124	0.136010372427724
ZB_9	1.27827	18	0.072521954887218	0.16353711119905
ZB_10	0.9253	6	0.0666761111111111	0.0876819444444444
ZB_11	1.89512	24	0.0635413900414938	0.133851715458679
ZB_12	0.85261	9	0.119159142857143	0.21600506122449
ZB_13	0.66397	7	0.128875909090909	0.197996570247934
ZB_14	1.53427	17	0.291858248587571	0.329187714896741
ZB_15	1.10953	9	0.394422	0.293630771875
ZB_16	1.45148	21	0.0664653731343284	0.152980992549689
ZB_17	1.89512	24	0.0648267362579281	0.134516506648389
ZB_18	0.48696	3	0.230663333333333	0.216426666666667
ZB_19	1.38781	19	0.113794975369458	0.247656112014366
ZB_20	1.89512	24	0.081341022297013	0.165056952533296
ZB_21	0.79568	8	0.13524	0.213441805555556
ZB_22	0.41936	3	0.161265	0.13405625
ZB_23	1.59512	16	0.0931570408163265	0.211947140774677
ZB_24	0.30994	2	0.15542	0.0690755555555556
ZB_25	0.6654	8	0.115081875	0.18674890625
ZB_26	0.68856	6	0.139617	0.1629368
ZB_27	0.63605	8	0.0775575	0.151348359375
ZB_28	0.35346	2	0.13476	0.0431232
ZB_29	0.25015	1	Inf	0
ZB_30	1.35332	18	0.112653090909091	0.226847595041322
ZB_31	1.38828	19	0.0726191633466135	0.157026590689037
ZB_32	1.13858	14	0.138702540983607	0.188711457941414
ZB_33	1.42091	12	0.1471309375	0.2502595703125
ZB_34	0.60942	6	0.138592857142857	0.172171428571429
ZB_35	1.89512	24	0.0677784823776959	0.139300420612535
ZB_36	0	0	NA	NA
ZB_37	1.0167	7	0.104410666666667	0.20752
ZB_38	1.09781	11	0.135901333333333	0.231454968888889
ZB_39	0.52774	3	0.141932	0.1117152
ZB_40	0.97269	12	0.110238405797101	0.225165679479101
ZB_41	0.98708	11	0.132570217391304	0.238371398865785
ZB_42	1.37615	21	0.0721273273942094	0.154785677650408
ZB_43	0.859	3	0.2765975	0.28857875
ZB_44	0.86284	11	0.0651575	0.118099225
ZB_45	1.46045	17	0.402824212962963	0.212811721322016
ZB_46	0.42188	4	0.131515	0.142157222222222
ZB_47	0.34168	2	0.24174	0.10744
ZB_48	0.44474	3	0.109628571428571	0.101064489795918
ZB_49	0.35647	1	Inf	0
ZB_50	1.89512	24	0.0597387694831829	0.125075654693794
ZB_51	0.26306	2	0.26306	0.13153
ZB_52	0.32201	1	Inf	0
ZB_53	0.29491	3	0.075234	0.0817488
ZB_54	0.57511	6	0.119503529411765	0.219047197231834
ZB_55	1.18277	15	0.1249338	0.218028184
ZB_56	0.37467	2	0.23871	0.106093333333333
ZB_57	1.27127	16	0.130536547619048	0.230892259070295
ZB_58	1.1932	17	0.0789528767123288	0.187445607055733
ZB_59	1.07393	11	0.134648863636364	0.262233078512397
ZB_60	0.85371	12	0.0968011627906977	0.174939621416982
ZB_61	1.89512	24	0.0589715337186898	0.113848189265707
ZB_62	0.4141	2	0.4141	0.20705
ZB_63	1.40662	21	0.0684008898305085	0.158422948506176
ZB_64	1.89512	24	0.0699689063568011	0.145453160777417
