PD	SR	MNTD	MPD
ZB_1	4.5258	15	0.205627342222222	0.332197936102716
ZB_2	3.72933	19	0.0669035115722267	0.157081672567907
ZB_3	4.46863	18	0.194313700332963	0.375126653222649
ZB_4	4.52929	19	0.0932533807829182	0.525044431111561
ZB_5	3.64214	21	0.0585973482828916	0.147181042872313
ZB_6	6.16851	39	0.116675841708543	0.802542130485973
ZB_7	4.29208	21	0.147828372762148	0.537400424358345
ZB_8	4.3742	26	0.0917598509687034	0.936372605515713
ZB_9	4.05679	21	0.376961707317073	0.823677123524357
ZB_10	4.36497	21	0.479450852237891	0.334165073948532
ZB_11	4.50183	26	0.0571793021806854	0.153531701487542
ZB_12	5.95076	28	0.135400113917781	0.737718624135595
ZB_13	5.0241	26	0.152648605927552	0.754105122053786
ZB_14	5.02706	29	0.129455146396396	0.890221025865393
ZB_15	4.25534	19	0.614210542635659	0.924481202385006
ZB_16	4.85448	24	0.192669099403063	0.577557632105224
ZB_17	6.28346	35	0.0577381340180973	0.159130181308871
ZB_18	4.75768	16	0.169631501901141	0.659150690844164
ZB_19	5.63724	41	0.0710227668728153	0.773496748546612
ZB_20	3.22567	22	0.059163026879626	0.19475518186008
ZB_21	3.42627	11	0.507683161361142	0.247903538047597
ZB_22	3.74294	16	0.380349702380952	0.990483874007936
ZB_23	4.03153	18	0.327612740348221	0.842053629040808
ZB_24	4.54464	19	0.124407018935103	0.224607954986743
ZB_25	5.54957	23	0.298354744027304	0.884022281559482
ZB_26	6.43114	37	0.126296531678641	0.760438861585154
ZB_27	4.6082	20	0.284340477787091	0.709350550662604
ZB_28	4.16966	12	0.204540449285228	0.33917719741923
ZB_29	4.43894	17	0.386464258064516	0.921270874505723
ZB_30	5.62411	41	0.0696686426180736	0.837017932760785
ZB_31	3.92209	19	0.365745804444444	0.826121136213333
ZB_32	5.34331	37	0.0606359295701709	0.836476228133152
ZB_33	5.99731	33	0.0990190258751903	0.625592205503391
ZB_34	5.17398	27	0.156085944827586	0.538865901983353
ZB_35	3.73908	22	0.0577420378648435	0.143720026462356
ZB_36	4.4432	18	0.167149104510451	0.469672580834849
ZB_37	5.20863	22	0.355444673539519	1.02383565994733
ZB_38	5.6436	33	0.0612959970887918	0.603978134396068
ZB_39	3.58191	10	0.482748716381418	0.281473514057185
ZB_40	3.98065	19	0.137498953207911	0.842382648058829
ZB_41	6.20728	40	0.0745765647058824	0.598612516002542
ZB_42	4.3703	25	0.168660998023715	0.791351202813032
ZB_43	4.16401	21	0.0733703816657749	0.111854780901723
ZB_44	3.74814	14	0.528734623990056	0.2194117413508
ZB_45	5.05365	27	0.207721172962227	1.0201325324198
ZB_46	3.89846	17	0.111221272312951	0.208657131408735
ZB_47	4.03407	14	0.195761382592928	0.0975144822987501
ZB_48	6.02449	23	0.318630629370629	0.568995013091889
ZB_49	4.27025	16	0.171760474137931	0.462828656760694
ZB_50	3.56753	21	0.0659246875	0.162111263191666
ZB_51	4.02911	16	0.186801460626588	0.412164983832356
ZB_52	4.34674	19	0.1629135	0.513376186381989
ZB_53	4.4757	11	0.499855471562275	0.248304818907792
ZB_54	4.92536	26	0.0838579009762901	0.655707284042744
ZB_55	6.07899	36	0.111438593252705	0.791294493697633
ZB_56	3.36555	11	0.492996809864757	0.256513891379318
ZB_57	5.52321	34	0.0647940918457462	0.788075688453569
ZB_58	4.05045	19	0.180085608562691	0.577025248245097
ZB_59	5.20027	33	0.0922485855101035	0.788610184984069
ZB_60	4.53904	17	0.300870481036078	0.867712010481267
ZB_61	3.58855	21	0.0585177960904561	0.140137922957666
ZB_62	4.94413	20	0.132465277777778	1.0386726766118
ZB_63	4.37294	25	0.160657288081581	0.694363263371221
ZB_64	3.46884	20	0.0583749715549937	0.151524155657995
