PD	SR	MNTD	MPD
ZB_1	4.89288	38	0.056795817679558	0.263035278092854
ZB_2	7.79302	77	0.0534593419954081	0.735882077465701
ZB_3	5.02424	44	0.0572974774290628	0.328821435443866
ZB_4	5.73764	43	0.0348793476465731	0.419307005491227
ZB_5	6.69123	74	0.0473359507810705	0.753108156451055
ZB_6	10.33671	118	0.0769238275517011	0.725243340010752
ZB_7	5.7233	58	0.046773035998993	0.454072990677196
ZB_8	6.10714	63	0.0390122922437673	0.698807997147428
ZB_9	6.01281	64	0.0656911452072129	0.731838856556212
ZB_10	5.29216	49	0.0541570216542421	0.358391419255953
ZB_11	7.65943	81	0.054723666310869	0.780216259997396
ZB_12	9.02938	99	0.0661784174113577	0.689498759459167
ZB_13	8.45658	80	0.0717291771832408	0.785458611284742
ZB_14	6.56411	67	0.0703309048117155	0.723990482211008
ZB_15	5.38372	41	0.101266769851952	0.848084173615023
ZB_16	7.50904	77	0.0690740117263844	0.572605138316757
ZB_17	9.01751	103	0.0454564833555833	0.768550550343995
ZB_18	5.5926	47	0.0346823076923077	0.543004094536948
ZB_19	10.47345	132	0.0581664772594411	0.781311444636123
ZB_20	7.59314	76	0.0431051450488898	0.769444307464546
ZB_21	4.33349	31	0.0514967269076305	0.27850001818071
ZB_22	4.5938	28	0.0785064705882353	0.777581395664732
ZB_23	6.20969	62	0.0663114468238258	0.682530433572605
ZB_24	4.41947	35	0.0244395928541753	0.204053675090172
ZB_25	8.19365	88	0.0558451735294118	0.773046700437716
ZB_26	9.84202	106	0.0713013529411765	0.611082266539223
ZB_27	8.1954	87	0.0699966652789342	0.691632287779196
ZB_28	4.65048	30	0.0567166757176105	0.283718145103192
ZB_29	4.80363	29	0.071011359223301	0.64901378033326
ZB_30	11.34639	141	0.0510740626351761	0.770979382994063
ZB_31	6.73745	73	0.0632742041864139	0.72578630135919
ZB_32	9.87705	121	0.0496718932806324	0.735023417076765
ZB_33	8.91208	107	0.036085298749421	0.579986387074175
ZB_34	8.74439	92	0.0731663958203369	0.59771325128648
ZB_35	7.27725	79	0.0475668841321545	0.769705459772842
ZB_36	5.67776	51	0.0507974216439976	0.420908162301714
ZB_37	5.85128	45	0.0625977777777778	0.807682756835165
ZB_38	9.49025	112	0.0412119807165814	0.594870994416423
ZB_39	4.61543	35	0.0541853928955867	0.23140319570565
ZB_40	5.44899	51	0.0645548526123196	0.682729597034884
ZB_41	9.16873	110	0.0349128965922444	0.561496910797597
ZB_42	6.84347	75	0.0567851594099453	0.722731949654827
ZB_43	5.4738	48	0.0214128271073105	0.111219295485851
ZB_44	4.26823	34	0.0541721878967414	0.272963421165883
ZB_45	6.44578	65	0.138758351111111	0.830234313414321
ZB_46	4.6245	45	0.0240070761217949	0.195056438575952
ZB_47	4.49618	25	0.047706565681047	0.0848120611592801
ZB_48	8.2896	72	0.0759644440109247	0.602814842042945
ZB_49	4.84676	44	0.0513442667195872	0.418370818297967
ZB_50	6.74627	75	0.0545802833657798	0.76321279608281
ZB_51	3.94488	37	0.0524402977305851	0.394902845186329
ZB_52	5.60334	52	0.0494247046046916	0.447798835934152
ZB_53	3.62377	23	0.0553252621634388	0.215313262102747
ZB_54	8.41816	93	0.043311566672601	0.64687355005401
ZB_55	9.69176	118	0.0709149287356322	0.816474884612498
ZB_56	3.96694	25	0.0560925509164969	0.247271590139829
ZB_57	9.23791	112	0.0468190373166836	0.717506647525787
ZB_58	5.89398	61	0.0598058884565499	0.632602713107777
ZB_59	9.74184	115	0.0521968686868687	0.733251642340798
ZB_60	5.30164	48	0.0644556674364896	0.695717112765015
ZB_61	5.67413	66	0.055981477629807	0.736011175351871
ZB_62	5.35593	42	0.0569032258064516	0.864405971670666
ZB_63	6.56501	67	0.0579013807332169	0.64355935309125
ZB_64	6.85773	77	0.0494296343859649	0.752830596068797
