PD	SR	MNTD	MPD
ZB_1	3.24583	9	0.489768695652174	0.185208237502625
ZB_2	2.9569	9	0.0446616544117647	0.80137902332236
ZB_3	2.43875	14	0.106725557461407	0.597878283910335
ZB_4	2.64175	9	0.0522522222222222	0.348791563580247
ZB_5	2.97227	10	0.0434228934885727	0.846180613307285
ZB_6	2.96037	11	0.151209348534202	0.356794472514297
ZB_7	3.1716	15	0.0896531726618705	0.351965358159516
ZB_8	2.86951	13	0.0491601639344262	0.544255396062886
ZB_9	3.52764	12	0.470170801687764	0.519884675621784
ZB_10	3.32798	11	0.145690402802102	0.245443514527314
ZB_11	3.22021	14	0.049286601343785	0.893871328304381
ZB_12	4.03187	13	0.149986649616368	0.294509080919146
ZB_13	2.3525	7	0.885077627118644	0.192488125379042
ZB_14	3.23423	15	0.0443216483516484	0.572831344795315
ZB_15	2.57756	7	0.602060390625	0.683546572265625
ZB_16	3.63244	13	0.529001129679144	0.30977376007142
ZB_17	3.49431	16	0.0456626567656766	0.870717525083598
ZB_18	2.65137	9	0.106439018691589	0.481175636300114
ZB_19	3.13753	18	0.164262324966975	0.419826775746926
ZB_20	2.65553	10	0.0671630650377291	0.849220919485883
ZB_21	2.89987	7	0.532784299363057	0.137170576696823
ZB_22	2.55291	6	0.400077142857143	0.640891780045351
ZB_23	3.46984	12	0.487559972936401	0.53999960133377
ZB_24	2.7394	12	0.124180343183985	0.0950079641921445
ZB_25	3.46109	15	0.356213911917098	0.545966600848345
ZB_26	3.06956	11	0.16264092948718	0.271450388519066
ZB_27	2.93838	7	0.875009951923077	0.248449907082101
ZB_28	3.36313	8	0.160699438502674	0.174428803940633
ZB_29	2.45208	6	0.334211666666667	0.518847508680556
ZB_30	4.2427	20	0.0835993030080704	0.389228819018942
ZB_31	3.42716	11	0.480548633802817	0.538329619400913
ZB_32	3.64304	17	0.0720505769230769	0.183335448356345
ZB_33	4.0765	22	0.068275967110415	0.171702229837085
ZB_34	2.52517	11	0.151873580246914	0.240611603075412
ZB_35	2.56755	10	0.0494382516743038	0.880905178597587
ZB_36	3.41337	16	0.0901308324084351	0.468449229158378
ZB_37	2.53822	9	0.23026375	0.754198930121528
ZB_38	3.64159	16	0.0623819391634981	0.164399992343391
ZB_39	3.26256	8	0.500419153094462	0.162207840083184
ZB_40	3.42716	11	0.49808827077748	0.543047177152139
ZB_41	4.02214	24	0.0489175651691625	0.182564057697638
ZB_42	3.59054	13	0.473578331099196	0.552142752005333
ZB_43	3.16742	15	0.123748946808511	0.0648492594867587
ZB_44	3.04114	7	0.517205146379045	0.106216831583971
ZB_45	3.02163	12	0.0790470036101083	0.695733703293409
ZB_46	3.1577	14	0.133096214434421	0.108566946194066
ZB_47	2.28602	4	0.535051654761905	0.0289926548469388
ZB_48	2.34116	6	0.533793769230769	0.0793147567389875
ZB_49	3.44083	16	0.0898095289079229	0.512180090880329
ZB_50	2.99478	11	0.0450195866722902	0.851436885066122
ZB_51	3.48159	14	0.0932227607361963	0.465784310704622
ZB_52	2.48384	15	0.0868927225583405	0.483815130030351
ZB_53	3.27812	8	0.527851241970021	0.0884218039424272
ZB_54	3.63842	16	0.0778850928381963	0.211313965446883
ZB_55	2.97692	13	0.713293102310231	0.548172851463364
ZB_56	2.79082	6	0.519658823529412	0.0824724126608277
ZB_57	3.40562	19	0.0670150900360144	0.215876385300819
ZB_58	3.4809	11	0.510097840375587	0.394551260405416
ZB_59	3.9512	17	0.101239494949495	0.292119108651045
ZB_60	3.41597	10	0.487250264026403	0.588673248592186
ZB_61	2.60371	10	0.0370038720173536	0.783762463262454
ZB_62	2.59887	7	0.245668	0.608074048
ZB_63	3.42638	10	0.494667075555556	0.458190002346667
ZB_64	2.48853	8	0.0510424737562757	0.838233282623137
