PD	SR	MNTD	MPD
ZB_1	1.87533	6	0.101754613778706	0.0837479894177588
ZB_2	2.39704	15	0.0775994619588062	0.568418114463444
ZB_3	0.60215	8	0.0962703738317757	0.15252964975107
ZB_4	2.234	11	0.0920647978436658	0.0788678576877529
ZB_5	2.44145	16	0.0791921309643536	0.595438621050756
ZB_6	2.88128	23	0.102796018269747	0.51746844212246
ZB_7	1.65211	9	0.115236956521739	0.262002528544423
ZB_8	2.31468	14	0.0838398526315789	0.430724395257618
ZB_9	2.28465	15	0.109272511627907	0.432574876257436
ZB_10	1.6822	5	0.131050662824207	0.130075152041975
ZB_11	2.54568	18	0.0807818255408234	0.610304458620037
ZB_12	2.51807	16	0.101275382716049	0.29122422210029
ZB_13	2.49772	16	0.103943906542056	0.377371111398375
ZB_14	2.25641	15	0.087827484939759	0.361371393979533
ZB_15	2.08555	10	0.107558731343284	0.57787456059256
ZB_16	2.26393	14	0.100384601100413	0.238799841900823
ZB_17	2.53065	17	0.0812164539731155	0.608339291308707
ZB_18	1.86937	9	0.0877299739583333	0.218393992648655
ZB_19	3.10682	26	0.0947539944903581	0.66382641909537
ZB_20	2.47065	17	0.0863199854783082	0.600599030441812
ZB_21	1.53222	3	0.106308835616438	0.0611402691640083
ZB_22	1.95335	8	0.117323055555556	0.317347897805213
ZB_23	2.19848	12	0.126420080375084	0.434960380951697
ZB_24	0.42411	5	0.0995548062015504	0.0870771035394508
ZB_25	2.41323	12	0.106458122362869	0.273602337232281
ZB_26	2.83717	24	0.101681506542056	0.456347724147087
ZB_27	2.60921	17	0.10305806741573	0.30422552344401
ZB_28	1.8756	7	0.102718450520833	0.0816897551812066
ZB_29	1.37412	9	0.091115641025641	0.402306652056396
ZB_30	3.04466	25	0.0993247531461762	0.567846183289304
ZB_31	2.31872	16	0.107015526866713	0.455087166145034
ZB_32	2.80096	22	0.0961168442622951	0.691947308519215
ZB_33	2.66156	18	0.102565780590717	0.688169957805907
ZB_34	2.87514	22	0.102466872541306	0.501520070107791
ZB_35	2.34151	14	0.0809128744004264	0.609150842308666
ZB_36	2.07269	10	0.156552183908046	0.275194799841459
ZB_37	1.91817	9	0.0970302762430939	0.488898989652331
ZB_38	2.74775	21	0.0966067441860465	0.669486732768463
ZB_39	1.87836	7	0.102014646017699	0.0949732536264042
ZB_40	2.16006	12	0.121981719557196	0.383410203847987
ZB_41	2.70048	21	0.0938947575757576	0.637851446280992
ZB_42	2.35639	17	0.104567202380952	0.376086786077176
ZB_43	1.9374	9	0.107666481481481	0.131342654320988
ZB_44	1.97066	8	0.099052599805258	0.104447345507709
ZB_45	2.26807	14	0.089126499032882	0.468177085027816
ZB_46	1.48363	7	0.14590793814433	0.192869444149219
ZB_47	1.15474	5	0.0983490690376569	0.0524673656853434
ZB_48	2.53914	15	0.100687502917153	0.19666833318583
ZB_49	1.93	9	0.22667323943662	0.393351612775243
ZB_50	2.30453	16	0.0775348456610367	0.58052232249735
ZB_51	1.22862	6	0.159284897959184	0.194031353602666
ZB_52	1.66161	9	0.113378421052632	0.19018159833795
ZB_53	1.91103	7	0.100843042973287	0.0740660319618627
ZB_54	2.37537	14	0.102146453488372	0.555238017847485
ZB_55	2.9389	24	0.0995205549845838	0.551940830205898
ZB_56	1.62238	5	0.0997620418204182	0.0674538043387814
ZB_57	2.83183	21	0.102473015873016	0.691265369110607
ZB_58	2.25335	14	0.103869162561576	0.310305116398521
ZB_59	2.77687	22	0.0987425471698113	0.54643595496618
ZB_60	2.16685	12	0.117597483221477	0.406342970417999
ZB_61	2.13988	13	0.0776011744583808	0.558970666014739
ZB_62	2.04488	9	0.117247592592593	0.502850651577503
ZB_63	2.32342	15	0.101678655319149	0.307069245265731
ZB_64	2.38592	15	0.0790879181141439	0.5883346805214
