PD	SR	MNTD	MPD
ZB_1	2.04062	9	0.137079139072848	0.0336447236524714
ZB_2	2.16685	13	0.090927969151671	0.0679185195269218
ZB_3	2.3855	14	0.0655427058823529	0.238153784885813
ZB_4	2.10388	11	0.0953081463414634	0.274894856395003
ZB_5	1.66763	12	0.094179574829932	0.0604046493720788
ZB_6	3.51231	23	0.100507879234168	0.628314971910187
ZB_7	2.33177	16	0.081228764085787	0.152586479103267
ZB_8	1.95631	8	0.103022802101576	0.329941699356829
ZB_9	2.22755	9	0.178067616707617	0.0920616577522351
ZB_10	2.09288	8	0.956766846229187	0.0313769826014134
ZB_11	2.34529	14	0.0996786652977413	0.119120970548427
ZB_12	2.99753	16	0.141882016	0.1890337627136
ZB_13	2.95081	14	0.139886582064298	0.516260324953261
ZB_14	1.91162	10	0.0965529950900164	0.241233495249397
ZB_15	1.91132	9	0.14032050209205	0.499303235587612
ZB_16	1.93639	10	0.177638169838946	0.0462062692019533
ZB_17	3.1748	22	0.0882249629207073	0.0635670585670266
ZB_18	1.978	10	0.0894143776824034	0.432158196595996
ZB_19	3.57375	27	0.0558516559195254	0.411539812180442
ZB_20	1.61446	12	0.0867564566929134	0.0494455230396966
ZB_21	1.89777	5	0.963131383928571	0.015352979644983
ZB_22	1.77376	7	0.197464	0.382134333564014
ZB_23	1.39361	7	0.176423695167286	0.0673742623567944
ZB_24	2.06099	12	0.120404490959119	0.0719475284536188
ZB_25	3.44257	22	0.086731260210035	0.57222475123528
ZB_26	3.32624	22	0.102564585927771	0.479866573409723
ZB_27	2.51427	14	0.136411219512195	0.247802232123736
ZB_28	2.13421	7	0.218075601023018	0.0300164858942576
ZB_29	1.74746	7	0.140735882352941	0.540016046889344
ZB_30	3.7135	26	0.0609220137299771	0.475927829174827
ZB_31	1.52803	9	0.177016585152838	0.0491125648709979
ZB_32	2.96905	19	0.0557125840896957	0.172381344015571
ZB_33	2.94361	19	0.0515690188062142	0.106829147739998
ZB_34	3.26849	21	0.104262429577465	0.643755945331614
ZB_35	2.18044	14	0.0891202156980228	0.0682069370729989
ZB_36	2.23169	14	0.048064090296496	0.095271721770766
ZB_37	1.78142	8	0.194334558139535	0.435329895078421
ZB_38	2.37041	14	0.0414878777589134	0.116920940299377
ZB_39	1.81735	5	0.427647722063037	0.0253611578312165
ZB_40	1.77173	10	0.176444961832061	0.0707554698890177
ZB_41	2.77237	20	0.044077810741688	0.0964498868230846
ZB_42	1.50824	9	0.17604304272014	0.0721577555983579
ZB_43	1.86766	13	0.0402994372823939	0.0273630435561561
ZB_44	1.71605	4	0.964231290836653	0.0137799292328693
ZB_45	1.97709	10	0.0748889473684211	0.329803254804408
ZB_46	1.49897	10	0.118071082726868	0.0626046159474553
ZB_47	1.97499	6	1.00950838650023	0.0101905322332534
ZB_48	3.02382	14	0.146298605927552	0.189585537322227
ZB_49	2.76193	16	0.0585719764705882	0.187025962657439
ZB_50	1.7146	13	0.102201463414634	0.147369493055018
ZB_51	2.36302	15	0.067156186770428	0.300713329194992
ZB_52	2.23909	15	0.041700907651715	0.231585872913722
ZB_53	1.96534	6	0.960880396039604	0.021769566043513
ZB_54	2.84996	19	0.0474218806306306	0.176162506492979
ZB_55	3.66561	26	0.11588910122164	0.705465391482324
ZB_56	1.74064	5	0.13996299378882	0.010836741298561
ZB_57	2.86285	18	0.057199136577708	0.130733979535702
ZB_58	1.78153	10	0.178004077922078	0.0428811976986938
ZB_59	3.41874	25	0.0584472853998533	0.30607197807693
ZB_60	1.3009	6	0.17455556745182	0.0974616473091261
ZB_61	1.66763	12	0.107456810598626	0.124941613716232
ZB_62	2.07228	8	0.1249705	0.3803892625
ZB_63	1.6145	11	0.176973887867647	0.0534267487564879
ZB_64	1.86308	12	0.0875232320675105	0.047092185255212
