PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	2.44453	6	0.663545283018868	0.463721473834105
ZB_3	0	0	NA	NA
ZB_4	1.03008	1	Inf	0
ZB_5	1.8927	3	0.914973333333333	0.794279569098184
ZB_6	2.11875	6	0.25638037037037	0.425747724554184
ZB_7	0.49512	1	Inf	0
ZB_8	0.82701	1	Inf	0
ZB_9	0.53053	1	Inf	0
ZB_10	0	0	NA	NA
ZB_11	2.45355	6	0.192650575692964	0.357941163751756
ZB_12	0	0	NA	NA
ZB_13	2.25461	4	0.898252	0.9343872
ZB_14	0	0	NA	NA
ZB_15	0	0	NA	NA
ZB_16	0	0	NA	NA
ZB_17	3.00147	7	0.724893703703704	0.875736351165981
ZB_18	1.19017	1	Inf	0
ZB_19	2.11875	6	0.313310995024876	0.563085482042524
ZB_20	0.84385	3	0.5107	0.325900064079744
ZB_21	0.31071	1	Inf	0
ZB_22	0	0	NA	NA
ZB_23	0.75357	1	Inf	0
ZB_24	0	0	NA	NA
ZB_25	1.8166	4	0.6249625	0.67642875
ZB_26	2.11875	6	0.245719978308026	0.428221538200931
ZB_27	0.96143	2	0.32808	0.16404
ZB_28	0.53011	1	Inf	0
ZB_29	0.84121	1	Inf	0
ZB_30	2.11875	6	0.44751447368421	0.630640126192675
ZB_31	0	0	NA	NA
ZB_32	2.11875	6	0.250126363636364	0.450194086317723
ZB_33	1.8397	4	0.592498	0.5970152
ZB_34	2.11875	6	0.250570584415584	0.41241149303213
ZB_35	1.47094	4	0.609974489795918	0.456864489795918
ZB_36	1.03008	1	Inf	0
ZB_37	0	0	NA	NA
ZB_38	2.42946	7	0.3144328	0.549507976
ZB_39	1.21903	1	Inf	0
ZB_40	0	0	NA	NA
ZB_41	0	0	NA	NA
ZB_42	0	0	NA	NA
ZB_43	0	0	NA	NA
ZB_44	0	0	NA	NA
ZB_45	0	0	NA	NA
ZB_46	0	0	NA	NA
ZB_47	0.31071	1	Inf	0
ZB_48	0.84121	1	Inf	0
ZB_49	0.49512	1	Inf	0
ZB_50	1.49234	5	0.225003516483516	0.386248738075112
ZB_51	0	0	NA	NA
ZB_52	0	0	NA	NA
ZB_53	0	0	NA	NA
ZB_54	0	0	NA	NA
ZB_55	2.11875	6	0.304004803149606	0.508768823857648
ZB_56	0.84124	2	0.84124	0.206017959183673
ZB_57	2.02695	5	0.210079047619048	0.321833560090703
ZB_58	0	0	NA	NA
ZB_59	1.70677	3	0.300852727272727	0.184330082644628
ZB_60	0	0	NA	NA
ZB_61	0.67367	2	0.67367	0.1212606
ZB_62	0	0	NA	NA
ZB_63	0	0	NA	NA
ZB_64	1.39758	2	1.39758	0.5869836
