PD	SR	MNTD	MPD
ZB_1	1.63805	6	0.405148333333333	0.519159444444444
ZB_2	0.75551	2	0.34875	0.174375
ZB_3	2.90679	24	0.0967874119338605	0.708553051076526
ZB_4	2.35442	15	0.125377633587786	0.71141027445953
ZB_5	0.86069	1	Inf	0
ZB_6	3.64915	18	0.29944985	0.776745796
ZB_7	2.86155	23	0.104734296707995	0.71531026047214
ZB_8	2.45281	17	0.110094485596708	0.699012151941608
ZB_9	0	0	NA	NA
ZB_10	2.06298	4	0.80788	0.616783125
ZB_11	1.13846	2	1.11401	0.495115555555556
ZB_12	1.77003	4	0.55099375	0.4824059375
ZB_13	3.09899	11	0.446195696202532	0.741772254446403
ZB_14	2.73452	18	0.108493157894737	0.700778221573866
ZB_15	2.25352	7	0.548923333333333	0.702071822222222
ZB_16	0	0	NA	NA
ZB_17	1.74685	7	0.285678571428571	0.529690612244898
ZB_18	2.74627	16	0.114630683760684	0.687081237855212
ZB_19	4.37334	31	0.113781433853368	0.713187210205338
ZB_20	1.18341	3	0.664496666666667	0.52596
ZB_21	0	0	NA	NA
ZB_22	1.91033	7	0.282223333333333	0.603506133333333
ZB_23	1.35507	3	0.50374	0.497853333333333
ZB_24	2.74831	22	0.0601409441273867	0.63819155589489
ZB_25	2.64538	18	0.128743101604278	0.684282638301508
ZB_26	3.74487	17	0.381482101449275	0.756890366519639
ZB_27	2.80805	7	0.6456885	0.68233155
ZB_28	0	0	NA	NA
ZB_29	1.8677	6	0.451307692307692	0.701141538461539
ZB_30	4.31186	28	0.0680222648449816	0.637229461437178
ZB_31	1.51198	3	0.588284	0.5977568
ZB_32	3.90973	25	0.0675904347018391	0.65238483477115
ZB_33	3.09179	22	0.108206205471364	0.693948608998309
ZB_34	4.00903	24	0.300292554744526	0.767460814641164
ZB_35	1.0084	1	Inf	0
ZB_36	2.86155	23	0.129778365957447	0.707668360894522
ZB_37	2.31748	14	0.125552025316456	0.705559448806281
ZB_38	4.05631	27	0.081237670511036	0.695961424240103
ZB_39	0.70819	1	Inf	0
ZB_40	0	0	NA	NA
ZB_41	3.24418	24	0.134621696388907	0.697624307068502
ZB_42	0	0	NA	NA
ZB_43	2.77549	22	0.060129441359033	0.636179862882214
ZB_44	1.74886	3	0.815003333333333	0.607053333333333
ZB_45	2.44833	17	0.114980714285714	0.715162905446202
ZB_46	2.74641	21	0.108864749203236	0.6459134569418
ZB_47	0	0	NA	NA
ZB_48	1.85564	4	0.737368571428571	0.597203163265306
ZB_49	2.99673	24	0.121825152795839	0.702021621560265
ZB_50	0	0	NA	NA
ZB_51	2.86155	23	0.11775638099674	0.696814057374497
ZB_52	2.86155	23	0.112109228699552	0.707996355622586
ZB_53	1.39381	2	1.01082	0.50541
ZB_54	3.14901	20	0.136068591357089	0.697149516820299
ZB_55	4.08556	24	0.224762645290581	0.733810563812997
ZB_56	0.70819	1	Inf	0
ZB_57	3.86912	29	0.074742488111413	0.691545670360428
ZB_58	1.13416	3	0.42866	0.504071111111111
ZB_59	4.31727	31	0.0936057461077844	0.705943974052566
ZB_60	0	0	NA	NA
ZB_61	0	0	NA	NA
ZB_62	2.27385	8	0.565714	0.706903
ZB_63	0	0	NA	NA
ZB_64	0.54381	1	Inf	0
