PD	SR	MNTD	MPD
ZB_1	0.69618	2	0.41319	0.206595
ZB_2	2.53347	7	0.233250634920635	0.282450047871
ZB_3	1.47181	18	0.125999520491803	0.363454485649019
ZB_4	1.98243	12	0.0906080434782609	0.379317490548204
ZB_5	1.89073	3	0.226294252873563	0.146411494252874
ZB_6	3.20091	23	0.238012419928826	0.659518025860868
ZB_7	2.61742	23	0.0660533206406092	0.380000599701675
ZB_8	2.33602	16	0.0709935135135135	0.39315525363201
ZB_9	1.63541	3	0.63165	0.5469475
ZB_10	2.58284	7	0.516695	0.596484387755102
ZB_11	2.43487	7	0.221646891891892	0.291569459459459
ZB_12	2.63022	11	0.455435897435897	0.606858756665936
ZB_13	3.39973	13	0.438619417040359	0.658177467473708
ZB_14	2.04319	16	0.0879713125	0.34145003671875
ZB_15	1.89416	5	0.706756818181818	0.717847768595041
ZB_16	0.55608	1	Inf	0
ZB_17	3.56098	12	0.227005757575758	0.393515739210285
ZB_18	2.74025	19	0.0929832804232804	0.386739700456314
ZB_19	4.20434	36	0.0789885504628584	0.379677588450442
ZB_20	2.0884	5	0.283428125	0.4188806640625
ZB_21	0.72424	1	Inf	0
ZB_22	1.62359	4	0.4726425	0.547268125
ZB_23	1.18314	1	Inf	0
ZB_24	1.49556	19	0.109552775069455	0.341175849064345
ZB_25	3.0236	22	0.0799172274881517	0.346691418232095
ZB_26	3.46045	22	0.263741398601399	0.689287500122255
ZB_27	2.57917	10	0.498654782608696	0.492838097542533
ZB_28	1.89332	5	0.281701111111111	0.422538271604938
ZB_29	2.09224	8	0.2288515	0.4858961
ZB_30	4.13895	34	0.0724641534887876	0.395573026700481
ZB_31	0.48574	1	Inf	0
ZB_32	3.88961	31	0.101364252573961	0.477302824582599
ZB_33	3.43672	25	0.0660406217957145	0.298265058279972
ZB_34	3.2612	23	0.281414597457627	0.668228710050991
ZB_35	2.21227	5	0.2594065	0.3435825
ZB_36	2.62621	22	0.0913134373606777	0.334030415919225
ZB_37	1.97296	14	0.0813898387096774	0.383300364203954
ZB_38	3.59706	30	0.0696716511887073	0.427113393234301
ZB_39	1.24311	2	1.04119	0.520595
ZB_40	1.18314	1	Inf	0
ZB_41	3.52588	26	0.0670509092594309	0.302850172795484
ZB_42	0	0	NA	NA
ZB_43	2.43566	22	0.064798676178043	0.340921543643675
ZB_44	1.01242	2	0.72943	0.2334176
ZB_45	2.53873	17	0.079934213836478	0.454708218820458
ZB_46	1.49804	19	0.171498537952902	0.345792160127688
ZB_47	1.11481	3	0.41281	0.340203888888889
ZB_48	2.52568	10	0.480603608247423	0.514955060048889
ZB_49	2.51467	20	0.100186848101266	0.340442611501006
ZB_50	1.22163	2	0.20242	0.100373553719008
ZB_51	2.31884	19	0.119595636061947	0.351902360789559
ZB_52	1.51755	19	0.129316054289869	0.37363587280724
ZB_53	0.84141	3	0.491606666666667	0.312194444444444
ZB_54	3.07338	24	0.0716273483195111	0.32070591552049
ZB_55	3.6853	29	0.163088382066277	0.483541803175906
ZB_56	0.9068	2	0.57858	0.200002962962963
ZB_57	3.33437	29	0.0718240030951767	0.454097119970496
ZB_58	2.02192	6	0.321278888888889	0.688488888888889
ZB_59	4.47122	32	0.0771093924783028	0.492248292175755
ZB_60	0	0	NA	NA
ZB_61	2.09913	5	0.307866	0.7451712
ZB_62	2.06237	12	0.12454303030303	0.526594967860422
ZB_63	1.36236	2	1.27678	0.63839
ZB_64	1.22163	2	0.20242	0.0914620689655172
